,name,Length Of Movie (minute),year,idbm_year,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating,director movie amount,writer1 movie amount,star1 movie amount,star2 movie amount,star3 movie amount,average rating genre,director rating avg,star1 rating avg,star2 rating avg,star3 rating avg,writer1 rating avg,Action,Drama,Comedy
4559,Jurassic Park III,92.0,2001,2001,Joe Johnston,1,Michael Crichton,Peter Buchman,Alexander Payne,Sam Neill,William H. Macy,Téa Leoni,Action,Adventure,Sci-Fi,5.9,7,13,2,1,3,6.077,6.571,7.0,5.9,6.433,6.331,4.0,0.0,0.0
4560,Just Visiting,88.0,2001,2001,Jean-Marie Poiré,1,Jean-Marie Poiré,Christian Clavier,John Hughes,Jean Reno,Christina Applegate,Christian Clavier,Adventure,Comedy,Fantasy,5.8,1,1,2,5,1,6.206,5.8,7.15,6.08,5.8,5.8,0.0,0.0,0.0
4561,K-PAX,1.0,2001,2001,Iain Softley,1,Gene Brewer,Charles Leavitt,,Kevin Spacey,Jeff Bridges,Mary McCormack,Drama,Mystery,Sci-Fi,7.4,4,1,12,11,2,6.459,6.825,7.075,6.518,7.1,7.4,0.0,3.0,0.0
4562,Kate & Leopold,118.0,2001,2001,James Mangold,1,Steven Rogers,James Mangold,,Meg Ryan,Hugh Jackman,Liev Schreiber,Comedy,Fantasy,Romance,6.4,10,3,9,9,2,6.016,7.21,6.122,6.867,6.3,6.667,0.0,0.0,1.0
4563,Kill Me Later,89.0,2001,2001,Dana Lustig,1,Dana Lustig,Annette Goliti Gutierrez,Maria Ripoll,Selma Blair,Max Beesley,O'Neal Compton,Crime,Drama,Thriller,6.2,2,2,3,1,1,6.499,5.6,6.1,6.2,6.2,5.6,0.0,0.0,0.0
4564,Kingdom Come,94.0,2001,2001,Doug McHenry,1,David Dean Bottrell,Jessie Jones,,LL Cool J,Jada Pinkett Smith,Vivica A. Fox,Comedy,Drama,,5.6,2,1,1,4,5,6.016,6.1,5.6,6.15,5.28,5.6,0.0,0.0,1.0
4565,Kiss of the Dragon,98.0,2001,2001,Chris Nahon,1,Jet Li,Luc Besson,Robert Mark Kamen,Jet Li,Bridget Fonda,Tchéky Karyo,Action,Crime,Thriller,6.6,2,1,5,6,1,6.077,5.95,6.34,5.733,6.6,6.6,2.0,0.0,0.0
4566,Kissing Jessica Stein,97.0,2001,2001,Charles Herman-Wurmfeld,1,Heather Juergensen,Jennifer Westfeldt,,Jennifer Westfeldt,Heather Juergensen,Tovah Feldshuh,Comedy,Drama,Romance,6.5,1,1,2,1,1,6.016,6.5,6.3,6.5,6.5,6.5,0.0,0.0,1.0
4567,A Knight's Tale,132.0,2001,2001,Brian Helgeland,1,Brian Helgeland,,,Heath Ledger,Mark Addy,Rufus Sewell,Action,Adventure,Romance,7.0,3,6,5,1,4,6.077,7.2,6.88,7.0,6.225,6.833,2.0,0.0,0.0
4568,Knockaround Guys,92.0,2001,2001,Brian Koppelman,1,Brian Koppelman,David Levien,,Jennifer Baxter,Dennis Hopper,Vin Diesel,Crime,Drama,Thriller,6.1,1,3,1,6,2,6.499,6.1,6.1,6.483,6.6,6.2,0.0,0.0,0.0
4569,L.I.E.,97.0,2001,2001,Michael Cuesta,1,Stephen M. Ryder,Michael Cuesta,Gerald Cuesta,Brian Cox,Paul Dano,Bruce Altman,Crime,Drama,,7.1,2,1,2,4,1,6.499,6.65,7.35,7.1,7.1,7.1,0.0,0.0,0.0
4570,Lara Croft: Tomb Raider,100.0,2001,2001,Simon West,1,Sara B. Cooper,Mike Werb,Michael Colleary,Angelina Jolie,Jon Voight,Iain Glen,Action,Adventure,Fantasy,5.8,9,1,10,4,3,6.077,5.844,6.58,6.675,5.867,5.8,7.0,0.0,0.0
4571,The Last Castle,131.0,2001,2001,Rod Lurie,1,David Scarpa,Graham Yost,,Robert Redford,James Gandolfini,Mark Ruffalo,Action,Drama,Thriller,7.0,5,3,19,2,12,6.077,6.84,6.632,7.0,7.692,6.433,1.0,0.0,0.0
4572,Legally Blonde,96.0,2001,2001,Robert Luketic,1,Amanda Brown,Karen McCullah,Kirsten Smith,Reese Witherspoon,Luke Wilson,Selma Blair,Comedy,Romance,,6.4,6,1,14,6,2,6.016,6.05,6.343,5.767,5.7,6.4,0.0,0.0,4.0
4573,Life as a House,125.0,2001,2001,Irwin Winkler,1,Mark Andrus,,,Hayden Christensen,Kevin Kline,Kristin Scott Thomas,Drama,,,7.5,5,4,5,10,3,6.459,6.52,7.02,6.43,6.667,6.725,0.0,3.0,0.0
4574,Lloyd,74.0,2001,2001,Hector Barron,1,Hector Barron,,,Todd Bosley,Brendon Ryan Barrett,Mary Mara,Comedy,Drama,Family,6.0,1,1,1,1,2,6.016,6.0,6.0,6.0,5.85,6.0,0.0,0.0,1.0
4575,The Lord of the Rings: The Fellowship of the Ring,178.0,2001,2001,Peter Jackson,1,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Orlando Bloom,Action,Adventure,Drama,8.8,10,3,9,7,3,6.077,7.76,7.033,7.657,8.033,8.8,5.0,0.0,0.0
4576,The Lost Skeleton of Cadavra,90.0,2001,2001,Larry Blamire,1,Larry Blamire,,,Larry Blamire,Fay Masterson,Brian Howe,Comedy,Horror,Sci-Fi,7.0,1,1,1,1,1,6.016,7.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0
4577,Lovely & Amazing,91.0,2001,2001,Nicole Holofcener,0,Nicole Holofcener,,,Catherine Keener,Brenda Blethyn,Troy Ruptash,Comedy,Drama,Romance,6.8,5,6,3,3,1,6.016,6.58,6.7,6.333,6.8,6.667,0.0,0.0,5.0
4578,The Majestic,152.0,2001,2001,Frank Darabont,1,Michael Sloane,,,Jim Carrey,Martin Landau,Bob Balaban,Drama,Romance,,6.9,4,1,21,5,2,6.459,7.975,6.771,6.34,6.9,6.9,0.0,2.0,0.0
4579,The Man from Elysian Fields,106.0,2001,2001,George Hickenlooper,1,Phillip Jayson Lasker,,,Andy Garcia,Mick Jagger,Julianna Margulies,Drama,Romance,,6.6,3,1,3,2,3,6.459,6.133,6.567,6.0,6.4,6.6,0.0,2.0,0.0
4580,The Man Who Wasn't There,116.0,2001,2001,Joel Coen,1,Joel Coen,Ethan Coen,,Billy Bob Thornton,Frances McDormand,Michael Badalucco,Crime,Drama,,7.5,8,14,9,8,1,6.499,7.6,6.244,6.662,7.5,7.179,0.0,0.0,0.0
4581,Max Keeble's Big Move,86.0,2001,2001,Tim Hill,1,David L. Watts,Jonathan Bernstein,Mark Blackwell,Alex D. Linz,Larry Miller,Jamie Kennedy,Comedy,Crime,Family,5.4,7,1,2,1,1,6.016,5.557,4.95,5.4,5.4,5.4,0.0,0.0,2.0
4582,Megiddo: The Omega Code 2,104.0,2001,2001,Brian Trenchard-Smith,1,Stephan Blinn,Hollis Barton,John Fasano,Michael York,Michael Biehn,Joseph Makkar,Action,Adventure,Fantasy,4.0,1,3,2,4,1,6.077,4.0,5.4,6.0,4.0,4.567,1.0,0.0,0.0
4583,The Mexican,123.0,2001,2001,Gore Verbinski,1,J.H. Wyman,,,Brad Pitt,Julia Roberts,James Gandolfini,Adventure,Comedy,Crime,6.1,9,2,25,12,6,6.206,6.911,7.004,6.275,6.183,6.3,0.0,0.0,0.0
4584,Mockingbird Don't Sing,98.0,2001,2001,Harry Bromley Davenport,1,Daryl Haney,,,Melissa Errico,Michael Lerner,Joe Regalbuto,Biography,Drama,,6.5,1,2,1,2,1,6.939,6.5,6.5,6.6,6.5,5.9,0.0,0.0,0.0
4585,Monkeybone,93.0,2001,2001,Henry Selick,1,Kaja Blackley,Sam Hamm,,Brendan Fraser,Bridget Fonda,John Turturro,Animation,Comedy,Fantasy,4.8,4,1,13,6,4,6.623,6.8,5.692,5.733,6.2,4.8,0.0,0.0,0.0
4586,Monsoon Wedding,114.0,2001,2001,Mira Nair,0,Sabrina Dhawan,,,Naseeruddin Shah,Lillete Dubey,Shefali Shah,Comedy,Drama,Romance,7.4,6,1,1,1,1,6.016,6.85,7.4,7.4,7.4,7.4,0.0,0.0,2.0
4587,"Monsters, Inc.",92.0,2001,2001,Pete Docter,1,Pete Docter,Jill Culton,Jeff Pidgeon,Billy Crystal,John Goodman,Mary Gibbs,Animation,Adventure,Comedy,8.1,5,5,11,9,1,6.623,8.12,6.136,7.144,8.1,8.12,0.0,0.0,0.0
4588,Moulin Rouge!,127.0,2001,2001,Baz Luhrmann,1,Baz Luhrmann,Craig Pearce,,Nicole Kidman,Ewan McGregor,John Leguizamo,Drama,Musical,Romance,7.6,4,2,16,8,9,6.459,7.025,6.387,6.95,6.189,7.4,0.0,3.0,0.0
4589,Mulholland Drive,147.0,2001,2001,David Lynch,1,David Lynch,,,Naomi Watts,Laura Harring,Justin Theroux,Drama,Mystery,Thriller,7.9,8,5,10,1,2,6.459,7.65,6.82,7.9,7.5,7.58,0.0,2.0,0.0
4590,The Mummy Returns,130.0,2001,2001,Stephen Sommers,1,Stephen Sommers,,,Brendan Fraser,Rachel Weisz,John Hannah,Action,Adventure,Fantasy,6.4,6,5,13,8,2,6.077,6.283,5.692,6.85,6.75,6.24,5.0,0.0,0.0
4591,The Musketeer,104.0,2001,2001,Peter Hyams,1,Alexandre Dumas,Gene Quintano,,Justin Chambers,Catherine Deneuve,Mena Suvari,Action,Adventure,Romance,4.8,14,3,1,2,1,6.077,5.893,4.8,6.4,4.8,6.333,8.0,0.0,0.0
4592,My First Mister,109.0,2001,2001,Christine Lahti,0,Jill Franklyn,,,Albert Brooks,Leelee Sobieski,Rutanya Alda,Comedy,Drama,Romance,7.2,1,1,7,3,3,6.016,7.2,6.957,6.067,6.367,7.2,0.0,0.0,1.0
4593,Not Another Teen Movie,89.0,2001,2001,Joel Gallen,1,Mike Bender,Adam Jay Epstein,Andrew Jacobson,Chyler Leigh,Jaime Pressly,Chris Evans,Comedy,,,5.7,1,1,1,4,6,6.016,5.7,5.7,4.025,6.083,5.7,0.0,0.0,1.0
4594,Novocaine,95.0,2001,2001,David Atkins,1,Paul Felopulos,David Atkins,,Steve Martin,Helena Bonham Carter,Chelcie Ross,Comedy,Crime,Drama,5.8,1,1,24,5,1,6.016,5.8,6.338,6.96,5.8,5.8,0.0,0.0,1.0
4595,Ocean's Eleven,116.0,2001,2001,Steven Soderbergh,1,George Clayton Johnson,Jack Golden Russell,Harry Brown,George Clooney,Brad Pitt,Julia Roberts,Crime,Thriller,,7.7,24,1,21,9,8,6.499,6.625,6.738,7.333,6.7,7.7,0.0,0.0,0.0
4596,One Night at McCool's,93.0,2001,2001,Harald Zwart,1,Stan Seidel,,,Liv Tyler,Matt Dillon,Mary Jo Smith,Comedy,Crime,,6.1,4,1,2,7,1,6.016,5.675,6.25,6.729,6.1,6.1,0.0,0.0,1.0
4597,Original Sin,116.0,2001,2001,Michael Cristofer,1,Cornell Woolrich,Michael Cristofer,,Antonio Banderas,Angelina Jolie,Thomas Jane,Drama,Mystery,Romance,6.1,2,2,11,12,2,6.459,5.85,6.2,6.483,6.3,6.15,0.0,1.0,0.0
4598,Osmosis Jones,95.0,2001,2001,Bobby Farrelly,1,Marc Hyman,,,Laurence Fishburne,Chris Rock,David Hyde Pierce,Animation,Action,Adventure,6.3,10,2,7,3,2,6.623,6.13,6.043,6.3,6.3,6.0,0.0,0.0,0.0
4599,The Others,101.0,2001,2001,Alejandro Amenábar,1,Alejandro Amenábar,,,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Horror,Mystery,Thriller,7.6,1,2,16,2,3,5.441,7.6,6.387,7.05,7.033,7.25,0.0,0.0,0.0
4600,Out Cold,89.0,2001,2001,Brendan Malloy,1,Jon Zack,,,Flex Alexander,David Denman,A.J. Cook,Comedy,Sport,,6.3,1,2,1,3,1,6.016,6.3,6.3,5.733,6.3,6.15,0.0,0.0,1.0
4601,Pearl Harbor,183.0,2001,2001,Michael Bay,1,Randall Wallace,,,Ben Affleck,Kate Beckinsale,Josh Hartnett,Action,Drama,History,6.2,15,3,19,8,2,6.077,6.347,6.563,6.538,5.7,6.767,15.0,0.0,0.0
4602,Piñero,103.0,2001,2001,Leon Ichaso,1,Leon Ichaso,,,Benjamin Bratt,Giancarlo Esposito,Talisa Soto,Biography,Drama,,6.3,1,1,2,4,2,6.939,6.3,6.5,5.575,5.0,6.3,0.0,0.0,0.0
4603,The Pledge,124.0,2001,2001,Sean Penn,1,Friedrich Dürrenmatt,Jerzy Kromolowski,Mary Olson-Kromolowski,Jack Nicholson,Benicio Del Toro,Patricia Clarkson,Crime,Drama,Mystery,6.8,4,1,22,7,10,6.499,7.05,6.877,6.986,6.6,6.8,0.0,0.0,0.0
4604,Pootie Tang,81.0,2001,2001,Louis C.K.,1,Louis C.K.,,,Chris Rock,Lance Crouther,J.B. Smoove,Action,Adventure,Comedy,5.3,1,1,8,1,1,6.077,5.3,6.212,5.3,5.3,5.3,1.0,0.0,0.0
4605,The Princess Diaries,115.0,2001,2001,Garry Marshall,1,Meg Cabot,Gina Wendkos,,Julie Andrews,Anne Hathaway,Hector Elizondo,Comedy,Family,Romance,6.4,18,3,5,8,4,6.016,6.028,6.66,6.838,6.3,6.1,0.0,0.0,18.0
4606,Rat Race,112.0,2001,2001,Jerry Zucker,1,Andy Breckman,,,Breckin Meyer,Amy Smart,Whoopi Goldberg,Action,Adventure,Comedy,6.4,3,4,5,6,8,6.077,6.5,5.92,6.533,6.062,5.975,2.0,0.0,0.0
4607,Recess: School's Out,82.0,2001,2001,Chuck Sheetz,1,Paul Germain,Joe Ansolabehere,Jonathan Greenberg,Andrew Lawrence,Rickey D'Shon Collins,Jason Davis,Animation,Adventure,Comedy,6.6,1,1,1,1,1,6.623,6.6,6.6,6.6,6.6,6.6,0.0,0.0,0.0
4608,Riding in Cars with Boys,132.0,2001,2001,Penny Marshall,0,Beverly D'Onofrio,Morgan Ward,,Drew Barrymore,Steve Zahn,Adam Garcia,Biography,Comedy,Drama,6.5,7,1,12,5,2,6.939,6.657,5.742,6.22,5.6,6.5,0.0,0.0,0.0
4609,Rock Star,105.0,2001,2001,Stephen Herek,1,John Stockwell,,,Mark Wahlberg,Jennifer Aniston,Dominic West,Drama,Music,,6.3,10,2,24,13,4,6.459,6.14,6.383,6.554,6.375,6.35,0.0,2.0,0.0
4610,The Royal Tenenbaums,110.0,2001,2001,Wes Anderson,1,Wes Anderson,Owen Wilson,,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Comedy,Drama,,7.6,8,6,24,10,7,6.016,7.537,6.621,6.5,6.129,7.567,0.0,0.0,4.0
4611,Rush Hour 2,90.0,2001,2001,Brett Ratner,1,Ross LaManna,Jeff Nathanson,,Jackie Chan,Chris Tucker,John Lone,Action,Comedy,Crime,6.6,8,2,10,5,1,6.077,6.55,6.14,6.66,6.6,6.8,7.0,0.0,0.0
4612,The Safety of Objects,121.0,2001,2001,Rose Troche,0,A.M. Homes,Rose Troche,,Glenn Close,Dermot Mulroney,Mary Kay Place,Drama,,,6.5,2,1,7,6,5,6.459,6.1,6.386,6.567,6.48,6.5,0.0,1.0,0.0
4613,Save the Last Dance,112.0,2001,2001,Thomas Carter,1,Duane Adler,Cheryl Edwards,,Julia Stiles,Sean Patrick Thomas,Kerry Washington,Drama,Music,Romance,6.2,3,3,3,1,4,6.459,6.767,6.067,6.2,5.675,6.233,0.0,2.0,0.0
4614,Saving Silverman,90.0,2001,2001,Dennis Dugan,1,Hank Nelken,Greg DePaul,,Jason Biggs,Steve Zahn,Jack Black,Comedy,Crime,Romance,5.9,13,2,6,5,1,6.016,5.808,6.267,6.22,5.9,5.1,0.0,0.0,12.0
4615,Say It Isn't So,95.0,2001,2001,J.B. Rogers,1,Peter Gaulke,Gerry Swallow,,Chris Klein,Heather Graham,Orlando Jones,Comedy,Romance,,5.0,2,3,2,7,3,6.016,5.7,5.1,5.971,5.2,5.7,0.0,0.0,2.0
4616,Scary Movie 2,83.0,2001,2001,Keenen Ivory Wayans,1,Shawn Wayans,Marlon Wayans,Buddy Johnson,Anna Faris,Marlon Wayans,Antony Acker,Comedy,,,5.3,5,2,5,4,1,6.016,5.62,5.78,5.65,5.3,5.95,0.0,0.0,3.0
4617,The Score,124.0,2001,2001,Frank Oz,1,Daniel E. Taylor,Kario Salem,Lem Dobbs,Robert De Niro,Edward Norton,Marlon Brando,Action,Crime,Drama,6.8,9,1,41,6,2,6.077,6.456,6.8,7.133,7.45,6.8,1.0,0.0,0.0
4618,See Spot Run,94.0,2001,2001,John Whitesell,1,George Gallo,Gregory Poirier,Dan Baron,David Arquette,Michael Clarke Duncan,Leslie Bibb,Action,Comedy,Crime,5.4,6,7,8,2,5,6.077,5.15,5.9,7.0,5.88,6.371,2.0,0.0,0.0
4619,Serendipity,90.0,2001,2001,Peter Chelsom,1,Marc Klein,,,John Cusack,Kate Beckinsale,Jeremy Piven,Comedy,Romance,,6.9,7,3,23,8,2,6.016,6.086,6.6,6.538,6.8,6.5,0.0,0.0,6.0
4620,Session 9,100.0,2001,2001,Brad Anderson,1,Brad Anderson,Stephen Gevedon,,David Caruso,Stephen Gevedon,Paul Guilfoyle,Horror,Mystery,,6.4,4,2,3,1,1,5.441,6.475,5.867,6.4,6.4,6.5,0.0,0.0,0.0
4621,Shallow Hal,114.0,2001,2001,Bobby Farrelly,1,Sean Moynihan,Peter Farrelly,Bobby Farrelly,Jack Black,Gwyneth Paltrow,Jason Alexander,Comedy,Drama,Fantasy,5.9,10,1,12,10,4,6.016,6.13,6.167,6.5,6.0,5.9,0.0,0.0,9.0
4622,The Shipping News,111.0,2001,2001,Lasse Hallström,1,Annie Proulx,Robert Nelson Jacobs,,Kevin Spacey,Julianne Moore,Judi Dench,Drama,,,6.7,14,2,12,14,4,6.459,6.764,7.075,6.657,7.35,7.2,0.0,7.0,0.0
4623,Shrek,90.0,2001,2001,Andrew Adamson,1,William Steig,Ted Elliott,Terry Rossio,Mike Myers,Eddie Murphy,Cameron Diaz,Animation,Adventure,Comedy,7.9,7,3,13,6,10,6.623,7.057,6.308,6.567,6.43,7.433,0.0,0.0,0.0
4624,The Shrink Is In,92.0,2001,2001,Richard Benjamin,1,Alison Balian,Joanna Johnson,,Courteney Cox,David Arquette,David James Elliott,Comedy,Romance,,5.1,11,1,1,4,1,6.016,6.009,5.1,5.575,5.1,5.1,0.0,0.0,9.0
4625,Sidewalks of New York,108.0,2001,2001,Edward Burns,1,Edward Burns,,,Edward Burns,Heather Graham,Penny Balfour,Comedy,Romance,,6.4,4,4,5,7,1,6.016,6.325,5.48,5.971,6.4,6.325,0.0,0.0,3.0
4626,Someone Like You,97.0,2001,2001,Tony Goldwyn,1,Laura Zigman,Elizabeth Chandler,,Ashley Judd,Greg Kinnear,Hugh Jackman,Comedy,Romance,,6.1,4,1,4,4,5,6.016,6.425,6.575,5.85,7.02,6.1,0.0,0.0,2.0
4627,Soul Survivors,84.0,2001,2001,Stephen Carpenter,1,Stephen Carpenter,,,Melissa Sagemiller,Wes Bentley,Casey Affleck,Horror,Mystery,Thriller,3.9,1,1,1,3,3,5.441,3.9,3.9,5.433,5.9,3.9,0.0,0.0,0.0
4628,Spy Game,126.0,2001,2001,Tony Scott,1,Michael Frost Beckner,David Arata,,Robert Redford,Brad Pitt,Catherine McCormack,Action,Crime,Thriller,7.1,14,2,19,9,3,6.077,6.907,6.632,7.333,6.133,6.4,12.0,0.0,0.0
4629,Spy Kids,88.0,2001,2001,Robert Rodriguez,1,Robert Rodriguez,,,Alexa PenaVega,Daryl Sabara,Antonio Banderas,Action,Adventure,Comedy,5.5,10,7,3,3,5,6.077,6.02,5.367,5.867,5.98,5.743,8.0,0.0,0.0
4630,Storytelling,87.0,2001,2001,Todd Solondz,1,Todd Solondz,,,Selma Blair,Leo Fitzpatrick,Robert Wisdom,Comedy,Drama,Romance,6.8,2,2,3,1,1,6.016,7.1,6.1,6.8,6.8,7.1,0.0,0.0,2.0
4631,Sugar & Spice,81.0,2001,2001,Francine McDougall,0,Mandy Nelson,,,Marla Sokoloff,Marley Shelton,Melissa George,Comedy,Crime,,5.7,1,1,1,2,1,6.016,5.7,5.7,6.0,5.7,5.7,0.0,0.0,1.0
4632,Summer Catch,104.0,2001,2001,Michael Tollin,1,Kevin Falls,John Gatins,,Freddie Prinze Jr.,Jessica Biel,Fred Ward,Comedy,Drama,Romance,5.1,1,2,6,6,4,6.016,5.1,4.883,5.783,6.3,5.2,0.0,0.0,1.0
4633,Super Troopers,100.0,2001,2001,Jay Chandrasekhar,1,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Jay Chandrasekhar,Kevin Heffernan,André Vippolis,Comedy,Crime,Mystery,7.1,6,6,5,4,1,6.016,5.983,6.16,6.275,7.1,6.2,0.0,0.0,6.0
4634,Sweet November,119.0,2001,2001,Pat O'Connor,1,Herman Raucher,Paul Yurick,Kurt Voelker,Keanu Reeves,Charlize Theron,Jason Isaacs,Drama,Romance,,6.7,5,4,22,11,4,6.459,5.96,6.605,6.655,5.975,6.475,0.0,3.0,0.0
4635,Swordfish,99.0,2001,2001,Dominic Sena,1,Skip Woods,,,John Travolta,Hugh Jackman,Halle Berry,Action,Crime,Thriller,6.5,4,5,30,9,5,6.077,6.3,5.87,6.867,6.44,5.9,3.0,0.0,0.0
4636,The Tailor of Panama,109.0,2001,2001,John Boorman,1,John le Carré,Andrew Davies,John Boorman,Pierce Brosnan,Geoffrey Rush,Jamie Lee Curtis,Comedy,Drama,Thriller,6.2,6,3,12,5,2,6.016,6.183,6.333,7.24,6.6,6.467,0.0,0.0,1.0
4637,Tape,86.0,2001,2001,Richard Linklater,1,Stephen Belber,,,Ethan Hawke,Robert Sean Leonard,Uma Thurman,Drama,,,7.2,12,1,16,2,3,6.459,7.233,6.862,7.65,6.5,7.2,0.0,5.0,0.0
4638,Thirteen Conversations About One Thing,104.0,2001,2001,Jill Sprecher,0,Karen Sprecher,Jill Sprecher,,Alan Arkin,John Turturro,Matthew McConaughey,Drama,,,7.0,2,1,8,7,3,6.459,6.8,6.275,6.7,7.467,7.0,0.0,1.0,0.0
4639,Thirteen Ghosts,91.0,2001,2001,Steve Beck,1,Robb White,Neal Marshall Stevens,Richard D'Ovidio,Tony Shalhoub,Shannon Elizabeth,Embeth Davidtz,Fantasy,Horror,,5.6,2,2,2,2,1,5.535,5.55,6.45,5.05,5.6,5.6,0.0,0.0,0.0
4640,To End All Wars,125.0,2001,2001,David L. Cunningham,1,Ernest Gordon,Brian Godawa,,Robert Carlyle,Kiefer Sutherland,Ciarán McMenamin,Action,Drama,War,7.0,2,1,1,9,1,6.077,5.9,7.0,6.478,7.0,7.0,1.0,0.0,0.0
4641,Tomcats,95.0,2001,2001,Gregory Poirier,1,Gregory Poirier,,,Shannon Elizabeth,Jerry O'Connell,Jake Busey,Comedy,,,5.4,1,1,1,2,3,6.016,5.4,5.4,5.4,5.6,5.4,0.0,0.0,1.0
4642,Tortilla Soup,102.0,2001,2001,Maria Ripoll,1,Hui-Ling Wang,Ang Lee,James Schamus,Hector Elizondo,Jacqueline Obradors,Tamara Mello,Comedy,Romance,Drama,6.7,1,2,1,1,1,6.016,6.7,6.7,6.7,6.7,7.25,0.0,0.0,1.0
4643,Town & Country,104.0,2001,2001,Peter Chelsom,1,Michael Laughlin,Buck Henry,,Warren Beatty,Diane Keaton,Nastassja Kinski,Comedy,Romance,,4.5,7,1,8,13,1,6.016,6.086,6.238,6.485,4.5,4.5,0.0,0.0,6.0
4644,Training Day,122.0,2001,2001,Antoine Fuqua,1,David Ayer,,,Denzel Washington,Ethan Hawke,Scott Glenn,Crime,Drama,Thriller,7.7,7,6,34,6,3,6.499,6.943,6.906,6.917,7.233,6.583,0.0,0.0,0.0
4645,Two Can Play That Game,90.0,2001,2001,Mark Brown,1,Mark Brown,,,Vivica A. Fox,Morris Chestnut,Anthony Anderson,Comedy,Romance,,6.2,1,4,1,4,4,6.016,6.2,6.2,5.7,6.5,5.9,0.0,0.0,1.0
4646,Valentine,96.0,2001,2001,Jamie Blanks,1,Tom Savage,Donna Powers,Wayne Powers,Denise Richards,David Boreanaz,Marley Shelton,Horror,Mystery,Thriller,4.9,2,1,1,1,4,5.441,5.25,4.9,4.9,5.225,4.9,0.0,0.0,0.0
4647,Vanilla Sky,136.0,2001,2001,Cameron Crowe,1,Alejandro Amenábar,Mateo Gil,Cameron Crowe,Tom Cruise,Penélope Cruz,Cameron Diaz,Fantasy,Mystery,Romance,6.9,8,2,28,11,10,5.535,6.887,6.982,6.245,6.43,7.25,0.0,0.0,0.0
4648,Waking Life,99.0,2001,2001,Richard Linklater,1,Richard Linklater,,,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Animation,Drama,Fantasy,7.8,12,9,16,1,1,6.623,7.233,6.862,7.8,7.8,7.522,0.0,0.0,0.0
4649,The Wash,96.0,2001,2001,DJ Pooh,1,DJ Pooh,,,Dr. Dre,Snoop Dogg,Anthony Albano,Comedy,,,4.8,2,2,1,3,1,6.016,4.85,4.8,4.933,4.8,4.85,0.0,0.0,2.0
4650,The Wedding Planner,103.0,2001,2001,Adam Shankman,1,Pamela Falk,Michael Ellis,,Jennifer Lopez,Matthew McConaughey,Bridgette Wilson-Sampras,Comedy,Romance,,5.4,9,1,11,6,3,6.016,5.933,5.809,5.733,5.867,5.4,0.0,0.0,5.0
4651,Wet Hot American Summer,97.0,2001,2001,David Wain,1,Michael Showalter,David Wain,,Janeane Garofalo,David Hyde Pierce,Michael Showalter,Comedy,Romance,,6.6,4,2,2,2,1,6.016,6.15,6.55,5.65,6.6,6.1,0.0,0.0,4.0
4652,What's the Worst That Could Happen?,94.0,2001,2001,Sam Weisman,1,Donald E. Westlake,Matthew Chapman,,Martin Lawrence,Danny DeVito,John Leguizamo,Comedy,Crime,,5.5,5,4,10,11,9,6.016,5.78,5.43,6.5,6.189,6.35,0.0,0.0,4.0
4653,When Strangers Appear,98.0,2001,2001,Scott Reynolds,1,Scott Reynolds,,,Radha Mitchell,Josh Lucas,Barry Watson,Action,Mystery,Thriller,6.4,1,1,4,2,1,6.077,6.4,6.65,6.45,6.4,6.4,1.0,0.0,0.0
4654,The Zeros,91.0,2001,2001,John Ryman,1,John Ryman,,,Mackenzie Astin,John Ales,Rachel Wilson,Comedy,Drama,Sci-Fi,6.5,1,1,2,1,1,6.016,6.5,6.55,6.5,6.5,6.5,0.0,0.0,1.0
4655,Zoolander,90.0,2001,2001,Ben Stiller,1,Drake Sather,Ben Stiller,John Hamburg,Ben Stiller,Owen Wilson,Christine Taylor,Comedy,,,6.5,6,1,23,11,3,6.016,6.367,6.217,6.382,6.5,6.5,0.0,0.0,3.0
4656,13 Moons,93.0,2002,2002,Alexandre Rockwell,1,Brandon Cole,Alexandre Rockwell,,Jennifer Beals,Elizabeth Bracco,Steve Buscemi,Comedy,,,5.8,2,2,2,1,4,6.016,6.5,6.0,5.8,6.525,5.95,0.0,0.0,2.0
4657,25th Hour,135.0,2002,2002,Spike Lee,1,David Benioff,,,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Drama,,,7.6,20,6,6,4,5,6.459,6.705,7.283,6.75,7.12,6.9,0.0,4.0,0.0
4658,40 Days and 40 Nights,96.0,2002,2002,Michael Lehmann,1,Rob Perez,,,Josh Hartnett,Shannyn Sossamon,Paulo Costanzo,Comedy,Romance,,5.6,7,1,6,2,1,6.016,5.957,6.7,4.8,5.6,5.6,0.0,0.0,6.0
4659,8 Mile,110.0,2002,2002,Curtis Hanson,1,Scott Silver,,,Eminem,Brittany Murphy,Kim Basinger,Drama,Music,,7.1,9,4,1,2,3,6.459,6.744,7.1,6.75,6.267,7.0,0.0,4.0,0.0
