,name,Length Of Movie (minute),year,idbm_year,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating,director movie amount,writer1 movie amount,star1 movie amount,star2 movie amount,star3 movie amount,average rating genre,director rating avg,star1 rating avg,star2 rating avg,star3 rating avg,writer1 rating avg,Action,Drama,Comedy
47,I Love My Wife,98.0,1970,1970,Mel Stuart,1,Robert Kaufman,,,Elliott Gould,Brenda Vaccaro,Angel Tompkins,Comedy,,,5.0,4,6,12,3,1,6.016,6.25,5.8,5.433,5.0,5.583,0.0,0.0,1.0
48,I Never Sang for My Father,92.0,1970,1970,Gilbert Cates,1,Robert Anderson,,,Melvyn Douglas,Gene Hackman,Dorothy Stickney,Drama,Music,,7.5,5,2,2,11,1,6.459,5.94,6.8,6.391,7.5,5.9,0.0,3.0,0.0
49,I Walk the Line,97.0,1970,1970,John Frankenheimer,1,Alvin Sargent,Madison Jones,,Gregory Peck,Tuesday Weld,Estelle Parsons,Drama,,,6.6,14,4,7,3,3,6.459,6.121,6.643,6.333,6.333,6.55,0.0,3.0,0.0
50,Kelly's Heroes,144.0,1970,1970,Brian G. Hutton,1,Troy Kennedy-Martin,,,Clint Eastwood,Telly Savalas,Don Rickles,Adventure,Comedy,War,7.6,3,1,34,1,2,6.206,6.533,6.788,7.6,7.95,7.6,0.0,0.0,0.0
51,The Kremlin Letter,2.0,1970,1970,John Huston,1,Noel Behn,John Huston,Gladys Hill,Bibi Andersson,Richard Boone,Nigel Green,Crime,Drama,Thriller,6.3,9,1,2,2,1,6.499,6.956,6.4,6.7,6.3,6.3,0.0,0.0,0.0
52,The Lady in the Car with Glasses and a Gun,105.0,1970,1970,Anatole Litvak,1,Sébastien Japrisot,Anatole Litvak,Richard Harris,Samantha Eggar,Oliver Reed,Stéphane Audran,Drama,,,6.1,1,1,1,3,1,6.459,6.1,6.1,6.267,6.1,6.1,0.0,1.0,0.0
53,Last of the Mobile Hot Shots,100.0,1970,1970,Sidney Lumet,1,Tennessee Williams,Gore Vidal,,James Coburn,Lynn Redgrave,Robert Hooks,Drama,,,5.2,17,2,7,3,1,6.459,6.671,5.957,5.8,5.2,6.15,0.0,5.0,0.0
54,The Liberation of L.B. Jones,102.0,1970,1970,William Wyler,1,Jesse Hill Ford,Stirling Silliphant,,Lee J. Cobb,Anthony Zerbe,Roscoe Lee Browne,Crime,Drama,Romance,6.8,1,1,1,2,2,6.499,6.8,6.8,6.65,6.8,6.8,0.0,0.0,0.0
55,Little Big Man,139.0,1970,1970,Arthur Penn,1,Thomas Berger,Calder Willingham,,Dustin Hoffman,Faye Dunaway,Chief Dan George,Adventure,Comedy,Drama,7.6,5,1,15,6,3,6.206,6.62,7.053,6.767,7.067,7.6,0.0,0.0,0.0
56,Little Fauss and Big Halsy,99.0,1970,1970,Sidney J. Furie,1,Charles Eastman,,,Robert Redford,Michael J. Pollard,Lauren Hutton,Drama,,,5.9,12,1,19,1,3,6.459,5.45,6.632,5.9,5.067,5.9,0.0,2.0,0.0
57,Love Story,100.0,1970,1970,Arthur Hiller,1,Erich Segal,,,Ali MacGraw,Ryan O'Neal,John Marley,Drama,Romance,,6.9,18,4,2,4,3,6.459,6.133,6.2,7.125,6.367,5.725,0.0,4.0,0.0
58,Lovers and Other Strangers,104.0,1970,1970,Cy Howard,1,Joseph Bologna,Renée Taylor,David Zelag Goodman,Gig Young,Bea Arthur,Bonnie Bedelia,Comedy,,,6.6,2,1,1,1,9,6.016,5.9,6.6,6.6,6.578,6.6,0.0,0.0,2.0
59,The Man from O.R.G.Y.,92.0,1970,1970,James Hill,1,Ted Mark,,,Robert Walker Jr.,Steve Rossi,Slappy White,Comedy,Crime,,3.9,1,1,3,1,1,6.016,3.9,4.567,3.9,3.9,3.9,0.0,0.0,1.0
60,Macho Callahan,99.0,1970,1970,Bernard L. Kowalski,1,Richard Carr,Cliff Gould,,David Janssen,Jean Seberg,Lee J. Cobb,Western,,,5.3,2,1,2,1,2,6.152,5.35,5.1,5.3,5.75,5.3,0.0,0.0,0.0
61,A Man Called Horse,114.0,1970,1970,Elliot Silverstein,1,Jack DeWitt,Dorothy M. Johnson,Gregory Crosby,Richard Harris,Judith Anderson,Jean Gascon,Adventure,Drama,Western,6.9,3,5,6,1,1,6.206,5.8,6.267,6.9,6.9,6.06,0.0,0.0,0.0
62,The McMasters,90.0,1970,1970,Alf Kjellin,1,Harold Jacob Smith,,,Burl Ives,Brock Peters,David Carradine,Action,Drama,Western,6.0,1,1,1,1,2,6.077,6.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0
63,The Molly Maguires,124.0,1970,1970,Martin Ritt,1,Arthur H. Lewis,Walter Bernstein,,Sean Connery,Richard Harris,Samantha Eggar,Drama,History,,6.9,12,1,22,2,2,6.459,6.9,6.418,6.95,6.5,6.9,0.0,9.0,0.0
64,The Moonshine War,100.0,1970,1970,Richard Quine,1,Elmore Leonard,,,Patrick McGoohan,Richard Widmark,Alan Alda,Comedy,Crime,Drama,5.9,1,9,1,3,6,6.016,5.9,5.9,5.9,6.583,6.0,0.0,0.0,1.0
65,Move,90.0,1970,1970,Stuart Rosenberg,1,Joel Lieber,Stan Hart,,Elliott Gould,Paula Prentiss,Geneviève Waïte,Comedy,Fantasy,,5.1,9,1,12,4,1,6.016,6.078,5.8,6.0,5.1,5.1,0.0,0.0,1.0
