,name,Length Of Movie (minute),year,idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
2187,Hero and the Terror,96.0,1988,1988,1,William Tannen,Michael Blodgett,Dennis Shryack,,Chuck Norris,Brynn Thayer,Steve James,Action,Crime,Drama,5.3
2188,High Spirits,99.0,1988,1988,1,Neil Jordan,Neil Jordan,,,Peter O'Toole,Daryl Hannah,Steve Guttenberg,Comedy,Fantasy,,5.8
2189,Hobgoblins,88.0,1988,1988,1,Rick Sloane,Rick Sloane,,,Tom Bartlett,Paige Sullivan,Steven Boggs,Comedy,Horror,Sci-Fi,2.3
2190,Hollywood Chainsaw Hookers,75.0,1988,1988,1,Fred Olen Ray,Fred Olen Ray,T.L. Lankford,,Gunnar Hansen,Linnea Quigley,John Henry Richardson,Comedy,Horror,,5.3
2191,Homeboy,116.0,1988,1988,1,Michael Seresin,Mickey Rourke,,,Mickey Rourke,Christopher Walken,Debra Feuer,Crime,Drama,Romance,5.8
2192,I'm Gonna Git You Sucka,88.0,1988,1988,1,Keenen Ivory Wayans,Keenen Ivory Wayans,,,Keenen Ivory Wayans,Bernie Casey,Antonio Fargas,Action,Comedy,Crime,6.6
2193,Illegally Yours,102.0,1988,1988,1,Peter Bogdanovich,Michael Kaplan,John Levenstein,Ken Finkleman,Rob Lowe,Colleen Camp,Kenneth Mars,Comedy,Crime,,4.3
2194,Iron Eagle II,105.0,1988,1988,1,Sidney J. Furie,Kevin Alyn Elders,Sidney J. Furie,,Louis Gossett Jr.,Mark Humphrey,Stuart Margolin,Action,Drama,Romance,3.8
2195,Jack's Back,97.0,1988,1988,1,Rowdy Herrington,Rowdy Herrington,,,James Spader,Cynthia Gibb,Jim Haynie,Crime,Horror,Mystery,5.9
2196,Johnny Be Good,91.0,1988,1988,1,Bud S. Smith,Steve Zacharias,Jeff Buhai,David Obst,Anthony Michael Hall,Robert Downey Jr.,Paul Gleason,Comedy,Sport,,4.6
2197,Kansas,108.0,1988,1988,1,David Stevens,Spencer Eastman,,,Matt Dillon,Andrew McCarthy,Leslie Hope,Crime,Drama,Romance,5.5
2198,Killer Klowns from Outer Space,88.0,1988,1988,1,Stephen Chiodo,Charles Chiodo,Stephen Chiodo,Edward Chiodo,Grant Cramer,Suzanne Snyder,John Allen Nelson,Comedy,Horror,Sci-Fi,6.2
2199,The Kiss,101.0,1988,1988,1,Pen Densham,Tom Ropelewski,Stephen Volk,,Joanna Pacula,Meredith Salenger,Mimi Kuzyk,Drama,Fantasy,Horror,5.4
2200,Lady in White,113.0,1988,1988,1,Frank LaLoggia,Frank LaLoggia,,,Lukas Haas,Len Cariou,Alex Rocco,Fantasy,Horror,Mystery,6.7
2201,The Land Before Time,69.0,1988,1988,1,Don Bluth,Stu Krieger,Judy Freudberg,Tony Geiss,Pat Hingle,Gabriel Damon,Judith Barsi,Animation,Adventure,Drama,7.4
2202,Last Rites,103.0,1988,1988,1,Donald P. Bellisario,Donald P. Bellisario,,,Tom Berenger,Daphne Zuniga,Chick Vennera,Action,Crime,Drama,5.1
2203,The Last Temptation of Christ,164.0,1988,1988,1,Martin Scorsese,Nikos Kazantzakis,Paul Schrader,,Willem Dafoe,Harvey Keitel,Barbara Hershey,Drama,,,7.5
2204,License to Drive,88.0,1988,1988,1,Greg Beeman,Neil Tolkin,,,Corey Haim,Corey Feldman,Carol Kane,Comedy,,,6.3
2205,Little Nikita,98.0,1988,1988,1,Richard Benjamin,John Hill,Bo Goldman,Tom Musca,Sidney Poitier,River Phoenix,Richard Jenkins,Drama,Thriller,,6.0
2206,Mac and Me,99.0,1988,1988,1,Stewart Raffill,Stewart Raffill,Steve Feke,,Christine Ebersole,Jonathan Ward,Tina Caspary,Adventure,Comedy,Family,3.4
2207,Macho Dancer,136.0,1988,1988,1,Lino Brocka,Amado Lacuesta,Ricardo Lee,,Jaclyn Jose,Daniel Fernando,Princess Punzalan,Drama,,,6.3
2208,Madame Sousatzka,122.0,1988,1988,1,John Schlesinger,Bernice Rubens,Ruth Prawer Jhabvala,John Schlesinger,Shirley MacLaine,Navin Chowdhry,Peggy Ashcroft,Drama,Music,,6.7
2209,The Man from Snowy River II,110.0,1988,1988,1,Geoff Burrowes,John Dixon,Geoff Burrowes,A.B. 'Banjo' Paterson,Tom Burlinson,Sigrid Thornton,Brian Dennehy,Adventure,Drama,Western,6.6
2210,Maniac Cop,85.0,1988,1988,1,William Lustig,Larry Cohen,,,Tom Atkins,Bruce Campbell,Laurene Landon,Action,Crime,Horror,6.1
2211,Married to the Mob,104.0,1988,1988,1,Jonathan Demme,Barry Strugatz,Mark R. Burns,,Michelle Pfeiffer,Alec Baldwin,Paul Lazar,Comedy,Crime,Romance,6.2
2212,Memories of Me,105.0,1988,1988,1,Henry Winkler,Eric Roth,Billy Crystal,,Billy Crystal,Alan King,JoBeth Williams,Comedy,Drama,,5.7
2213,Messenger of Death,91.0,1988,1988,1,J. Lee Thompson,Rex Burns,Paul Jarrico,,Charles Bronson,Trish Van Devere,Laurence Luckinbill,Action,Crime,Mystery,5.5
2214,Midnight Run,126.0,1988,1988,1,Martin Brest,George Gallo,,,Robert De Niro,Charles Grodin,Yaphet Kotto,Action,Comedy,Crime,7.5
2215,The Milagro Beanfield War,117.0,1988,1988,1,Robert Redford,John Nichols,David S. Ward,,Rubén Blades,Richard Bradford,Sônia Braga,Comedy,Drama,Fantasy,6.9
2216,Miles from Home,108.0,1988,1988,1,Gary Sinise,Chris Gerolmo,,,Richard Gere,Penelope Ann Miller,Brian Dennehy,Action,Crime,Drama,5.7
2217,Miracle Mile,87.0,1988,1988,1,Steve De Jarnatt,Steve De Jarnatt,,,Anthony Edwards,Mare Winningham,John Agar,Action,Drama,Romance,7.0
2218,Mississippi Burning,128.0,1988,1988,1,Alan Parker,Chris Gerolmo,,,Gene Hackman,Willem Dafoe,Frances McDormand,Crime,Drama,History,7.8
2219,The Moderns,126.0,1988,1988,1,Alan Rudolph,Alan Rudolph,Jon Bradshaw,,Keith Carradine,Linda Fiorentino,Wallace Shawn,Comedy,Drama,Romance,6.6
2220,Monkey Shines,113.0,1988,1988,1,George A. Romero,Michael Stewart,George A. Romero,,Jason Beghe,John Pankow,Kate McNeil,Drama,Horror,Sci-Fi,6.2
2221,Moon Over Parador,103.0,1988,1988,1,Paul Mazursky,Charles G. Booth,Leon Capetanos,Paul Mazursky,Richard Dreyfuss,Raul Julia,Sônia Braga,Comedy,Romance,,6.0
2222,Moving,89.0,1988,1988,1,Alan Metter,Andy Breckman,,,Richard Pryor,Beverly Todd,Stacey Dash,Comedy,,,6.2
2223,Mr. North,93.0,1988,1988,1,Danny Huston,Thornton Wilder,Janet Roach,John Huston,Anthony Edwards,Robert Mitchum,Lauren Bacall,Comedy,Drama,,5.9
2224,My Stepmother Is an Alien,105.0,1988,1988,1,Richard Benjamin,Jerico Stone,Herschel Weingrod,Timothy Harris,Dan Aykroyd,Kim Basinger,Jon Lovitz,Comedy,Sci-Fi,,5.4
2225,Mystic Pizza,104.0,1988,1988,1,Donald Petrie,Amy Holden Jones,Perry Howze,Randy Howze,Annabeth Gish,Julia Roberts,Lili Taylor,Comedy,Drama,Romance,6.3
2226,The Naked Gun: From the Files of Police Squad!,85.0,1988,1988,1,David Zucker,Jerry Zucker,Jim Abrahams,David Zucker,Leslie Nielsen,Priscilla Presley,O.J. Simpson,Comedy,Crime,,7.6
2227,Necromancer,88.0,1988,1988,1,Dusty Nelson,William T. Naud,,,Elizabeth Kaitan,John Tyler,Rhonda Dorton,Horror,,,4.3
2228,The New Adventures of Pippi Longstocking,104.0,1988,1988,1,Ken Annakin,Astrid Lindgren,Ken Annakin,,Tami Erin,David Seaman,Cory Crow,Adventure,Family,Fantasy,5.9
2229,A Night in the Life of Jimmy Reardon,90.0,1988,1988,1,William Richert,William Richert,,,River Phoenix,Ann Magnuson,Meredith Salenger,Comedy,Drama,Romance,5.5
2230,A Nightmare on Elm Street 4: The Dream Master,93.0,1988,1988,1,Renny Harlin,Wes Craven,William Kotzwinkle,Brian Helgeland,Robert Englund,Rodney Eastman,John Beckman,Horror,,,5.7
2231,Not Of This Earth,81.0,1988,1988,1,Jim Wynorski,R.J. Robertson,Jim Wynorski,Charles B. Griffith,Traci Lords,Arthur Roberts,Lenny Juliano,Comedy,Horror,Sci-Fi,4.9
2232,Off Limits,102.0,1988,1988,1,Christopher Crowe,Christopher Crowe,Jack Thibeau,,Willem Dafoe,Gregory Hines,Fred Ward,Action,Drama,Thriller,6.2
2233,Oliver & Company,74.0,1988,1988,1,George Scribner,Jim Cox,Tim Disney,James Mangold,Joey Lawrence,Billy Joel,Cheech Marin,Animation,Adventure,Comedy,6.7
2234,Patty Hearst,108.0,1988,1988,1,Paul Schrader,Patricia Hearst,Alvin Moscow,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames,Biography,Drama,,6.3
2235,Permanent Record,91.0,1988,1988,1,Marisa Silver,Jarre Fees,Alice Liddle,Larry Ketron,Alan Boyce,Keanu Reeves,Pamela Gidley,Drama,Music,Romance,6.4
2236,Phantasm II,97.0,1988,1988,1,Don Coscarelli,Don Coscarelli,,,James Le Gros,Reggie Bannister,Angus Scrimm,Action,Fantasy,Horror,6.5
2237,Picasso Trigger,99.0,1988,1988,1,Andy Sidaris,Andy Sidaris,,,Steve Bond,Dona Speir,Hope Marie Carlton,Action,Adventure,Thriller,4.5
2238,Platoon Leader,97.0,1988,1988,1,Aaron Norris,Andrew Deutsch,Rick Marx,James R. McDonough,Tony Pierce,Robert F. Lyons,Michael Dudikoff,Drama,War,,5.4
2239,Police Academy 5: Assignment Miami Beach,90.0,1988,1988,1,Alan Myerson,Neal Israel,Pat Proft,Stephen Curwick,Bubba Smith,David Graf,Michael Winslow,Comedy,Crime,,4.6
2240,Poltergeist III,98.0,1988,1988,1,Gary Sherman,Gary Sherman,Brian Taggert,Steve Feke,Heather O'Rourke,Tom Skerritt,Nancy Allen,Horror,Thriller,,4.7
2241,Pound Puppies and the Legend of Big Paw,76.0,1988,1988,1,Pierre DeCelles,Terrence McDonnell,Jim Carlson,,Greg Berg,Ruth Buzzi,Nancy Cartwright,Animation,Comedy,Family,4.9
2242,The Presidio,97.0,1988,1988,1,Peter Hyams,Larry Ferguson,,,Sean Connery,Mark Harmon,Meg Ryan,Action,Crime,Mystery,6.0
2243,The Prince of Pennsylvania,87.0,1988,1988,1,Ron Nyswaner,Ron Nyswaner,,,Fred Ward,Keanu Reeves,Bonnie Bedelia,Comedy,Drama,,5.7
2244,Punchline,128.0,1988,1988,1,David Seltzer,David Seltzer,,,Sally Field,Tom Hanks,John Goodman,Comedy,Drama,Romance,5.9
2245,Purple People Eater,90.0,1988,1988,1,Linda Shayne,Linda Shayne,,,Ned Beatty,Linda Talcott,Bobby Porter,Comedy,Family,Sci-Fi,4.7
2246,Rain Man,133.0,1988,1988,1,Barry Levinson,Barry Morrow,Ronald Bass,,Dustin Hoffman,Tom Cruise,Valeria Golino,Drama,,,8.0
2247,Rambo III,102.0,1988,1988,1,Peter MacDonald,David Morrell,Sylvester Stallone,Sheldon Lettich,Sylvester Stallone,Richard Crenna,Marc de Jonge,Action,Adventure,Thriller,5.8
2248,Red Heat,104.0,1988,1988,1,Walter Hill,Walter Hill,Harry Kleiner,Troy Kennedy-Martin,Arnold Schwarzenegger,Jim Belushi,Peter Boyle,Action,Comedy,Crime,6.1
2249,Return of the Killer Tomatoes,98.0,1988,1988,1,John De Bello,Stephen Andrich,John De Bello,Costa Dillon,Anthony Starke,George Clooney,Karen M. Waldron,Comedy,Horror,Sci-Fi,5.2
2250,Return of the Living Dead Part II,89.0,1988,1988,1,Ken Wiederhorn,Ken Wiederhorn,,,James Karen,Thom Mathews,Michael Kenworthy,Comedy,Horror,Sci-Fi,5.8
2251,Rocket Gibraltar,99.0,1988,1988,1,Daniel Petrie,Amos Poe,,,Burt Lancaster,Suzy Amis,Patricia Clarkson,Drama,,,6.6
2252,Running on Empty,116.0,1988,1988,1,Sidney Lumet,Naomi Foner,,,River Phoenix,Christine Lahti,Judd Hirsch,Crime,Drama,Music,7.6
2253,Saturday the 14th Strikes Back,78.0,1988,1988,1,Howard R. Cohen,Howard R. Cohen,,,Ray Walston,Avery Schreiber,Patty McCormack,Comedy,Fantasy,Horror,3.3
2254,School Daze,121.0,1988,1988,1,Spike Lee,Spike Lee,,,Laurence Fishburne,Giancarlo Esposito,Tisha Campbell,Comedy,Drama,Musical,6.0
2255,Scrooged,101.0,1988,1988,1,Richard Donner,Mitch Glazer,Michael O'Donoghue,Charles Dickens,Bill Murray,Karen Allen,John Forsythe,Comedy,Drama,Fantasy,7.0
2256,The Serpent and the Rainbow,98.0,1988,1988,1,Wes Craven,Wade Davis,Richard Maxwell,Adam Rodman,Bill Pullman,Cathy Tyson,Zakes Mokae,Fantasy,Horror,,6.5
2257,The Seventh Sign,97.0,1988,1988,1,Carl Schultz,Ellen Green,Clifford Green,,Demi Moore,Michael Biehn,Jürgen Prochnow,Drama,Fantasy,Horror,5.9
2258,Shadows in the Storm,85.0,1988,1988,1,Terrell Tannen,Terrell Tannen,,,Ned Beatty,Mia Sara,Michael Madsen,Crime,Drama,Mystery,3.9
2259,Shakedown,112.0,1988,1988,1,James Glickenhaus,James Glickenhaus,James Borrelli,,Peter Weller,Sam Elliott,Richard Brooks,Action,Crime,Drama,6.0
2260,She's Having a Baby,106.0,1988,1988,1,John Hughes,John Hughes,,,Kevin Bacon,Elizabeth McGovern,Alec Baldwin,Comedy,Drama,Romance,5.9
2261,Shoot to Kill,110.0,1988,1988,1,Roger Spottiswoode,Harv Zimmel,Michael Burton,Daniel Petrie Jr.,Sidney Poitier,Tom Berenger,Kirstie Alley,Action,Adventure,Crime,6.8
2262,Short Circuit 2,110.0,1988,1988,1,Kenneth Johnson,S.S. Wilson,Brent Maddock,,Fisher Stevens,Michael McKean,Tim Blaney,Comedy,Drama,Family,5.8
2263,Sleepaway Camp II: Unhappy Campers,80.0,1988,1988,1,Michael A. Simpson,Fritz Gordon,Robert Hiltzik,,Pamela Springsteen,Renée Estevez,Tony Higgins,Comedy,Horror,,5.7
2264,Slugs,92.0,1988,1988,1,Juan Piquer Simón,Ron Gantman,Shaun Hutson,José Antonio Escrivá,Michael Garfield,Kim Terry,Philip MacHale,Horror,,,5.3
2265,Some Girls,94.0,1988,1988,1,Michael Hoffman,Rupert Walters,,,Patrick Dempsey,Jennifer Connelly,Sheila Kelley,Comedy,Drama,Fantasy,5.8
2266,Sorority Babes in the Slimeball Bowl-O-Rama,80.0,1988,1988,1,David DeCoteau,Sergei Hasenecz,,,Andras Jones,Linnea Quigley,Robin Stille,Comedy,Horror,,5.0
2267,Spellcaster,83.0,1988,1988,1,Rafal Zielinski,Ed Naha,Dennis Paoli,Charlie Bogel,Adam Ant,Richard Blade,Gail O'Grady,Fantasy,Horror,Mystery,4.7
2268,Spike of Bensonhurst,100.0,1988,1988,1,Paul Morrissey,Alan Bowne,Paul Morrissey,,Sasha Mitchell,Ernest Borgnine,Anne De Salvo,Comedy,Drama,,6.0
2269,Split Decisions,95.0,1988,1988,1,David Drury,David Fallon,,,Gene Hackman,Craig Sheffer,Jeff Fahey,Action,Drama,Sport,5.2
2270,Stand and Deliver,103.0,1988,1988,1,Ramón Menéndez,Ramón Menéndez,Tom Musca,,Edward James Olmos,Estelle Harris,Mark Phelan,Biography,Drama,,7.3
2271,Stars and Bars,94.0,1988,1988,1,Pat O'Connor,William Boyd,,,Daniel Day-Lewis,Harry Dean Stanton,Kent Broadhurst,Comedy,,,4.8
2272,Stealing Home,98.0,1988,1988,1,Steven Kampmann,Steven Kampmann,William Porter,,Mark Harmon,Jodie Foster,Blair Brown,Drama,Romance,Sport,6.7
2273,Stormy Monday,93.0,1988,1988,1,Mike Figgis,Mike Figgis,,,Melanie Griffith,Tommy Lee Jones,Sting,Crime,Drama,Music,6.2
2274,Sunset,102.0,1988,1988,1,Blake Edwards,Rod Amateau,Blake Edwards,,Bruce Willis,James Garner,Malcolm McDowell,Crime,Mystery,Thriller,5.7
2275,Sweet Hearts Dance,101.0,1988,1988,1,Robert Greenwald,Ernest Thompson,,,Don Johnson,Susan Sarandon,Jeff Daniels,Comedy,Drama,Romance,5.6
2276,Switching Channels,105.0,1988,1988,1,Ted Kotcheff,Ben Hecht,Charles MacArthur,Jonathan Reynolds,Kathleen Turner,Burt Reynolds,Christopher Reeve,Comedy,Crime,,5.9
2277,Talk Radio,110.0,1988,1988,1,Oliver Stone,Stephen Singular,Eric Bogosian,Tad Savinar,Eric Bogosian,Ellen Greene,Leslie Hope,Drama,Thriller,,7.3
2278,Tapeheads,93.0,1988,1988,1,Bill Fishman,Bill Fishman,Peter McCarthy,Jim Herzfeld,John Cusack,Tim Robbins,Mary Crosby,Comedy,Music,,5.8
2279,Tequila Sunrise,115.0,1988,1988,1,Robert Towne,Robert Towne,,,Mel Gibson,Michelle Pfeiffer,Kurt Russell,Crime,Drama,Romance,6.1
2280,The Deceivers,102.0,1988,1988,1,Nicholas Meyer,John Masters,Michael Hirst,,Pierce Brosnan,Saeed Jaffrey,Shashi Kapoor,Adventure,Crime,Drama,6.1
2281,They Live,94.0,1988,1988,1,John Carpenter,Ray Nelson,John Carpenter,,Roddy Piper,Keith David,Meg Foster,Action,Horror,Sci-Fi,7.3
2282,A Time of Destiny,118.0,1988,1988,1,Gregory Nava,Gregory Nava,Anna Thomas,,William Hurt,Timothy Hutton,Melissa Leo,Drama,War,,5.1
2283,Tommy Tricker and the Stamp Traveller,105.0,1988,1988,1,Michael Rubbo,Michael Rubbo,,,Lucas Evans,Anthony Rogers,Jill Stanley,Adventure,Family,Fantasy,6.9
2284,Torch Song Trilogy,1.0,1988,1988,1,Paul Bogart,Harvey Fierstein,,,Anne Bancroft,Matthew Broderick,Harvey Fierstein,Comedy,Drama,Romance,7.7
2285,Tougher Than Leather,87.0,1988,1988,1,Rick Rubin,Bill Adler,Ric Menello,Rick Rubin,Darryl McDaniels,Daniel Simmons,Jam Master Jay,Crime,Drama,Music,4.8
2286,Track 29,91.0,1988,1988,1,Nicolas Roeg,Dennis Potter,,,Theresa Russell,Gary Oldman,Christopher Lloyd,Drama,Mystery,,5.9
2287,Tucker: The Man and His Dream,110.0,1988,1988,1,Francis Ford Coppola,Arnold Schulman,David Seidler,,Jeff Bridges,Joan Allen,Martin Landau,Biography,Comedy,Drama,6.9
2288,Twins,107.0,1988,1988,1,Ivan Reitman,William Davies,William Osborne,Timothy Harris,Arnold Schwarzenegger,Danny DeVito,Kelly Preston,Comedy,Crime,,6.1
2289,Two Moon Junction,104.0,1988,1988,1,Zalman King,Zalman King,Macgregor Douglas,,Sherilyn Fenn,Richard Tyson,Louise Fletcher,Drama,Romance,,5.1
2290,The Unbearable Lightness of Being,171.0,1988,1988,1,Philip Kaufman,Milan Kundera,Jean-Claude Carrière,Philip Kaufman,Daniel Day-Lewis,Juliette Binoche,Lena Olin,Drama,Romance,,7.3
2291,The Understudy: Graveyard Shift II,90.0,1988,1988,1,Jerry Ciccoritti,Jerry Ciccoritti,,,Wendy Gazelle,Mark Soper,Michael A. Miranda,Horror,,,3.7
2292,Vibes,99.0,1988,1988,1,Ken Kwapis,Deborah Blum,Lowell Ganz,Babaloo Mandel,Cyndi Lauper,Jeff Goldblum,Ramon Bieri,Adventure,Comedy,Romance,5.7
2293,Watchers,91.0,1988,1988,1,Jon Hess,Dean R. Koontz,Bill Freed,Damian Lee,Corey Haim,Michael Ironside,Christopher Cary,Action,Horror,Sci-Fi,5.4
2294,Waxwork,95.0,1988,1988,1,Anthony Hickox,Anthony Hickox,,,Zach Galligan,Deborah Foreman,Jennifer Bassey,Comedy,Horror,,6.2
2295,Who Framed Roger Rabbit,104.0,1988,1988,1,Robert Zemeckis,Gary K. Wolf,Jeffrey Price,Peter S. Seaman,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Animation,Adventure,Comedy,7.7
2296,Willow,126.0,1988,1988,1,Ron Howard,George Lucas,Bob Dolman,,Val Kilmer,Joanne Whalley,Warwick Davis,Action,Adventure,Drama,7.3
2297,Witchcraft,95.0,1988,1988,1,Fabrizio Laurenti,Harry Spalding,Daniele Stroppa,,David Hasselhoff,Linda Blair,Catherine Hickland,Horror,,,4.3
2298,Working Girl,113.0,1988,1988,1,Mike Nichols,Kevin Wade,,,Melanie Griffith,Harrison Ford,Sigourney Weaver,Comedy,Drama,Romance,6.8
2299,Young Guns,107.0,1988,1988,1,Christopher Cain,John Fusco,,,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Action,Western,,6.9
2300,84C MoPic,95.0,1989,1989,1,Patrick Sheane Duncan,Patrick Sheane Duncan,,,Jonathan Emerson,Nicholas Cascone,Jason Tomlins,Drama,War,,6.9
2301,The Abyss,140.0,1989,1989,1,James Cameron,James Cameron,,,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,Adventure,Drama,Mystery,7.5
2302,All Dogs Go to Heaven,84.0,1989,1989,1,Don Bluth,Don Bluth,Ken Cromar,Gary Goldman,Dom DeLuise,Burt Reynolds,Daryl Gilley,Animation,Adventure,Comedy,6.8
2303,Always,122.0,1989,1989,1,Steven Spielberg,Jerry Belson,Dalton Trumbo,Frederick Hazlitt Brennan,Richard Dreyfuss,Holly Hunter,Brad Johnson,Drama,Fantasy,Romance,6.4
2304,American Ninja 3: Blood Hunt,89.0,1989,1989,1,Cedric Sundstrom,Avi Kleinberger,Gideon Amir,Gary Conway,David Bradley,Steve James,Marjoe Gortner,Action,Drama,,3.7
2305,Back to the Future Part II,108.0,1989,1989,1,Robert Zemeckis,Robert Zemeckis,Bob Gale,,Michael J. Fox,Christopher Lloyd,Lea Thompson,Adventure,Comedy,Sci-Fi,7.8
2306,"Bert Rigby, You're a Fool",94.0,1989,1989,1,Carl Reiner,Carl Reiner,,,Robert Lindsay,Robbie Coltrane,Cathryn Bradshaw,Comedy,Musical,,5.8
2307,Best of the Best,97.0,1989,1989,1,Robert Radler,Phillip Rhee,Paul Levine,Max Strom,Eric Roberts,James Earl Jones,Sally Kirkland,Action,Drama,Sport,6.5
2308,Beverly Hills Brats,90.0,1989,1989,1,Jim Sotos,Terry Moore,Jerry Rivers,Linda Silverthorn,Peter Billingsley,Martin Sheen,Burt Young,Comedy,,,3.8
2309,Beyond the Stars,88.0,1989,1989,1,David Saperstein,David Saperstein,,,Martin Sheen,Christian Slater,Robert Foxworth,Sci-Fi,Drama,,5.2
2310,The Big Picture,100.0,1989,1989,1,Christopher Guest,Michael Varhol,Christopher Guest,Michael McKean,Kevin Bacon,Jennifer Jason Leigh,Emily Longstreth,Comedy,Drama,Romance,6.2
2311,Bill & Ted's Excellent Adventure,90.0,1989,1989,1,Stephen Herek,Chris Matheson,Ed Solomon,,Keanu Reeves,Alex Winter,George Carlin,Adventure,Comedy,Music,7.0
2312,Black Rain,125.0,1989,1989,1,Ridley Scott,Craig Bolotin,Warren Lewis,,Michael Douglas,Andy Garcia,Ken Takakura,Action,Crime,Thriller,6.7
2313,Blind Fury,86.0,1989,1989,1,Phillip Noyce,Ryôzô Kasahara,Charles Robert Carner,,Rutger Hauer,Terry O'Quinn,Brandon Call,Action,Comedy,Crime,6.4
2314,Bloodhounds of Broadway,93.0,1989,1989,1,Howard Brookner,Howard Brookner,Colman deKay,Damon Runyon,Josef Sommer,Madonna,Tony Azito,Comedy,Drama,Romance,5.5
2315,Born on the Fourth of July,145.0,1989,1989,1,Oliver Stone,Ron Kovic,Oliver Stone,,Tom Cruise,Bryan Larkin,Raymond J. Barry,Biography,Drama,War,7.2
2316,The 'Burbs,102.0,1989,1989,1,Joe Dante,Dana Olsen,,,Tom Hanks,Bruce Dern,Carrie Fisher,Comedy,Mystery,Thriller,6.9
2317,C.H.U.D. II: Bud the C.H.U.D.,84.0,1989,1989,1,David Irving,Ed Naha,,,Brian Robbins,Bill Calvert,Tricia Leigh Fisher,Comedy,Horror,Sci-Fi,4.1
2318,Cannibal Women in the Avocado Jungle of Death,90.0,1989,1989,1,J.F. Lawton,J.F. Lawton,,,Shannon Tweed,Bill Maher,Karen M. Waldron,Action,Adventure,Comedy,4.8
2319,Casualties of War,113.0,1989,1989,1,Brian De Palma,Daniel Lang,David Rabe,,Michael J. Fox,Sean Penn,Don Harvey,Action,Crime,Drama,7.1
2320,Cat Chaser,90.0,1989,1989,1,Abel Ferrara,Elmore Leonard,James Borrelli,,Peter Weller,Kelly McGillis,Charles Durning,Crime,Drama,Thriller,5.2
2321,Chameleon Street,94.0,1989,1989,1,Wendell B. Harris Jr.,Wendell B. Harris Jr.,,,Wendell B. Harris Jr.,Timothy Alvaro,Dave Barber,Comedy,Drama,,7.1
2322,Chances Are,108.0,1989,1989,1,Emile Ardolino,Perry Howze,Randy Howze,,Cybill Shepherd,Robert Downey Jr.,Ryan O'Neal,Comedy,Fantasy,Romance,6.5
2323,Chattahoochee,98.0,1989,1989,1,Mick Jackson,James Cresson,,,Gary Oldman,Dennis Hopper,Frances McDormand,Biography,Drama,,6.3
2324,Cheetah,83.0,1989,1989,1,Jeff Blyth,Alan Caillou,John Cotter,Erik Tarloff,Keith Coogan,Lucy Deakins,Colin Mothupi,Adventure,Drama,Family,6.0
2325,The Chilling,90.0,1989,1989,1,Deland Nuse,Guy Messenger,Jack A. Sunseri,,Linda Blair,Dan Haggerty,Troy Donahue,Horror,,,3.7
2326,Collision Course,100.0,1989,1989,1,Lewis Teague,Frank Darius Namei,Robert Resnikoff,,Pat Morita,Jay Leno,Chris Sarandon,Action,Comedy,Crime,4.6
2327,Crimes and Misdemeanors,104.0,1989,1989,1,Woody Allen,Woody Allen,,,Martin Landau,Woody Allen,Bill Bernstein,Comedy,Drama,,7.9
2328,Cutting Class,91.0,1989,1989,1,Rospo Pallenberg,Steve Slavkin,,,Donovan Leitch Jr.,Jill Schoelen,Brad Pitt,Comedy,Crime,Horror,4.5
2329,Dead Bang,102.0,1989,1989,1,John Frankenheimer,Robert Foster,Jerry Beck,,Don Johnson,Penelope Ann Miller,William Forsythe,Action,Crime,Drama,6.1
2330,Dead Calm,96.0,1989,1989,1,Phillip Noyce,Terry Hayes,Charles Williams,,Nicole Kidman,Sam Neill,Billy Zane,Horror,Thriller,,6.8
2331,The Dead Pit,95.0,1989,1989,1,Brett Leonard,Brett Leonard,Gimel Everett,,Jeremy Slate,Cheryl Lawson,Stephen Gregory Foster,Horror,,,5.4
2332,Dead Poets Society,128.0,1989,1989,1,Peter Weir,Tom Schulman,,,Robin Williams,Robert Sean Leonard,Ethan Hawke,Comedy,Drama,,8.1
2333,DeepStar Six,99.0,1989,1989,1,Sean S. Cunningham,Lewis Abernathy,Geof Miller,,Greg Evigan,Nancy Everhard,Taurean Blacque,Action,Horror,Sci-Fi,5.4
2334,Disorganized Crime,98.0,1989,1989,1,Jim Kouf,Jim Kouf,,,Hoyt Axton,Corbin Bernsen,Rubén Blades,Action,Comedy,Crime,6.3
2335,Do the Right Thing,1.0,1989,1989,1,Spike Lee,Spike Lee,,,Danny Aiello,Ossie Davis,Ruby Dee,Comedy,Drama,,8.0
2336,Dr. Caligari,80.0,1989,1989,1,Stephen Sayadian,Stephen Sayadian,Jerry Stahl,,Madeleine Reynal,Fox Harris,Laura Albert,Comedy,Horror,Sci-Fi,6.2
2337,The Dream Team,113.0,1989,1989,1,Howard Zieff,Jon Connolly,David Loucka,,Michael Keaton,Christopher Lloyd,Peter Boyle,Comedy,Crime,Thriller,6.5
2338,Dream a Little Dream,114.0,1989,1989,1,Marc Rocco,Daniel Jay Franklin,Marc Rocco,D.E. Eisenberg,Corey Feldman,Jason Robards,Corey Haim,Comedy,Drama,Romance,5.9
