,name,Length Of Movie (minute),year,idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
10,Barquero,115.0,1970,1970,1,Gordon Douglas,George Schenck,William Marks,,Lee Van Cleef,Warren Oates,Forrest Tucker,Western,,,6.3
11,Beneath the Planet of the Apes,95.0,1970,1970,1,Ted Post,Paul Dehn,Mort Abrahams,Pierre Boulle,James Franciscus,Kim Hunter,Maurice Evans,Action,Adventure,Sci-Fi,6.1
12,Beyond the Valley of the Dolls,109.0,1970,1970,1,Russ Meyer,Roger Ebert,Russ Meyer,,Dolly Read,Cynthia Myers,Marcia McBroom,Comedy,Drama,Music,6.2
13,Bloody Mama,90.0,1970,1970,1,Roger Corman,Robert Thom,Don Peters,,Shelley Winters,Don Stroud,Pat Hingle,Crime,Drama,,5.7
14,The Boatniks,99.0,1970,1970,1,Norman Tokar,Arthur Julian,Martin Roth,,Robert Morse,Stefanie Powers,Phil Silvers,Comedy,Family,,5.5
15,Brewster McCloud,105.0,1970,1970,1,Robert Altman,Doran William Cannon,,,Bud Cort,Shelley Duvall,Sally Kellerman,Comedy,Fantasy,,6.9
16,A Bullet for Pretty Boy,89.0,1970,1970,1,Larry Buchanan,Tony Huston,Larry Buchanan,Henry Rosenbaum,Fabian,Jocelyn Lane,Astrid Warner,Action,Biography,Crime,5.1
17,Cannon for Cordoba,104.0,1970,1970,1,Paul Wendkos,Stephen Kandel,,,George Peppard,Giovanna Ralli,Raf Vallone,Action,Romance,Western,5.7
18,The Cheyenne Social Club,103.0,1970,1970,1,Gene Kelly,James Lee Barrett,,,James Stewart,Henry Fonda,Shirley Jones,Comedy,Romance,Western,6.9
19,Chisum,111.0,1970,1970,1,Andrew V. McLaglen,Andrew J. Fenady,,,John Wayne,Forrest Tucker,Christopher George,Biography,Western,,6.9
20,The Christine Jorgensen Story,98.0,1970,1970,1,Irving Rapper,Christine Jorgensen,Robert E. Kent,Ellis St. Joseph,John Hansen,Joan Tompkins,Quinn K. Redeker,Biography,Drama,Romance,5.5
21,Cockeyed Cowboys of Calico County,99.0,1970,1970,1,Anton Leader,Ranald MacDougall,,,Dan Blocker,Nanette Fabray,Jim Backus,Comedy,Western,,6.2
22,Colossus: The Forbin Project,100.0,1970,1970,1,Joseph Sargent,James Bridges,D.F. Jones,,Eric Braeden,Susan Clark,Gordon Pinsent,Sci-Fi,Thriller,,7.1
23,Cotton Comes to Harlem,97.0,1970,1970,1,Ossie Davis,Chester Himes,Arnold Perl,Ossie Davis,Godfrey Cambridge,Raymond St. Jacques,Calvin Lockhart,Action,Comedy,Crime,6.5
24,"Count Yorga, Vampire",93.0,1970,1970,1,Bob Kelljan,Bob Kelljan,,,Robert Quarry,Roger Perry,Michael Murphy,Drama,Fantasy,Horror,5.8
25,Darker than Amber,96.0,1970,1970,1,Robert Clouse,John D. MacDonald,Ed Waters,,Rod Taylor,Theodore Bikel,Suzy Kendall,Action,Drama,Mystery,6.2
26,Darling Lili,136.0,1970,1970,1,Blake Edwards,Blake Edwards,William Peter Blatty,,Julie Andrews,Rock Hudson,Jeremy Kemp,Comedy,Drama,Musical,6.1
27,The Delta Factor,91.0,1970,1970,1,Tay Garnett,Tay Garnett,Mickey Spillane,Raoul Walsh,Yvette Mimieux,Christopher George,Diane McBain,Adventure,Crime,Drama,4.0
28,Diary of a Mad Housewife,95.0,1970,1970,1,Frank Perry,Eleanor Perry,Sue Kaufman,,Richard Benjamin,Frank Langella,Carrie Snodgress,Comedy,Drama,,7.0
29,Dirty Dingus Magee,91.0,1970,1970,1,Burt Kennedy,David Markson,Tom Waldman,Frank Waldman,Frank Sinatra,George Kennedy,Anne Jackson,Comedy,Romance,Western,5.2
30,The Dunwich Horror,90.0,1970,1970,1,Daniel Haller,Curtis Hanson,Henry Rosenbaum,Ronald Silkosky,Sandra Dee,Dean Stockwell,Ed Begley,Horror,,,5.4
31,Five Easy Pieces,98.0,1970,1970,1,Bob Rafelson,Carole Eastman,Bob Rafelson,,Jack Nicholson,Karen Black,Billy Green Bush,Drama,,,7.4
32,Flesh Feast,72.0,1970,1970,1,Brad F. Grinter,Thomas Casey,Brad F. Grinter,,Veronica Lake,Phil Philbin,Doug Foster,Fantasy,Horror,Mystery,2.6
33,Fools,93.0,1970,1970,1,Tom Gries,Robert Rudelson,,,Jason Robards,Katharine Ross,Scott Hylands,Drama,,,5.2
34,Gas-s-s-s,78.0,1970,1970,1,Roger Corman,George Armitage,,,Bob Corff,Elaine Giftos,Bud Cort,Comedy,Drama,Sci-Fi,4.2
35,Getting Straight,124.0,1970,1970,1,Richard Rush,Robert Kaufman,Ken Kolb,,Elliott Gould,Candice Bergen,Robert F. Lyons,Comedy,Drama,Romance,6.3
36,The Grasshopper,98.0,1970,1970,1,Jerry Paris,Mark McShane,Jerry Belson,Garry Marshall,Jacqueline Bisset,Jim Brown,Joseph Cotten,Drama,Romance,,5.7
