,name,year,idbm_year,director,writers,star,rating,genre
2115,The Jesse Owens Story,1984,,Richard Irving,Harold Gast,"Dorian Harewood,Dan Ammerman,Bob Banks",7.1,"Biography,Drama,History"
2116,Johnny Dangerously,1984,1984,Amy Heckerling,"Norman Steinberg,Bernie Kukoff,Harry Colomby","Michael Keaton,Joe Piscopo,Marilu Henner",6.5,"Comedy,Crime"
2117,Just the Way You Are,1984,1984,Édouard Molinaro,Allan Burns,"Kristy McNichol,Michael Ontkean,Kaki Hunter",6.0,"Comedy,Music,Romance"
2118,The Karate Kid,1984,1984,John G. Avildsen,Robert Mark Kamen,"Ralph Macchio,Pat Morita,Elisabeth Shue",7.3,"Action,Drama,Family"
2119,Killpoint,1984,1984,Frank Harris,Frank Harris,"Leo Fong,Richard Roundtree,Cameron Mitchell",4.3,Action
2120,Lace,1984,,,,,6.8,Drama
2121,Lassiter,1984,1984,Roger Young,David Taylor,"Tom Selleck,Jane Seymour,Lauren Hutton",5.9,"Action,Crime,Drama"
2122,The Last Starfighter,1984,1984,Nick Castle,Jonathan R. Betuel,"Lance Guest,Robert Preston,Kay E. Kuter",6.8,"Action,Adventure,Sci-Fi"
2123,The Little Drummer Girl,1984,,,,,7.4,"Drama,Thriller"
2124,The Lonely Guy,1984,1984,Arthur Hiller,"Ed. Weinberger,Stan Daniels,Neil Simon","Steve Martin,Charles Grodin,Judith Ivey",6.2,"Comedy,Romance"
2125,Love Letters,1984,1983,Amy Holden Jones,Amy Holden Jones,"Jamie Lee Curtis,Bonnie Bartlett,Matt Clark",6.0,"Drama,Romance"
2126,Love Streams,1984,1984,John Cassavetes,"Ted Allan,John Cassavetes","Gena Rowlands,John Cassavetes,Diahnne Abbott",7.7,Drama
2127,Making the Grade,1984,1984,Dorian Walker,"Gene Quintano,Charles Gale","Judd Nelson,Jonna Lee,Gordon Jump",5.7,"Comedy,Romance"
2128,Maria's Lovers,1984,1984,Andrey Konchalovskiy,"Gérard Brach,Andrey Konchalovskiy,Paul Zindel","Nastassja Kinski,John Savage,Keith Carradine",6.6,"Drama,Romance"
2129,Mass Appeal,1984,1984,Glenn Jordan,Bill C. Davis,"Jack Lemmon,Zeljko Ivanek,Charles Durning",6.7,Drama
2130,Meatballs Part II,1984,1984,Ken Wiederhorn,"Martin Kitrosser,Carol Watson,Bruce Franklin Singer","Richard Mulligan,Hamilton Camp,John Mengatti",3.7,Comedy
2131,Micki and Maude,1984,1984,Blake Edwards,Jonathan Reynolds,"Dudley Moore,Amy Irving,Ann Reinking",6.0,"Comedy,Romance"
2132,Mike's Murder,1984,1984,James Bridges,James Bridges,"Debra Winger,Mark Keyloun,Darrell Larson",5.8,"Drama,Mystery,Thriller"
2133,Missing in Action,1984,1984,Joseph Zito,"Arthur Silver,Larry Levinson,Steve Bing","Chuck Norris,M. Emmet Walsh,David Tress",5.5,"Action,Adventure,Drama"
2134,Moscow on the Hudson,1984,1984,Paul Mazursky,"Paul Mazursky,Leon Capetanos","Robin Williams,Maria Conchita Alonso,Cleavant Derricks",6.5,"Comedy,Drama,Romance"
2135,Mrs. Soffel,1984,1984,Gillian Armstrong,Ron Nyswaner,"Diane Keaton,Mel Gibson,Matthew Modine",6.1,"Drama,Romance"
2136,The Muppets Take Manhattan,1984,1984,Frank Oz,"Tom Patchett,Jay Tarses,Frank Oz","Jim Henson,Frank Oz,Dave Goelz",6.9,"Adventure,Comedy,Drama"
2137,The Naked Face,1984,1984,Bryan Forbes,"Bryan Forbes,Sidney Sheldon","Roger Moore,Rod Steiger,Elliott Gould",5.5,"Action,Mystery,Thriller"
2138,National Lampoon's Joy of Sex,1984,1984,Martha Coolidge,"Kathleen Rowell,J.J. Salter,Alex Comfort","Cameron Dye,Michelle Meyrink,Colleen Camp",3.7,"Comedy,Romance"
2139,The Natural,1984,1984,Barry Levinson,"Bernard Malamud,Roger Towne,Phil Dusenberry","Robert Redford,Robert Duvall,Glenn Close",7.5,"Drama,Sport"
2140,The NeverEnding Story,1984,1984,Wolfgang Petersen,"Wolfgang Petersen,Herman Weigel,Michael Ende","Noah Hathaway,Barret Oliver,Tami Stronach",7.4,"Adventure,Drama,Family"
2141,Night Patrol,1984,1984,Jackie Kong,"Murray Langston,William A. Levey,Bill Osco","Linda Blair,Pat Paulsen,Jaye P. Morgan",4.8,Comedy
2142,Night of the Comet,1984,1984,Thom Eberhardt,Thom Eberhardt,"Catherine Mary Stewart,Kelli Maroney,Robert Beltran",6.4,"Comedy,Horror,Sci-Fi"
2143,A Nightmare on Elm Street,1984,1984,Wes Craven,Wes Craven,"Heather Langenkamp,Johnny Depp,Robert Englund",7.5,Horror
2144,Ninja III: The Domination,1984,1984,Sam Firstenberg,James R. Silke,"Shô Kosugi,Lucinda Dickey,Jordan Bennett",5.4,"Action,Fantasy,Thriller"
2145,No Small Affair,1984,1984,Jerry Schatzberg,"Craig Bolotin,Terence Mulcahy","Jon Cryer,Demi Moore,George Wendt",5.5,"Comedy,Drama,Music"
2146,Not for Publication,1984,1984,Paul Bartel,"Paul Bartel,John Meyer","Nancy Allen,Don Peoples,Catherine Schultz",4.9,"Comedy,Crime,Mystery"
2147,Nothing Lasts Forever,1984,1984,Tom Schiller,Tom Schiller,"Zach Galligan,Apollonia van Ravenstein,Lauren Tom",6.2,"Comedy,Drama,Fantasy"
2148,Old Enough,1984,1984,Marisa Silver,Marisa Silver,"Sarah Boyd,Rainbow Harvest,Neill Barry",6.4,Drama
2149,Once Upon a Time in America,1984,1984,Sergio Leone,"Harry Grey,Leonardo Benvenuti,Piero De Bernardi","Robert De Niro,James Woods,Elizabeth McGovern",8.3,"Crime,Drama"
2150,Over the Brooklyn Bridge,1984,1984,Menahem Golan,Arnold Somkin,"Elliott Gould,Margaux Hemingway,Sid Caesar",5.7,Comedy
2151,Oxford Blues,1984,1984,Robert Boris,Robert Boris,"Rob Lowe,Ally Sheedy,Amanda Pays",5.3,"Comedy,Drama,Sport"
2152,"Paris, Texas",1984,1984,Wim Wenders,"L.M. Kit Carson,Sam Shepard,Walter Donohue","Harry Dean Stanton,Nastassja Kinski,Dean Stockwell",8.1,Drama
2153,A Passage to India,1984,1984,David Lean,"E.M. Forster,Santha Rama Rau,David Lean","Judy Davis,Victor Banerjee,Peggy Ashcroft",7.3,"Adventure,Drama,History"
2154,The Perils of Gwendoline in the Land of the Yik-Yak,1984,1984,Just Jaeckin,"Just Jaeckin,John Willie,Jean-Luc Voulfow","Tawny Kitaen,Brent Huff,Zabou Breitman",5.3,"Action,Adventure,Comedy"
2155,The Philadelphia Experiment,1984,1984,Stewart Raffill,"Michael Janover,William Gray,Wallace C. Bennett","Michael Paré,Nancy Allen,Eric Christmas",6.1,"Adventure,Drama,Romance"
2156,Places in the Heart,1984,1984,Robert Benton,Robert Benton,"Sally Field,Lindsay Crouse,Ed Harris",7.4,Drama
2157,Police Academy,1984,1984,Hugh Wilson,"Neal Israel,Pat Proft,Hugh Wilson","Steve Guttenberg,G.W. Bailey,Kim Cattrall",6.7,Comedy
2158,The Pope of Greenwich Village,1984,1984,Stuart Rosenberg,Vincent Patrick,"Eric Roberts,Mickey Rourke,Daryl Hannah",6.7,"Action,Comedy,Crime"
2159,Protocol,1984,1984,Herbert Ross,"Buck Henry,Charles Shyer,Nancy Meyers","Goldie Hawn,Chris Sarandon,Richard Romanus",5.5,Comedy
2160,Purple Hearts,1984,2022,"Ben Lewin,Elizabeth Allen Rosenbaum","Sofia Carson,Liz W. Garcia,Kyle Jarrow","Sofia Carson,Nicholas Galitzine,Linden Ashby",,"Drama,Romance"
2161,Purple Rain,1984,1984,Albert Magnoli,"Albert Magnoli,William Blinn","Prince,Apollonia Kotero,Morris Day",6.5,"Drama,Music,Romance"
2162,Racing with the Moon,1984,1984,Richard Benjamin,Steve Kloves,"Sean Penn,Elizabeth McGovern,Nicolas Cage",6.7,"Comedy,Drama,Romance"
2163,The Razor's Edge,1984,1984,John Byrum,"W. Somerset Maugham,John Byrum,Bill Murray","Bill Murray,Theresa Russell,Denholm Elliott",6.6,"Drama,Romance,War"
2164,Reckless,1984,2013,Bjørn Erik Pihlmann Sørensen,"Einar Sverdrup,Bjørn Erik Pihlmann Sørensen","Silje Hagrim Dahl,Anneke von der Lippe,Thomas Stene-Johansen",6.4,"Short,Drama"
2165,Red Dawn,1984,1984,John Milius,"Kevin Reynolds,John Milius","Patrick Swayze,C. Thomas Howell,Lea Thompson",6.4,"Action,Drama,Thriller"
2166,Repo Man,1984,1984,Alex Cox,Alex Cox,"Harry Dean Stanton,Emilio Estevez,Tracey Walter",6.9,"Action,Comedy,Crime"
2167,Revenge of the Nerds,1984,1984,Jeff Kanew,"Tim Metcalfe,Miguel Tejada-Flores,Steve Zacharias","Robert Carradine,Anthony Edwards,Timothy Busfield",6.6,Comedy
2168,Rhinestone,1984,1984,Bob Clark,"Phil Alden Robinson,Sylvester Stallone","Sylvester Stallone,Dolly Parton,Richard Farnsworth",3.9,"Comedy,Music"
2169,The River,1984,,,,,6.8,"Action,Adventure,Drama"
2170,Roadhouse 66,1984,1984,John Mark Robinson,"Galen Lee,George Simpson","Willem Dafoe,Judge Reinhold,Kaaren Lee",5.3,"Action,Comedy,Romance"
2171,Romancing the Stone,1984,1984,Robert Zemeckis,"Diane Thomas,Lem Dobbs,Howard Franklin","Michael Douglas,Kathleen Turner,Danny DeVito",6.9,"Action,Adventure,Comedy"
2172,The Rosebud Beach Hotel,1984,1984,Harry Hurwitz,"Harry Narunsky,Irving Schwartz,Thomas Rudolph","Colleen Camp,Peter Scolari,Christopher Lee",4.4,"Comedy,Music"
2173,Runaway,1984,1984,Michael Crichton,Michael Crichton,"Tom Selleck,Cynthia Rhodes,Gene Simmons",5.9,"Action,Crime,Sci-Fi"
2174,Savage Streets,1984,1984,"Danny Steinmann,Tom DeSimone","Norman Yonemoto,Danny Steinmann,John Strong","Linda Blair,John Vernon,Robert Dryer",6.3,"Action,Crime,Drama"
2175,Secret Honor,1984,1984,Robert Altman,"Donald Freed,Arnold M. Stone",Philip Baker Hall,7.3,"Biography,Comedy,Drama"
2176,Sheena,1984,1984,John Guillermin,"David Newman,Lorenzo Semple Jr.,Leslie Stevens","Tanya Roberts,Ted Wass,Donovan Scott",4.9,"Adventure,Fantasy"
2177,Silent Madness,1984,1984,Simon Nuchtern,"Bob Zimmerman,Bill Milling,Simon Nuchtern","Belinda Montgomery,Viveca Lindfors,Solly Marx",5.2,"Horror,Thriller"
2178,"Silent Night, Deadly Night",1984,1984,Charles E. Sellier Jr.,"Paul Caimi,Michael Hickey","Lilyan Chauvin,Gilmer McCormick,Toni Nero",5.9,"Horror,Thriller"
2179,Sixteen Candles,1984,1984,John Hughes,John Hughes,"Molly Ringwald,Anthony Michael Hall,Justin Henry",7.0,"Comedy,Romance"
2180,Slapstick of Another Kind,1984,1982,Steven Paul,"Kurt Vonnegut Jr.,Steven Paul","Jerry Lewis,Madeline Kahn,Marty Feldman",2.6,"Comedy,Fantasy,Sci-Fi"
2181,A Soldier's Story,1984,1984,Norman Jewison,Charles Fuller,"Howard E. Rollins Jr.,Adolph Caesar,Art Evans",7.2,"Crime,Drama,Mystery"
2182,Songwriter,1984,1984,Alan Rudolph,Bud Shrake,"Willie Nelson,Kris Kristofferson,Melinda Dillon",6.3,"Drama,Music"
2183,Splash,1984,1984,Ron Howard,"Brian Grazer,Bruce Jay Friedman,Lowell Ganz","Tom Hanks,Daryl Hannah,Eugene Levy",6.3,"Comedy,Fantasy,Romance"
2184,Star Trek III: The Search for Spock,1984,1984,Leonard Nimoy,"Gene Roddenberry,Harve Bennett","William Shatner,Leonard Nimoy,DeForest Kelley",6.7,"Action,Adventure,Sci-Fi"
2185,Starman,1984,1984,John Carpenter,"Bruce A. Evans,Raynold Gideon,Dean Riesner","Jeff Bridges,Karen Allen,Charles Martin Smith",7.0,"Romance,Sci-Fi"
2186,Stop Making Sense,1984,1984,Jonathan Demme,"Jonathan Demme,Talking Heads","David Byrne,Bernie Worrell,Alex Weir",8.6,"Documentary,Music"
2187,Stranger Than Paradise,1984,1984,Jim Jarmusch,"Jim Jarmusch,John Lurie","John Lurie,Eszter Balint,Richard Edson",7.5,"Comedy,Drama"
2188,Streets of Fire,1984,1984,Walter Hill,"Walter Hill,Larry Gross","Michael Paré,Diane Lane,Rick Moranis",6.7,"Action,Crime,Drama"
2189,Suburbia,1984,1983,Penelope Spheeris,Penelope Spheeris,"Chris Pedersen,Bill Coyne,Jennifer Clay",7.0,"Drama,Thriller"
2190,Supergirl,1984,,,,,6.2,"Action,Adventure,Drama"
2191,Surf II,1984,1983,Randall M. Badat,Randall M. Badat,"Eddie Deezen,Linda Kerridge,Terry Kiser",5.4,Comedy
2192,Swing Shift,1984,1984,Jonathan Demme,"Nancy Dowd,Bo Goldman,Ron Nyswaner","Goldie Hawn,Kurt Russell,Christine Lahti",5.9,"Drama,Romance,War"
2193,Tank,1984,1984,Marvin J. Chomsky,Dan Gordon,"James Garner,Shirley Jones,C. Thomas Howell",5.8,"Action,Comedy,Drama"
2194,Teachers,1984,,,,,7.8,"Comedy,Drama"
2195,The Terminator,1984,1984,James Cameron,"James Cameron,Gale Anne Hurd,William Wisher","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",8.0,"Action,Sci-Fi"
2196,Terror in the Aisles,1984,1984,Andrew J. Kuehn,Margery Doppelt,"Donald Pleasence,Nancy Allen,Fred Asparagus",6.4,"Documentary,Horror,Thriller"
2197,Thief of Hearts,1984,1984,Douglas Day Stewart,Douglas Day Stewart,"Steven Bauer,Barbara Williams,John Getz",5.8,"Crime,Drama,Thriller"
2198,This Is Spinal Tap,1984,1984,Rob Reiner,"Christopher Guest,Michael McKean,Harry Shearer","Rob Reiner,Michael McKean,Christopher Guest",7.9,"Comedy,Music"
2199,Tightrope,1984,1984,"Richard Tuggle,Clint Eastwood",Richard Tuggle,"Clint Eastwood,Geneviève Bujold,Dan Hedaya",6.3,"Crime,Mystery,Thriller"
2200,Top Secret!,1984,1984,"Jim Abrahams,David Zucker,Jerry Zucker","Jim Abrahams,David Zucker,Jerry Zucker","Val Kilmer,Lucy Gutteridge,Peter Cushing",7.2,"Comedy,Crime,Music"
2201,The Toxic Avenger,1984,1984,"Michael Herz,Lloyd Kaufman","Lloyd Kaufman,Joe Ritter,Gay Partington Terry","Andree Maranda,Mitch Cohen,Jennifer Babtist",6.2,"Action,Comedy,Horror"
2202,Under the Volcano,1984,1984,John Huston,"Malcolm Lowry,Guy Gallo","Albert Finney,Jacqueline Bisset,Anthony Andrews",7.0,Drama
2203,Unfaithfully Yours,1984,1984,Howard Zieff,"Preston Sturges,Valerie Curtin,Barry Levinson","Dudley Moore,Nastassja Kinski,Armand Assante",6.0,"Comedy,Music,Romance"
2204,Until September,1984,1984,Richard Marquand,Janice Lee Graham,"Karen Allen,Thierry Lhermitte,Christopher Cazenove",5.7,"Drama,Romance"
2205,Up the Creek,1984,1984,Robert Butler,"Jim Kouf,Jeff Sherman,Douglas Grossman","Tim Matheson,Jennifer Runyon,Stephen Furst",5.6,Comedy
2206,The Warrior and the Sorceress,1984,1984,John C. Broderick,"John C. Broderick,William Stout,Ryûzô Kikushima","David Carradine,Luke Askew,María Socas",4.2,"Adventure,Fantasy"
2207,Where the Boys Are '84,1984,1984,Hy Averback,"Stu Krieger,Jeff Burkhart,Glendon Swarthout","Lisa Hartman,Lorna Luft,Wendy Schaal",4.1,Comedy
2208,The Wild Life,1984,1984,Art Linson,Cameron Crowe,"Chris Penn,Ilan Mitchell-Smith,Eric Stoltz",6.1,"Comedy,Drama"
2209,The Woman in Red,1984,1984,Gene Wilder,"Jean-Loup Dabadie,Yves Robert,Gene Wilder","Gene Wilder,Kelly LeBrock,Charles Grodin",6.0,"Comedy,Romance"
2210,A.D.,1985,,,,,7.3,"Drama,History"
2211,The Adventures of Mark Twain,1985,1985,Will Vinton,"Susan Shadburne,Mark Twain","James Whitmore,Michele Mariana,Gary Krug",7.4,"Animation,Adventure,Family"
2212,After Hours,1985,1985,Martin Scorsese,Joseph Minion,"Griffin Dunne,Rosanna Arquette,Verna Bloom",7.7,"Comedy,Crime,Drama"
2213,Agnes of God,1985,1985,Norman Jewison,John Pielmeier,"Jane Fonda,Anne Bancroft,Meg Tilly",6.6,"Drama,Mystery"
2214,Alamo Bay,1985,1985,Louis Malle,Alice Arlen,"Amy Madigan,Ed Harris,Ho Nguyen",6.1,"Action,Drama,Romance"
2215,Alice in Wonderland,1985,2010,Tim Burton,"Linda Woolverton,Lewis Carroll","Mia Wasikowska,Johnny Depp,Helena Bonham Carter",6.4,"Adventure,Family,Fantasy"
2216,American Flyers,1985,1985,John Badham,Steve Tesich,"Kevin Costner,David Marshall Grant,Rae Dawn Chong",6.5,"Drama,Sport"
2217,American Ninja,1985,1985,Sam Firstenberg,"Paul De Mielche,Avi Kleinberger,Gideon Amir","Michael Dudikoff,Steve James,Judie Aronson",5.5,"Action,Adventure,Romance"
2218,Anna Karenina,1985,2012,Joe Wright,"Tom Stoppard,Lev Tolstoy","Keira Knightley,Jude Law,Aaron Taylor-Johnson",6.6,"Drama,Romance"
2219,Appointment with Fear,1985,1985,Ramsey Thomas,"Gideon Davis,Bruce Meade,Ramsey Thomas","Michele Little,Michael Wyle,Kerry Remsen",3.0,"Fantasy,Horror"
2220,Avenging Angel,1985,1985,Robert Vincent O'Neil,"Robert Vincent O'Neil,Joseph Michael Cala,Sandra K. Bailey","Betsy Russell,Rory Calhoun,Susan Tyrrell",4.9,"Action,Crime,Thriller"
2221,"Aviator, The",1985,2004,Martin Scorsese,John Logan,"Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale",7.5,"Biography,Drama"
2222,Baby: Secret of the Lost Legend,1985,1985,Bill Norton,"Clifford Green,Ellen Green,David Lee Miller","William Katt,Sean Young,Patrick McGoohan",5.1,"Adventure,Family,Sci-Fi"
2223,Back to the Future,1985,1985,Robert Zemeckis,"Robert Zemeckis,Bob Gale","Michael J. Fox,Christopher Lloyd,Lea Thompson",8.5,"Adventure,Comedy,Sci-Fi"
2224,Bad Medicine,1985,1985,Harvey Miller,"Steven Horowitz,Neil Offen,Harvey Miller","Steve Guttenberg,Alan Arkin,Julie Hagerty",4.6,Comedy
2225,"Bad Seed, The",1985,1956,Mervyn LeRoy,"John Lee Mahin,Maxwell Anderson,William March","Nancy Kelly,Patty McCormack,Gage Clarke",7.5,"Drama,Horror,Thriller"
2226,Barbarian Queen,1985,1985,Héctor Olivera,Howard R. Cohen,"Lana Clarkson,Katt Shea,Frank Zagarino",4.2,"Adventure,Fantasy"
2227,Beer,1985,1985,Patrick Kelly,Allan Weisbecker,"Loretta Swit,Rip Torn,Kenneth Mars",5.3,Comedy
2228,Better Off Dead,1985,1985,Savage Steve Holland,Savage Steve Holland,"John Cusack,David Ogden Stiers,Kim Darby",7.2,"Comedy,Romance"
2229,Black Arrow,1985,,John Hough,"Robert Louis Stevenson,David Pursall,Harry Alan Towers","Benedict Taylor,Georgia Slowe,Oliver Reed",6.6,"Adventure,History"
2230,"Black Cauldron, The",1985,1985,"Ted Berman,Richard Rich","Lloyd Alexander,David Jonas,Vance Gerry","Grant Bardsley,Freddie Jones,Susan Sheridan",6.4,"Animation,Action,Adventure"
2231,"Boys Next Door, The",1985,1985,Penelope Spheeris,"Glen Morgan,James Wong","Maxwell Caulfield,Charlie Sheen,Patti D'Arbanville",6.4,"Crime,Drama,Thriller"
2232,Brazil,1985,1985,Terry Gilliam,"Terry Gilliam,Tom Stoppard,Charles McKeown","Jonathan Pryce,Kim Greist,Robert De Niro",7.9,"Drama,Sci-Fi"
2233,The Breakfast Club,1985,1985,John Hughes,John Hughes,"Emilio Estevez,Judd Nelson,Molly Ringwald",7.8,"Comedy,Drama"
2234,Brewster's Millions,1985,1985,Walter Hill,"George Barr McCutcheon,Herschel Weingrod,Timothy Harris","Richard Pryor,John Candy,Lonette McKee",6.5,Comedy
2235,The Bride,1985,1985,Franc Roddam,"Lloyd Fonvielle,Mary Shelley","Sting,Jennifer Beals,Anthony Higgins",5.4,"Fantasy,Horror,Romance"
2236,Bridge to Terabithia,1985,2007,Gabor Csupo,"Jeff Stockwell,David Paterson,Katherine Paterson","Josh Hutcherson,AnnaSophia Robb,Zooey Deschanel",7.2,"Drama,Family,Fantasy"
2237,Bring on the Night,1985,1985,Michael Apted,Michael Apted,"Miles A. Copeland III,Gil Friesen,Vic Garbarini",7.4,"Documentary,Music"
2238,Cat's Eye,1985,1985,Lewis Teague,Stephen King,"Drew Barrymore,James Woods,Alan King",6.3,"Comedy,Horror,Thriller"
2239,Certain Fury,1985,1985,Stephen Gyllenhaal,Michael Jacobs,"Tatum O'Neal,Irene Cara,Nicholas Campbell",5.3,"Action,Crime,Drama"
2240,"Chorus Line, A",1985,1985,Richard Attenborough,"Arnold Schulman,Michael Bennett,James Kirkwood Jr.","Michael Douglas,Terrence Mann,Michael Blevins",6.2,"Drama,Music,Musical"
2241,Clue,1985,1985,Jonathan Lynn,"John Landis,Jonathan Lynn,Anthony E. Pratt","Eileen Brennan,Tim Curry,Madeline Kahn",7.3,"Comedy,Crime,Mystery"
2242,The Coca-Cola Kid,1985,1985,Dusan Makavejev,"Frank Moorhouse,Denny Lawrence","Eric Roberts,Greta Scacchi,Bill Kerr",5.9,"Comedy,Drama"
2243,Cocoon,1985,1985,Ron Howard,"Tom Benedek,David Saperstein","Don Ameche,Wilford Brimley,Hume Cronyn",6.7,"Comedy,Drama,Sci-Fi"
2244,Code of Silence,1985,2021,Ben Mole,Luke Bailey,"Stephen Moyer,Alec Newman,Andrew Tiernan",5.5,Crime
2245,"Color Purple, The",1985,1985,Steven Spielberg,"Menno Meyjes,Alice Walker","Danny Glover,Whoopi Goldberg,Oprah Winfrey",7.8,Drama
2246,Commando,1985,1985,Mark L. Lester,"Jeph Loeb,Matthew Weisman,Steven E. de Souza","Arnold Schwarzenegger,Rae Dawn Chong,Dan Hedaya",6.7,"Action,Adventure,Thriller"
2247,The Company of Wolves,1985,1984,Neil Jordan,"Angela Carter,Neil Jordan,Charles Perrault","Sarah Patterson,Angela Lansbury,David Warner",6.7,"Drama,Fantasy,Horror"
2248,Compromising Positions,1985,1985,Frank Perry,Susan Isaacs,"Susan Sarandon,Raul Julia,Edward Herrmann",5.9,"Comedy,Drama,Mystery"
2249,Creator,1985,1985,Ivan Passer,Jeremy Leven,"Peter O'Toole,Mariel Hemingway,Vincent Spano",6.2,"Comedy,Romance,Sci-Fi"
2250,Creature,1985,1985,William Malone,"William Malone,Alan Reed","Stan Ivar,Wendy Schaal,Lyman Ward",4.4,"Horror,Sci-Fi"
2251,Crimewave,1985,,Michael Mann,Michael Mann,"Scott Plank,Alex McArthur,Michael Rooker",6.0,"Action,Crime,Drama"
2252,D.A.R.Y.L.,1985,1985,Simon Wincer,"David Ambrose,Allan Scott,Jeffrey Ellis","Mary Beth Hurt,Michael McKean,Kathryn Walker",6.3,"Family,Sci-Fi"
2253,Day of the Dead,1985,,,,,4.5,"Action,Drama,Horror"
2254,Death Wish 3,1985,1985,Michael Winner,"Don Jakoby,Brian Garfield","Charles Bronson,Deborah Raffin,Ed Lauter",5.9,"Action,Crime,Drama"
2255,Def-Con 4,1985,1985,"Paul Donovan,Digby Cook,Tony Randel",Paul Donovan,"Lenore Zann,Maury Chaykin,Kate Lynch",4.5,"Action,Sci-Fi"
2256,Desert Hearts,1985,1985,Donna Deitch,"Jane Rule,Natalie Cooper","Helen Shaver,Patricia Charbonneau,Audra Lindley",7.1,"Drama,Romance"
2257,Desperately Seeking Susan,1985,1985,Susan Seidelman,Leora Barish,"Rosanna Arquette,Madonna,Aidan Quinn",6.0,"Comedy,Drama"
2258,Dim Sum: A Little Bit of Heart,1985,1985,Wayne Wang,Terrel Seltzer,"Laureen Chew,Kim Chew,Victor Wong",6.5,Comedy
2259,"Dungeonmaster, The",1985,1984,"David Allen,Charles Band,John Carl Buechler","Charles Band,Allen Actor,Rosemarie Turko","Jeffrey Byron,Richard Moll,Leslie Wing",4.5,"Fantasy,Horror,Sci-Fi"
2260,Eleni,1985,2004,Theodoros Angelopoulos,"Theodoros Angelopoulos,Tonino Guerra,Petros Markaris","Alexandra Aidini,Nikos Poursanidis,Giorgos Armenis",7.9,"Drama,History,Romance"
2261,"Emerald Forest, The",1985,1985,John Boorman,"Rospo Pallenberg,Leonard Greenwood","Powers Boothe,Meg Foster,Yara Vaneau",6.9,"Action,Adventure,Drama"
2262,Enemy Mine,1985,1985,Wolfgang Petersen,"Barry Longyear,Edward Khmara","Dennis Quaid,Louis Gossett Jr.,Brion James",6.9,"Action,Adventure,Drama"
2263,Ewoks: The Battle for Endor,1985,,"Jim Wheat,Ken Wheat","Ken Wheat,Jim Wheat,George Lucas","Wilford Brimley,Warwick Davis,Aubree Miller",5.5,"Adventure,Family,Fantasy"
2264,Explorers,1985,1985,Joe Dante,Eric Luke,"Ethan Hawke,River Phoenix,Jason Presson",6.5,"Adventure,Comedy,Family"
2265,"Falcon and the Snowman, The",1985,1985,John Schlesinger,"Robert Lindsey,Steven Zaillian","Timothy Hutton,Sean Penn,Pat Hingle",6.8,"Biography,Crime,Drama"
2266,Fandango,1985,1985,Kevin Reynolds,Kevin Reynolds,"Kevin Costner,Judd Nelson,Sam Robards",6.7,"Comedy,Drama"
2267,Fast Forward,1985,,,,,7.6,"Drama,Mystery,Sci-Fi"
2268,Fever Pitch,1985,2005,"Bobby Farrelly,Peter Farrelly","Lowell Ganz,Babaloo Mandel,Nick Hornby","Drew Barrymore,Jimmy Fallon,Jason Spevack",6.2,"Comedy,Drama,Romance"
2269,Final Justice,1985,,Michael Switzer,Dennis Turner,"Patty Duke,Martin Sheen,Alexandra Powers",6.9,"Drama,Thriller"
2270,Flesh and Blood,1985,1985,Paul Verhoeven,"Gerard Soeteman,Paul Verhoeven","Rutger Hauer,Jennifer Jason Leigh,Tom Burlinson",6.7,"Adventure,Drama"
2271,Flesh and Bullets,1985,1985,Carlos Tobalina,Carlos Tobalina,"Glenn McKay,Gail Sterling,Mic Morrow",4.0,Crime
2272,Fletch,1985,1985,Michael Ritchie,"Gregory McDonald,Andrew Bergman,Phil Alden Robinson","Chevy Chase,Joe Don Baker,Dana Wheeler-Nicholson",6.9,"Comedy,Crime,Mystery"
2273,Fool for Love,1985,1985,Robert Altman,Sam Shepard,"Sam Shepard,Kim Basinger,Harry Dean Stanton",6.1,Drama
2274,Fraternity Vacation,1985,1985,James Frawley,Lindsay Harrison,"Stephen Geoffreys,Sheree J. Wilson,Cameron Dye",5.3,Comedy
2275,Friday the 13th: A New Beginning,1985,1985,Danny Steinmann,"Martin Kitrosser,David Cohen,Danny Steinmann","Melanie Kinnaman,John Shepherd,Anthony Barrile",4.8,"Horror,Mystery,Thriller"
2276,Fright Night,1985,1985,Tom Holland,Tom Holland,"Chris Sarandon,William Ragsdale,Amanda Bearse",7.1,"Comedy,Fantasy,Horror"
2277,Ghoulies,1985,1984,Luca Bercovici,"Luca Bercovici,Jefery Levy","Peter Liapis,Lisa Pelikan,Michael Des Barres",4.2,"Comedy,Fantasy,Horror"
2278,Girls Just Want to Have Fun,1985,1985,Alan Metter,Amy Spies,"Biff Yeager,Kristi Somers,Richard Blade",6.0,"Comedy,Music,Romance"
2279,"Goodbye, New York",1985,1985,Amos Kollek,Amos Kollek,"Julie Hagerty,Amos Kollek,Shmuel Shiloh",4.7,"Comedy,Drama,Romance"
2280,"Goonies, The",1985,1985,Richard Donner,"Chris Columbus,Steven Spielberg","Sean Astin,Josh Brolin,Jeff Cohen",7.8,"Adventure,Comedy,Family"
