,rating actual,rating predicted
7935,4.4,4.238507000115291
3071,7.6,7.020504590917292
7586,5.9,5.821998802521958
2941,6.7,6.624530865031473
282,7.5,7.324770836168541
2395,5.4,5.279750044059971
5827,7.3,6.858388967367607
2180,8.5,8.984106125895604
7715,5.1,4.8713052115297915
7619,2.4,1.671451563339379
4932,4.6,4.9114288031071425
4816,5.5,6.104377638866959
4397,7.2,7.336071796183645
649,5.1,4.75271302328993
994,6.8,6.908525060250976
4584,6.5,6.365626055951695
871,4.6,5.283545084025636
1286,4.8,4.872190957714444
2845,5.9,6.199508080728518
7132,5.8,5.72666094749464
5058,8.0,7.5128100866553735
1975,5.5,5.3198237433847995
949,6.8,6.5461067409643325
3417,5.7,5.822206339118536
365,5.8,6.286082048284764
4497,6.4,6.314898099617254
6953,7.0,6.575949191865253
987,7.2,6.292196074565576
5522,5.7,5.619841546439958
2740,4.8,5.200214847395566
1002,7.2,6.697531973769473
635,6.2,5.745330817823679
7587,5.9,5.890322874486666
6138,5.5,6.16986834633571
2654,6.5,6.482675711995165
7361,7.2,7.362411806395442
5565,6.2,6.511550634002556
3353,6.6,6.64127390859779
5774,7.6,7.918282142943741
1556,4.8,5.063795010330621
1514,6.5,6.528231046406698
3998,6.2,6.482741688041451
455,6.3,6.49263007000683
7829,4.7,5.421814846459426
2130,6.6,6.6684217668881685
7631,6.8,6.713433235439527
6217,6.8,7.307207832313355
2436,5.1,5.0846280918336975
7661,7.4,7.209881359472168
4749,5.5,5.732688154152149
5605,5.4,5.200345885737074
3763,4.5,4.582142349379843
945,7.1,6.576553119211648
679,7.8,7.3108439997240255
4547,6.3,6.260450267535241
7530,5.6,6.216518969539111
2474,5.6,5.369549876549847
3855,6.1,5.924705141237385
7404,5.8,5.729553289402673
5508,5.9,5.283731172431341
7100,6.5,6.626994918011484
4863,6.3,6.516830307160071
1784,6.0,6.266851577968963
4458,6.3,6.360270326351885
5611,6.1,5.916224434087854
5652,6.2,6.149440883400903
3765,7.4,7.102033586892248
7483,5.6,5.765776329274912
2405,5.0,5.645869795727539
4930,6.9,6.69256071495593
6917,6.6,6.78775943012143
2201,7.4,7.161742978841789
1574,5.8,5.88326302668252
3344,3.7,4.377522631714021
685,5.5,5.3880552908484995
6298,6.5,6.326569962757937
2971,5.6,6.0663551367021755
2456,7.3,7.347283844763072
7813,6.1,6.172011333627589
903,5.8,5.472086020332655
6616,5.4,5.925440386623606
6087,6.9,7.01172622081105
6571,6.4,7.008526662008124
5160,6.5,6.36371743605246
3107,5.3,5.585552986309968
5387,7.2,7.052091788739037
1728,7.3,7.118169617457448
7957,5.4,5.370199521829469
6219,7.2,7.141205551199895
835,6.0,5.996322333093253
7170,7.1,7.2602864441651915
2592,6.9,7.063931100875032
7516,7.3,7.840198181165147
448,7.7,7.6264202004864545
3462,7.3,7.018814293445346
7558,7.6,7.7276004248524
6589,7.2,7.0312820288729805
7304,6.8,6.696061121882646
5002,7.5,7.601130314392738
5853,7.9,7.74163779425768
6538,6.3,6.436516483087501
459,7.3,6.740385195238857
7834,5.6,5.871176822466669
3000,7.0,5.6793629574681495
