,name,year,idbm_year,length,director,writers,star,rating,genre
6655,Easy Listening,2002,2002,1h 25m,Pamela Corkey,Pamela Corkey,"David Ian,Traci L. Crouch,Timothy Crowe",6.8,"Comedy,Drama,Music"
6656,Eight Crazy Nights,2002,2002,1h 16m,Seth Kearsley,"Brooks Arthur,Allen Covert,Brad Isaacs","Adam Sandler,Rob Schneider,Jackie Sandler",5.3,"Animation,Comedy,Musical"
6657,Eight Legged Freaks,2002,2002,1h 39m,Ellory Elkayem,"Ellory Elkayem,Randy Kornfield,Jesse Alexander","David Arquette,Kari Wuhrer,Scott Terra",5.4,"Action,Adventure,Comedy"
6658,The Emperor's Club,2002,2002,1h 49m,Michael Hoffman,"Ethan Canin,Neil Tolkin","Kevin Kline,Emile Hirsch,Joel Gretsch",6.9,Drama
6659,Empire,2002,,TV-14TV-14,,,,7.3,"Drama,Music"
6660,Enough,2002,2002,1h 55m,Michael Apted,Nicholas Kazan,"Jennifer Lopez,Billy Campbell,Tessa Allen",5.8,"Crime,Drama,Thriller"
6661,Equilibrium,2002,2002,1h 47m,Kurt Wimmer,Kurt Wimmer,"Christian Bale,Sean Bean,Emily Watson",7.4,"Action,Drama,Sci-Fi"
6662,Evelyn,2002,2002,1h 34m,Bruce Beresford,Paul Pender,"Pierce Brosnan,Julianna Margulies,Aidan Quinn",7.0,Drama
6663,Far from Heaven,2002,2002,1h 47m,Todd Haynes,Todd Haynes,"Julianne Moore,Dennis Quaid,Dennis Haysbert",7.4,"Drama,Romance"
6664,FeardotCom,2002,2002,1h 41m,William Malone,"Moshe Diamant,Josephine Coyle,Holly Payberg-Torroija","Stephen Dorff,Natascha McElhone,Stephen Rea",3.4,"Crime,Horror,Thriller"
6665,The First $20 Million Is Always the Hardest,2002,2002,1h 45m,Mick Jackson,"Po Bronson,Jon Favreau,Gary Tieche","Adam Garcia,Rosario Dawson,Jake Busey",5.6,Comedy
6666,Frida,2002,2002,2h 3m,Julie Taymor,"Hayden Herrera,Clancy Sigal,Diane Lake","Salma Hayek,Alfred Molina,Geoffrey Rush",7.4,"Biography,Drama,Romance"
6667,Friday After Next,2002,2002,1h 25m,Marcus Raboy,"Ice Cube,DJ Pooh","Ice Cube,Mike Epps,John Witherspoon",5.8,"Comedy,Drama"
6668,The Four Feathers,2002,2002,2h 12m,Shekhar Kapur,"A.E.W. Mason,Michael Schiffer,Hossein Amini","Heath Ledger,Wes Bentley,Kate Hudson",6.5,"Action,Adventure,Drama"
6669,Full Frontal,2002,2002,1h 41m,Steven Soderbergh,Coleman Hough,"Julia Roberts,David Hyde Pierce,David Duchovny",4.7,"Comedy,Romance"
6670,Gangs of New York,2002,2002,2h 47m,Martin Scorsese,"Jay Cocks,Steven Zaillian,Kenneth Lonergan","Leonardo DiCaprio,Cameron Diaz,Daniel Day-Lewis",7.5,"Crime,Drama"
6671,Ghost Ship,2002,2002,1h 31m,Steve Beck,"Mark Hanlon,John Pogue","Julianna Margulies,Gabriel Byrne,Ron Eldard",5.5,Horror
6672,The Good Girl,2002,2002,1h 33m,Miguel Arteta,Mike White,"Jennifer Aniston,Jake Gyllenhaal,Deborah Rush",6.4,"Drama,Romance"
6673,Groom Lake,2002,2002,,William Shatner,"Maurice Hurley,William Shatner","William Shatner,Dan Gauthier,Amy Acker",2.7,"Horror,Sci-Fi"
6674,The Guru,2002,2002,1h 34m,Daisy von Scherler Mayer,Tracey Jackson,"Jimi Mistry,Heather Graham,Marisa Tomei",5.4,"Comedy,Music,Romance"
6675,The Guys,2002,2002,1h 24m,Jim Simpson,"Anne Nelson,Jim Simpson","Sigourney Weaver,Anthony LaPaglia,Irene Walsh",6.4,Drama
6676,Half Past Dead,2002,2002,1h 38m,Don Michael Paul,Don Michael Paul,"Morris Chestnut,Steven Seagal,Matt Battaglia",4.7,"Action,Crime,Thriller"
6677,Halloween: Resurrection,2002,2002,1h 34m,Rick Rosenthal,"Debra Hill,John Carpenter,Larry Brand","Jamie Lee Curtis,Busta Rhymes,Brad Loree",4.0,"Horror,Thriller"
6678,Harry Potter and the Chamber of Secrets,2002,2002,2h 41m,Chris Columbus,"J.K. Rowling,Steve Kloves","Daniel Radcliffe,Rupert Grint,Emma Watson",7.4,"Adventure,Family,Fantasy"
6679,Hart's War,2002,2002,2h 5m,Gregory Hoblit,"John Katzenbach,Billy Ray,Terry George","Bruce Willis,Colin Farrell,Terrence Howard",6.3,"Drama,War"
6680,Hey Arnold!: The Movie,2002,2002,1h 16m,Tuck Tucker,"Craig Bartlett,Steve Viksten","Spencer Klein,Francesca Marie Smith,Jamil Walker Smith",6.0,"Animation,Adventure,Comedy"
6681,High Crimes,2002,2002,1h 55m,Carl Franklin,"Joseph Finder,Yuri Zeltser,Grace Cary Bickley","Jim Caviezel,Morgan Freeman,Ashley Judd",6.4,"Crime,Drama,Mystery"
6682,Highway,2002,1996,1h 42m,Matthew Bright,Matthew Bright,"Reese Witherspoon,Kiefer Sutherland,Bokeem Woodbine",6.8,"Crime,Drama,Thriller"
6683,Hollywood Ending,2002,2002,1h 52m,Woody Allen,Woody Allen,"Woody Allen,Téa Leoni,Bob Dorian",6.6,"Comedy,Romance"
6684,Home Room,2002,2002,2h 13m,Paul F. Ryan,Paul F. Ryan,"Busy Philipps,Erika Christensen,Victor Garber",7.2,"Crime,Drama"
6685,The Hot Chick,2002,2002,1h 44m,Tom Brady,"Tom Brady,Rob Schneider","Rob Schneider,Rachel McAdams,Anna Faris",5.5,"Comedy,Fantasy"
6686,The Hours,2002,2002,1h 50m,Stephen Daldry,"Michael Cunningham,David Hare","Meryl Streep,Nicole Kidman,Julianne Moore",7.5,"Drama,Romance"
6687,Hysterical Blindness,2002,,TV-MATV-MA,Mira Nair,Laura Cahill,"Uma Thurman,Juliette Lewis,Gena Rowlands",6.5,Drama
6688,I Spy,2002,,51m,,,,7.1,"Action,Adventure,Comedy"
6689,Ice Age,2002,2002,1h 21m,"Chris Wedge,Carlos Saldanha","Michael J. Wilson,Michael Berg,Peter Ackerman","Denis Leary,John Leguizamo,Ray Romano",7.5,"Animation,Adventure,Comedy"
6690,Igby Goes Down,2002,2002,1h 38m,Burr Steers,Burr Steers,"Kieran Culkin,Susan Sarandon,Jeff Goldblum",6.9,"Comedy,Drama"
6691,Impostor,2002,2019,1h 30m,Lee Cronin,"Lee Cronin,Stephen Shields","Seána Kerslake,James Quinn Markey,Kati Outinen",5.7,"Drama,Horror,Mystery"
6692,Interstate 60,2002,2002,1h 56m,Bob Gale,Bob Gale,"James Marsden,Gary Oldman,Kurt Russell",7.7,"Adventure,Comedy,Drama"
6693,Insomnia,2002,2002,1h 58m,Christopher Nolan,"Hillary Seitz,Nikolaj Frobenius,Erik Skjoldbjærg","Al Pacino,Robin Williams,Hilary Swank",7.2,"Drama,Mystery,Thriller"
6694,Jackass: The Movie,2002,2002,1h 27m,Jeff Tremaine,"Jeff Tremaine,Spike Jonze,Johnny Knoxville","Johnny Knoxville,Bam Margera,Chris Pontius",6.6,"Documentary,Action,Comedy"
6695,Jason X,2002,2001,1h 32m,James Isaac,"Todd Farmer,Victor Miller","Kane Hodder,Lexa Doig,Jeff Geddis",4.4,"Action,Horror,Sci-Fi"
6696,John Q,2002,2002,1h 56m,Nick Cassavetes,James Kearns,"Denzel Washington,Robert Duvall,Gabriela Oltean",7.1,"Crime,Drama,Thriller"
6697,Jonah: A VeggieTales Movie,2002,2002,1h 22m,"Mike Nawrocki,Phil Vischer","Phil Vischer,Mike Nawrocki,Tim Hodge","Phil Vischer,Mike Nawrocki,Tim Hodge",6.5,"Animation,Adventure,Comedy"
6698,Juwanna Mann,2002,2002,1h 31m,Jesse Vaughan,Bradley Allenstein,"Miguel A. Núñez Jr.,Christopher Simmons,Vivica A. Fox",4.7,"Comedy,Drama,Romance"
6699,K-19: The Widowmaker,2002,2002,2h 18m,Kathryn Bigelow,"Louis Nowra,Christopher Kyle","Harrison Ford,Sam Spruell,Peter Stebbings",6.7,"Drama,History,Thriller"
6700,K-9: P.I.,2002,,PG-13PG-13,Richard J. Lewis,"Steven Siegel,Scott Myers,Gary Scott Thompson","Jim Belushi,Gary Basaraba,Kim Huffman",5.8,"Action,Comedy,Crime"
6701,The Kid Stays in the Picture,2002,2002,1h 33m,"Nanette Burstein,Brett Morgen","Robert Evans,Brett Morgen","Robert Evans,Eddie Albert,Peter Bart",7.4,"Documentary,Biography"
6702,Killing Me Softly,2002,2002,1h 40m,Kaige Chen,"Sean French,Kara Lindstrom","Heather Graham,Joseph Fiennes,Natascha McElhone",5.5,"Drama,Mystery,Romance"
6703,Kiss the Bride,2002,2002,1h 29m,Vanessa Parise,Vanessa Parise,"Amanda Detmer,Sean Patrick Flanery,Brooke Langton",5.3,"Comedy,Drama,Romance"
6704,Kung Pow! Enter the Fist,2002,2002,1h 21m,Steve Oedekerk,Steve Oedekerk,"Steve Oedekerk,Fei Lung,Leo Lee",6.2,"Action,Comedy"
6705,The Laramie Project,2002,,TV-14TV-14,Moisés Kaufman,"Moisés Kaufman,Stephen Belber,Amanda Gronich","Christina Ricci,Steve Buscemi,Kathleen Chalfant",7.2,"Crime,Drama,History"
6706,Last Call,2002,2021,1h 42m,Paolo Pilladi,"Greg Lingo,Michael Baughan,Billy Reilly","Jeremy Piven,Taryn Manning,Zach McGowan",4.1,Comedy
6707,Laurel Canyon,2002,2002,1h 43m,Lisa Cholodenko,Lisa Cholodenko,"Frances McDormand,Alessandro Nivola,Christian Bale",6.4,Drama
6708,Life or Something Like It,2002,2002,1h 43m,Stephen Herek,"John Scott Shepherd,Dana Stevens","Angelina Jolie,Edward Burns,Tony Shalhoub",5.8,"Comedy,Romance"
6709,Like Mike,2002,2002,1h 39m,John Schultz,"Michael Elliot,Jordan Moffet","Shad Moss,Jonathan Lipnicki,Morris Chestnut",5.3,"Comedy,Family,Fantasy"
6710,Lilo & Stitch,2002,2002,1h 25m,"Dean DeBlois,Chris Sanders","Chris Sanders,Dean DeBlois","Daveigh Chase,Chris Sanders,Tia Carrere",7.3,"Animation,Adventure,Comedy"
6711,The Lord of the Rings: The Two Towers,2002,2002,2h 59m,Peter Jackson,"J.R.R. Tolkien,Fran Walsh,Philippa Boyens","Elijah Wood,Ian McKellen,Viggo Mortensen",8.7,"Action,Adventure,Drama"
6712,Maid in Manhattan,2002,2002,1h 45m,Wayne Wang,"John Hughes,Kevin Wade","Jennifer Lopez,Ralph Fiennes,Natasha Richardson",5.3,"Comedy,Drama,Romance"
6713,The Man from Elysian Fields,2002,2001,1h 46m,George Hickenlooper,Phillip Jayson Lasker,"Andy Garcia,Mick Jagger,Julianna Margulies",6.6,"Drama,Romance"
6714,The Master of Disguise,2002,2002,1h 20m,Perry Andelin Blake,"Dana Carvey,Harris Goldberg","Dana Carvey,Jennifer Esposito,Harold Gould",3.4,"Adventure,Comedy,Family"
6715,Men in Black II,2002,2002,1h 28m,Barry Sonnenfeld,"Lowell Cunningham,Robert Gordon,Barry Fanaro","Tommy Lee Jones,Will Smith,Rip Torn",6.2,"Action,Adventure,Comedy"
6716,Minority Report,2002,2002,2h 25m,Steven Spielberg,"Philip K. Dick,Scott Frank,Jon Cohen","Tom Cruise,Colin Farrell,Samantha Morton",7.6,"Action,Crime,Mystery"
6717,Moonlight Mile,2002,2002,1h 57m,Brad Silberling,Brad Silberling,"Jake Gyllenhaal,Dustin Hoffman,Susan Sarandon",6.6,"Drama,Romance"
6718,The Mothman Prophecies,2002,2002,1h 59m,Mark Pellington,"Richard Hatem,John A. Keel","Richard Gere,Laura Linney,David Eigenberg",6.4,"Drama,Horror,Mystery"
6719,Mr. Deeds,2002,2002,1h 36m,Steven Brill,"Clarence Budington Kelland,Robert Riskin,Tim Herlihy","Adam Sandler,Winona Ryder,John Turturro",5.8,"Comedy,Romance"
6720,Murder by Numbers,2002,2002,1h 55m,Barbet Schroeder,Tony Gayton,"Sandra Bullock,Ben Chaplin,Ryan Gosling",6.2,"Crime,Mystery,Thriller"
6721,My Big Fat Greek Wedding,2002,2002,1h 35m,Joel Zwick,Nia Vardalos,"Nia Vardalos,John Corbett,Michael Constantine",6.6,"Comedy,Drama,Romance"
6722,Narc,2002,2002,1h 45m,Joe Carnahan,Joe Carnahan,"Ray Liotta,Jason Patric,Chi McBride",7.1,"Crime,Drama,Mystery"
6723,National Lampoon's Van Wilder,2002,2002,1h 32m,Walt Becker,"Brent Goldberg,David Wagner","Ryan Reynolds,Tara Reid,Tim Matheson",6.4,"Comedy,Romance"
6724,New Best Friend,2002,2002,1h 31m,Zoe Clarke-Williams,Victoria Strouse,"Taye Diggs,Dominique Swain,Mia Kirshner",5.3,"Drama,Mystery,Thriller"
6725,The New Guy,2002,2002,1h 28m,Ed Decter,David Kendall,"DJ Qualls,Lyle Lovett,Eliza Dushku",5.9,Comedy
6726,Nicholas Nickleby,2002,2002,2h 12m,Douglas McGrath,"Charles Dickens,Douglas McGrath","Charlie Hunnam,Jamie Bell,Christopher Plummer",7.2,"Adventure,Drama,Romance"
6727,Night at the Golden Eagle,2002,2001,1h 27m,Adam Rifkin,Adam Rifkin,"Vinny Argiro,James Caan,Donnie Montemarano",5.9,Drama
6728,On Line,2002,2002,1h 37m,Jed Weintrob,"Andrew Osborne,Jed Weintrob","Josh Hamilton,Harold Perrineau,Isabel Gillies",5.4,Drama
6729,One Hour Photo,2002,2002,1h 36m,Mark Romanek,Mark Romanek,"Robin Williams,Connie Nielsen,Michael Vartan",6.8,"Drama,Thriller"
6730,Orange County,2002,,TV-PGTV-PG,,,,7.5,"Comedy,Drama,Romance"
6731,Paid in Full,2002,2002,1h 37m,Charles Stone III,"Azie Faison Jr.,Austin Phillips,Matthew Cirulnick","Mekhi Phifer,Wood Harris,Chi McBride",7.1,"Action,Crime,Drama"
6732,Panic Room,2002,2002,1h 52m,David Fincher,David Koepp,"Jodie Foster,Kristen Stewart,Forest Whitaker",6.8,"Crime,Drama,Thriller"
6733,Path to War,2002,,Not RatedNot Rated,John Frankenheimer,Daniel Giat,"Michael Gambon,Donald Sutherland,Alec Baldwin",7.3,"Biography,Drama,War"
6734,Personal Velocity: Three Portraits,2002,2002,1h 26m,Rebecca Miller,Rebecca Miller,"Kyra Sedgwick,Parker Posey,Fairuza Balk",6.5,"Drama,Romance"
6735,Pinocchio,2002,2022,,"Guillermo del Toro,Mark Gustafson","Carlo Collodi,Gris Grimly,Patrick McHale","Cate Blanchett,Finn Wolfhard,Ron Perlman",,"Animation,Drama,Family"
6736,Poolhall Junkies,2002,2002,1h 39m,Mars Callahan,"Mars Callahan,Chris Corso","Mars Callahan,Chazz Palminteri,Michael Rosenbaum",6.9,"Comedy,Drama,Sport"
6737,Possession,2002,1981,2h 4m,Andrzej Zulawski,"Andrzej Zulawski,Frederic Tuten","Isabelle Adjani,Sam Neill,Margit Carstensen",7.4,"Drama,Horror"
6738,The Powerpuff Girls Movie,2002,2002,1h 13m,"Craig McCracken,Genndy Tartakovsky","Charlie Bean,Lauren Faust,Craig McCracken","Cathy Cavadini,Tara Strong,Elizabeth Daily",6.6,"Animation,Action,Adventure"
6739,Prisoner of Paradise,2002,2002,1h 36m,"Malcolm Clarke,Stuart Sender",Malcolm Clarke,"Ian Holm,Robert Lantz,Eleonore Hertzberg",7.6,"Documentary,Biography"
6740,Pumpkin,2002,2002,1h 53m,"Anthony Abrams,Adam Larson Broder",Adam Larson Broder,"Christina Ricci,Hank Harris,Brenda Blethyn",6.1,"Comedy,Drama,Romance"
6741,Punch-Drunk Love,2002,2002,1h 35m,Paul Thomas Anderson,Paul Thomas Anderson,"Adam Sandler,Emily Watson,Philip Seymour Hoffman",7.3,"Comedy,Drama,Romance"
6742,Queen of the Damned,2002,2002,1h 41m,Michael Rymer,"Anne Rice,Scott Abbott,Michael Petroni","Aaliyah,Stuart Townsend,Marguerite Moreau",5.3,"Drama,Fantasy,Horror"
6743,The Quiet American,2002,2002,1h 41m,Phillip Noyce,"Graham Greene,Christopher Hampton,Robert Schenkkan","Michael Caine,Brendan Fraser,Thi Hai Yen Do",7.0,"Drama,Romance,Thriller"
6744,R.S.V.P.,2002,1968,1h 39m,Blake Edwards,"Blake Edwards,Tom Waldman,Frank Waldman","Peter Sellers,Claudine Longet,Natalia Borisova",7.5,Comedy
6745,Real Women Have Curves,2002,2002,1h 30m,Patricia Cardoso,"Josefina Lopez,George LaVoo","America Ferrera,Lupe Ontiveros,Ingrid Oliu",6.9,"Comedy,Drama"
6746,Red Dragon,2002,2002,2h 4m,Brett Ratner,"Thomas Harris,Ted Tally","Anthony Hopkins,Edward Norton,Ralph Fiennes",7.2,"Crime,Drama,Thriller"
6747,Reign of Fire,2002,2002,1h 41m,Rob Bowman,"Gregg Chabot,Kevin Peterka,Matt Greenberg","Matthew McConaughey,Christian Bale,Izabella Scorupco",6.2,"Action,Adventure,Fantasy"
6748,Return to Never Land,2002,2002,1h 12m,"Robin Budd,Donovan Cook","Temple Mathews,Carter Crocker,J.M. Barrie","Blayne Weaver,Harriet Owen,Corey Burton",5.8,"Animation,Adventure,Family"
6749,The Ring,2002,2002,1h 55m,Gore Verbinski,"Ehren Kruger,Kôji Suzuki,Hiroshi Takahashi","Naomi Watts,Martin Henderson,Brian Cox",7.1,"Horror,Mystery"
6750,Ripley's Game,2002,2002,1h 50m,Liliana Cavani,"Charles McKeown,Liliana Cavani,Patricia Highsmith","John Malkovich,Dougray Scott,Lena Headey",6.6,"Crime,Drama,Mystery"
6751,Road to Perdition,2002,2002,1h 57m,Sam Mendes,"Max Allan Collins,Richard Piers Rayner,David Self","Tom Hanks,Tyler Hoechlin,Rob Maxey",7.7,"Crime,Drama,Thriller"
6752,Roger Dodger,2002,2002,1h 46m,Dylan Kidd,Dylan Kidd,"Campbell Scott,Jesse Eisenberg,Isabella Rossellini",6.9,"Comedy,Drama"
6753,Rollerball,2002,1975,2h 5m,Norman Jewison,William Harrison,"James Caan,John Houseman,Maud Adams",6.6,"Action,Sci-Fi,Sport"
6754,The Rookie,2002,,TV-14TV-14,,,,8.1,"Crime,Drama"
6755,The Rules of Attraction,2002,2002,1h 50m,Roger Avary,"Bret Easton Ellis,Roger Avary","James Van Der Beek,Ian Somerhalder,Shannyn Sossamon",6.6,"Comedy,Drama,Romance"
6756,S1m0ne,2002,2002,1h 57m,Andrew Niccol,Andrew Niccol,"Al Pacino,Catherine Keener,Rachel Roberts",6.1,"Comedy,Drama,Sci-Fi"
6757,The Salton Sea,2002,2002,1h 43m,D.J. Caruso,Tony Gayton,"Val Kilmer,Vincent D'Onofrio,Adam Goldberg",7.1,"Crime,Drama,Mystery"
6758,The Santa Clause 2,2002,2002,1h 44m,Michael Lembeck,"Don Rhymer,Cinco Paul,Ken Daurio","Tim Allen,Spencer Breslin,Elizabeth Mitchell",5.7,"Comedy,Family,Fantasy"
6759,Scooby-Doo,2002,2002,1h 29m,Raja Gosnell,"James Gunn,Craig Titley,William Hanna","Matthew Lillard,Freddie Prinze Jr.,Sarah Michelle Gellar",5.2,"Adventure,Comedy,Family"
6760,The Scorpion King,2002,2002,1h 32m,Chuck Russell,"Stephen Sommers,Jonathan Hales,William Osborne","Dwayne Johnson,Steven Brand,Michael Clarke Duncan",5.5,"Action,Adventure,Fantasy"
6761,The Secret Lives of Dentists,2002,2002,1h 44m,Alan Rudolph,"Jane Smiley,Craig Lucas","Campbell Scott,Hope Davis,Denis Leary",6.4,Drama
6762,Secretary,2002,2002,1h 47m,Steven Shainberg,"Erin Cressida Wilson,Mary Gaitskill,Steven Shainberg","James Spader,Maggie Gyllenhaal,Jeremy Davies",7.0,"Comedy,Drama,Romance"
6763,Serving Sara,2002,2002,1h 42m,Reginald Hudlin,"Jay Scherick,David Ronn","Matthew Perry,Elizabeth Hurley,Bruce Campbell",5.4,"Comedy,Romance"
6764,Showboy,2002,2002,1h 33m,"Lindy Heymann,Christian Taylor","Christian Taylor,Lindy Heymann,Jason Buchtel","Christian Taylor,Lindy Heymann,Joe Daley",5.5,"Comedy,Drama"
6765,Showtime,2002,,,,,,,"Drama,Sport"
6766,The Singles Ward,2002,2002,1h 42m,Kurt Hale,"John E. Moyer,Kurt Hale,Eric Player","Will Swenson,Connie Young,Daryn Tufts",6.4,"Comedy,Drama,Romance"
6767,Signs,2002,2002,1h 46m,M. Night Shyamalan,M. Night Shyamalan,"Mel Gibson,Joaquin Phoenix,Rory Culkin",6.7,"Drama,Mystery,Sci-Fi"
6768,Slackers,2002,2002,1h 26m,Dewey Nicks,David H. Steinberg,"Devon Sawa,Robert B. Martin Jr.,Jason Segel",5.4,"Comedy,Romance"
6769,Snow Dogs,2002,2002,1h 39m,Brian Levant,"Jim Kouf,Tommy Swerdlow,Michael Goldberg","Cuba Gooding Jr.,James Coburn,Sisqó",5.2,"Adventure,Comedy,Family"
6770,Solaris,2002,2002,1h 39m,Steven Soderbergh,"Stanislaw Lem,Steven Soderbergh","George Clooney,Natascha McElhone,Ulrich Tukur",6.2,"Drama,Mystery,Romance"
6771,Sorority Boys,2002,2002,1h 33m,Wallace Wolodarsky,"Joe Jarvis,Greg Coolidge","Barry Watson,Harland Williams,Michael Rosenbaum",5.5,Comedy
6772,Spellbound,2002,2022,,,,,,"Animation,Adventure,Comedy"
6773,Spider-Man,2002,2002,2h 1m,Sam Raimi,"Stan Lee,Steve Ditko,David Koepp","Tobey Maguire,Kirsten Dunst,Willem Dafoe",7.3,"Action,Adventure,Sci-Fi"
6774,Spirit: Stallion of the Cimarron,2002,2002,1h 23m,"Kelly Asbury,Lorna Cook","John Fusco,Michael Lucker","Matt Damon,James Cromwell,Daniel Studi",7.2,"Animation,Adventure,Drama"
6775,Spun,2002,2002,1h 41m,Jonas Åkerlund,"Will De Los Santos,Creighton Vero","Jason Schwartzman,John Leguizamo,Patrick Fugit",6.8,"Comedy,Crime,Drama"
6776,Spy Kids 2: The Island of Lost Dreams,2002,2002,1h 40m,Robert Rodriguez,Robert Rodriguez,"Alexa PenaVega,Daryl Sabara,Antonio Banderas",5.2,"Action,Adventure,Comedy"
6777,Star Wars: Episode II – Attack of the Clones,2002,2002,2h 22m,George Lucas,"George Lucas,Jonathan Hales,John Ostrander","Hayden Christensen,Natalie Portman,Ewan McGregor",6.5,"Action,Adventure,Fantasy"
6778,Star Trek Nemesis,2002,2002,1h 56m,Stuart Baird,"Gene Roddenberry,John Logan,Rick Berman","Patrick Stewart,Jonathan Frakes,Brent Spiner",6.4,"Action,Adventure,Sci-Fi"
6779,State Property,2002,2002,1h 28m,Abdul Malik Abbott,"Abdul Malik Abbott,Ernest 'Tron' Anderson","Beanie Sigel,Omillio Sparks,Memphis Bleek",4.5,"Drama,Crime,Action"
6780,Stealing Harvard,2002,2002,1h 25m,Bruce McCulloch,"Martin Hynes,Peter Tolan","Jason Lee,Tom Green,Leslie Mann",5.1,"Comedy,Crime"
6781,Stevie,2002,,,,,,,
6782,Stolen Summer,2002,2002,1h 31m,Pete Jones,Pete Jones,"Amara Balthrop-Lewis,Kevin Pollak,Aidan Quinn",6.6,Drama
6783,Stuart Little 2,2002,2002,1h 17m,Rob Minkoff,"E.B. White,Douglas Wick,Bruce Joel Rubin","Michael J. Fox,Geena Davis,Hugh Laurie",5.5,"Animation,Adventure,Comedy"
6784,The Sum of All Fears,2002,2002,2h 4m,Phil Alden Robinson,"Tom Clancy,Paul Attanasio,Daniel Pyne","Ben Affleck,Morgan Freeman,Ian Mongrain",6.4,"Action,Drama,Thriller"
6785,Sunshine State,2002,2002,2h 21m,John Sayles,John Sayles,"Angela Bassett,Edie Falco,Alex Lewis",6.8,"Drama,Romance"
6786,The Sweetest Thing,2002,2002,1h 24m,Roger Kumble,Nancy M. Pimental,"Cameron Diaz,Thomas Jane,Christina Applegate",5.2,"Comedy,Romance"
6787,Sweet Home Alabama,2002,2002,1h 48m,Andy Tennant,"Douglas J. Eboch,C. Jay Cox","Reese Witherspoon,Patrick Dempsey,Josh Lucas",6.2,"Comedy,Romance"
6788,Swept Away,2002,2002,1h 29m,Guy Ritchie,"Guy Ritchie,Lina Wertmüller","Madonna,Adriano Giannini,Bruce Greenwood",3.6,"Comedy,Romance"
6789,Swimfan,2002,2002,1h 25m,John Polson,"Charles F. Bohl,Phillip Schneider","Jesse Bradford,Erika Christensen,Shiri Appleby",5.1,"Drama,Thriller"
6790,Tadpole,2002,2002,1h 18m,Gary Winick,"Heather McGowan,Niels Mueller,Gary Winick","Sigourney Weaver,Aaron Stanford,Kate Mara",6.2,"Comedy,Drama,Romance"
6791,They,2002,2002,1h 29m,Robert Harmon,Brendan Hood,"Laura Regan,Marc Blucas,Ethan Embry",4.8,"Horror,Mystery,Thriller"
6792,Time Changer,2002,2002,1h 35m,Rich Christiano,Rich Christiano,"D. David Morin,Gavin MacLeod,Hal Linden",5.3,"Drama,Fantasy,Sci-Fi"
6793,The Time Machine,2002,1960,1h 43m,George Pal,"David Duncan,H.G. Wells","Rod Taylor,Alan Young,Yvette Mimieux",7.6,"Adventure,Romance,Sci-Fi"
6794,Timequest,2002,2000,1h 32m,Robert Dyke,Robert Dyke,"Victor Slezak,Caprice Benedetti,Vince Grant",5.4,Sci-Fi
6795,The Transporter,2002,2002,1h 32m,"Louis Leterrier,Corey Yuen","Luc Besson,Robert Mark Kamen","Jason Statham,Shu Qi,Matt Schulze",6.8,"Action,Crime,Thriller"
6796,Trapped,2002,,TV-14TV-14,,,,8.0,"Crime,Drama,Mystery"
6797,Treasure Planet,2002,2002,1h 35m,"Ron Clements,John Musker","Robert Louis Stevenson,Ron Clements,John Musker","Joseph Gordon-Levitt,Emma Thompson,Martin Short",7.2,"Animation,Adventure,Family"
6798,The Trials of Henry Kissinger,2002,2002,1h 20m,Eugene Jarecki,"Alex Gibney,Christopher Hitchens","Brian Cox,Henry Kissinger,Anna Chennault",7.6,Documentary
6799,The Truth About Charlie,2002,2002,1h 44m,Jonathan Demme,"Peter Stone,Jonathan Demme,Steve Schmidt","Mark Wahlberg,Thandiwe Newton,Tim Robbins",4.8,"Mystery,Thriller"
6800,Tuck Everlasting,2002,2002,1h 30m,Jay Russell,"Natalie Babbitt,Jeffrey Lieber,James V. Hart","Alexis Bledel,Jonathan Jackson,Sissy Spacek",6.6,"Drama,Family,Fantasy"
6801,The Tuxedo,2002,2002,1h 38m,Kevin Donovan,"Phil Hay,Matt Manfredi,Michael J. Wilson","Jackie Chan,Jennifer Love Hewitt,Jason Isaacs",5.4,"Action,Comedy,Sci-Fi"
6802,Two Weeks Notice,2002,2002,1h 41m,Marc Lawrence,Marc Lawrence,"Sandra Bullock,Hugh Grant,Alicia Witt",6.2,"Comedy,Romance"
6803,Undercover Brother,2002,2002,1h 26m,Malcolm D. Lee,"John Ridley,Michael McCullers","Eddie Griffin,Denise Richards,Aunjanue Ellis",5.9,"Action,Comedy"
6804,Undisputed,2002,2002,1h 36m,Walter Hill,"David Giler,Walter Hill","Wesley Snipes,Ving Rhames,Peter Falk",6.2,"Action,Crime,Drama"
6805,Unfaithful,2002,2002,2h 4m,Adrian Lyne,"Claude Chabrol,Alvin Sargent,William Broyles Jr.","Richard Gere,Diane Lane,Olivier Martinez",6.7,"Drama,Romance,Thriller"
6806,Waking Up in Reno,2002,2002,1h 31m,Jordan Brady,"Brent Briscoe,Mark Fauser","Billy Bob Thornton,Charlize Theron,Patrick Swayze",5.5,"Comedy,Romance"
6807,A Walk to Remember,2002,2002,1h 41m,Adam Shankman,"Nicholas Sparks,Karen Janszen","Mandy Moore,Shane West,Peter Coyote",7.3,"Drama,Romance"
6808,We Were Soldiers,2002,2002,2h 18m,Randall Wallace,"Harold G. Moore,Joseph Lee Galloway,Randall Wallace","Mel Gibson,Madeleine Stowe,Greg Kinnear",7.2,"Action,Drama,History"
