,name,year,idbm_year,length,director,writers,star,rating,genre
9041,"Lula, Son of Brazil",2012,2009,2h 10m,"Fábio Barreto,Marcelo Santiago","Fernando Bonassi,Denise Paraná,Daniel Tendler","Rui Ricardo Diaz,Glória Pires,Juliana Baroni",4.3,"Biography,Drama,History"
9042,The Wicker Tree,2012,2011,1h 36m,Robin Hardy,Robin Hardy,"Brittania Nicol,Henry Garrett,Graham McTavish",3.8,"Drama,Horror"
9043,Big Miracle,2012,2012,1h 47m,Ken Kwapis,"Jack Amiel,Michael Begler,Tom Rose","Drew Barrymore,John Krasinski,John Pingayak",6.5,"Biography,Drama,Family"
9044,Chronicle,2012,2012,1h 29m,Josh Trank,"Max Landis,Josh Trank","Dane DeHaan,Alex Russell,Michael B. Jordan",7.0,"Action,Drama,Sci-Fi"
9045,The Woman in Black,2012,2012,1h 35m,James Watkins,"Susan Hill,Jane Goldman","Daniel Radcliffe,Janet McTeer,Ciarán Hinds",6.4,"Drama,Fantasy,Horror"
9046,Journey 2: The Mysterious Island,2012,2012,1h 34m,Brad Peyton,"Brian Gunn,Mark Gunn,Richard Outten","Josh Hutcherson,Dwayne Johnson,Michael Caine",5.8,"Action,Adventure,Comedy"
9047,Safe House,2012,2012,1h 55m,Daniel Espinosa,David Guggenheim,"Denzel Washington,Ryan Reynolds,Robert Patrick",6.7,"Action,Thriller"
9048,The Vow,2012,2012,1h 44m,Michael Sucsy,"Abby Kohn,Marc Silverstein,Jason Katims","Rachel McAdams,Channing Tatum,Sam Neill",6.8,"Drama,Romance"
9049,Star Wars: Episode I – The Phantom Menace 3D,2012,1999,2h 16m,George Lucas,George Lucas,"Ewan McGregor,Liam Neeson,Natalie Portman",6.5,"Action,Adventure,Fantasy"
9050,Exit Strategy,2012,,,Antoine Fuqua,David Guggenheim,"Ethan Hawke,Tom Sizemore,Lina Esco",5.7,Action
9051,Rampart,2012,,TV-MATV-MA,,,,8.7,"Crime,Drama,Thriller"
9052,The Secret World of Arrietty,2012,2010,1h 34m,Hiromasa Yonebayashi,"Mary Norton,Hayao Miyazaki,Keiko Niwa","Amy Poehler,Will Arnett,Mirai Shida",7.6,"Animation,Adventure,Drama"
9053,Ghost Rider: Spirit of Vengeance,2012,2011,1h 36m,"Mark Neveldine,Brian Taylor","Scott M. Gimple,Seth Hoffman,David S. Goyer","Nicolas Cage,Ciarán Hinds,Idris Elba",4.3,"Action,Fantasy,Thriller"
9054,This Means War,2012,2012,1h 43m,McG,"Timothy Dowling,Simon Kinberg,Marcus Gautesen","Reese Witherspoon,Chris Pine,Tom Hardy",6.3,"Action,Comedy,Romance"
9055,Act of Valor,2012,2012,1h 50m,"Mike McCoy,Scott Waugh",Kurt Johnstad,"Alex Veadov,Roselyn Sanchez,Nestor Serrano",6.5,"Action,Adventure,Thriller"
9056,Gone,2012,,TV-MATV-MA,,,,7.7,"Drama,Mystery"
