,name,year,idbm_year,length,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
4533,Out of Darkness,1994,2013,,Manjinder Virk,1,Manjinder Virk,,,Riz Ahmed,Asheq Akhtar,Jimmy Akingbola,Short,Drama,,7.6
4534,PCU,1994,1994,1h 19m,Hart Bochner,1,Adam Leff,Zak Penn,,Jeremy Piven,Chris Young,Megan Ward,Comedy,,,6.6
4535,The Pagemaster,1994,1994,1h 20m,Pixote Hunt,1,David Kirschner,David Casci,Ernie Contreras,Macaulay Culkin,Christopher Lloyd,Kanin Howell,Animation,Adventure,Comedy,6.2
4536,The Paper,1994,1994,1h 52m,Ron Howard,1,David Koepp,Stephen Koepp,,Michael Keaton,Glenn Close,Robert Duvall,Comedy,Drama,,6.7
4537,Party,1994,2017,1h 11m,Sally Potter,0,Sally Potter,Walter Donohue,,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,Drama,,6.6
4538,Pentathlon,1994,1994,1h 41m,Bruce Malmuth,1,William Stadiem,Bruce Malmuth,Gary T. McDonald,Dolph Lundgren,David Soul,Renée Coleman,Action,Drama,Thriller,4.4
4539,Pet Shop,1994,1994,1h 27m,Hope Perello,1,Michael Davis,Brent V. Friedman,Mark Goldstein,Terry Kiser,Leigh Ann Orsi,Spencer Vrooman,Comedy,Family,Sci-Fi,4.5
4540,Phantasm III: Lord of the Dead,1994,1994,1h 31m,Don Coscarelli,1,Don Coscarelli,,,Reggie Bannister,A. Michael Baldwin,Bill Thornbury,Action,Fantasy,Horror,6.1
4541,Police Academy: Mission to Moscow,1994,1994,1h 23m,Alan Metter,1,Neal Israel,Pat Proft,Randolph Davis,G.W. Bailey,George Gaynes,Michael Winslow,Comedy,Crime,,3.6
4542,Pontiac Moon,1994,1994,1h 48m,Peter Medak,1,Finn Taylor,Jeffrey D. Brown,,Ted Danson,Mary Steenburgen,Ryan Todd,Drama,,,5.6
4543,Prêt-à-Porter,1994,1994,2h 13m,Robert Altman,1,Robert Altman,Barbara Shulgasser,,Sophia Loren,Julia Roberts,Marcello Mastroianni,Comedy,Drama,,5.2
4544,Princess Caraboo,1994,1994,1h 37m,Michael Austin,1,Michael Austin,John Wells,,Phoebe Cates,Jim Broadbent,Wendy Hughes,Comedy,Drama,History,6.0
4545,Pulp Fiction,1994,1994,2h 34m,Quentin Tarantino,1,Quentin Tarantino,Roger Avary,,John Travolta,Uma Thurman,Samuel L. Jackson,Crime,Drama,,8.9
4546,Pumpkinhead II: Blood Wings,1994,1993,1h 28m,Jeff Burr,1,Ivan Chachornia,Constantine Chachornia,Andrew Osborne,Andrew Robinson,Ami Dolenz,Soleil Moon Frye,Fantasy,Horror,Thriller,4.6
4547,Puppet Master 5: The Final Chapter,1994,,,Phoenix West,1,Phoenix West,,,Richard Pires,Phoenix West,,Comedy,,,
4548,The Puppet Masters,1994,1994,1h 49m,Stuart Orme,1,Robert A. Heinlein,Ted Elliott,Terry Rossio,Donald Sutherland,Eric Thal,Julie Warner,Horror,Sci-Fi,Thriller,5.9
4549,Quiz Show,1994,1994,2h 13m,Robert Redford,1,Paul Attanasio,Richard N. Goodwin,,Ralph Fiennes,John Turturro,Rob Morrow,Biography,Drama,History,7.5
4550,Radio Inside,1994,1994,1h 31m,Jeffrey Bell,1,Jeffrey Bell,,,William McNamara,Elisabeth Shue,Dylan Walsh,Drama,Romance,,6.3
4551,Radioland Murders,1994,1994,1h 48m,Mel Smith,1,George Lucas,Willard Huyck,Gloria Katz,Brian Benben,Mary Stuart Masterson,Ned Beatty,Comedy,Crime,Drama,6.2
4552,Rapa Nui,1994,1994,1h 47m,Kevin Reynolds,1,Kevin Reynolds,Tim Rose Price,,Jason Scott Lee,Esai Morales,Sandrine Holt,Action,Adventure,Drama,6.4
4553,Raw Justice,1994,1994,1h 32m,David A. Prior,1,David A. Prior,,,David Keith,Robert Hays,Pamela Anderson,Action,Thriller,,4.1
4554,Reality Bites,1994,1994,1h 39m,Ben Stiller,1,Helen Childress,,,Winona Ryder,Ethan Hawke,Janeane Garofalo,Comedy,Drama,Romance,6.6
4555,The Ref,1994,1994,1h 37m,Ted Demme,1,Marie Weiss,Richard LaGravenese,,Denis Leary,Judy Davis,Kevin Spacey,Comedy,Crime,Drama,6.9
4556,Renaissance Man,1994,1994,2h 8m,Penny Marshall,0,Jim Burnstein,,,Danny DeVito,Gregory Hines,James Remar,Comedy,Drama,,6.2
4557,Revenge of the Nerds IV: Nerds in Love,1994,,Not RatedNot Rated,Steve Zacharias,1,Tim Metcalfe,Miguel Tejada-Flores,Steve Zacharias,Robert Carradine,Curtis Armstrong,Julia Montgomery,Comedy,Romance,,3.9
4558,Richie Rich,1994,1994,1h 35m,Donald Petrie,1,Neil Tolkin,Tom S. Parker,Jim Jennewein,Macaulay Culkin,Edward Herrmann,John Larroquette,Comedy,Family,,5.4
4559,The River Wild,1994,1994,1h 51m,Curtis Hanson,1,Denis O'Neill,,,Meryl Streep,Kevin Bacon,David Strathairn,Adventure,Crime,Thriller,6.4
4560,The Road to Wellville,1994,1994,1h 58m,Alan Parker,1,T. Coraghessan Boyle,Alan Parker,,Anthony Hopkins,Bridget Fonda,Matthew Broderick,Comedy,Drama,,5.9
4561,Roadracers,1994,,RR,Robert Rodriguez,1,Robert Rodriguez,Tommy Nix,,David Arquette,John Hawkes,Salma Hayek,Action,Drama,,6.6
4562,Romeo Is Bleeding,1994,1993,1h 50m,Peter Medak,1,Hilary Henkin,,,Gary Oldman,Lena Olin,Wallace Wood,Crime,Drama,Romance,6.6
4563,Roswell,1994,,TV-14TV-14,,1,,,,,,,Drama,Romance,Sci-Fi,6.3
4564,S.F.W.,1994,1994,1h 36m,Jefery Levy,1,Andrew Wellman,Danny Rubin,Jefery Levy,Stephen Dorff,Reese Witherspoon,Jake Busey,Comedy,Drama,,5.8
4565,Sabotage,1994,2014,1h 49m,David Ayer,1,Skip Woods,David Ayer,,Arnold Schwarzenegger,Sam Worthington,Terrence Howard,Action,Crime,Drama,5.7
4566,The Santa Clause,1994,1994,1h 37m,John Pasquin,1,Leo Benvenuti,Steve Rudnick,,Tim Allen,Judge Reinhold,Wendy Crewson,Comedy,Drama,Family,6.5
4567,Scooby-Doo in Arabian Nights,1994,,Not RatedNot Rated,Jun Falkenstein,0,Gordon Kent,Glenn Leopold,,Don Messick,Casey Kasem,Greg Burson,Animation,Comedy,Family,5.7
4568,The Scout,1994,1994,1h 41m,Michael Ritchie,1,Roger Angell,Andrew Bergman,Albert Brooks,Albert Brooks,Brendan Fraser,Dianne Wiest,Comedy,Drama,Sport,5.4
4569,The Search for One-eye Jimmy,1994,1994,1h 24m,Sam Henry Kass,1,Sam Henry Kass,,,Holt McCallany,Michael Badalucco,Nicholas Turturro,Comedy,,,6.1
4570,The Secret of Roan Inish,1994,1994,1h 43m,John Sayles,1,Rosalie K. Fry,John Sayles,,Jeni Courtney,Eileen Colgan,Mick Lally,Drama,Family,Fantasy,7.5
4571,Serial Mom,1994,1994,1h 35m,John Waters,1,John Waters,,,Kathleen Turner,Sam Waterston,Ricki Lake,Comedy,Crime,Thriller,6.8
4572,The Shadow,1994,1994,1h 48m,Russell Mulcahy,1,Walter B. Gibson,David Koepp,,Alec Baldwin,John Lone,Penelope Ann Miller,Action,Adventure,Crime,6.1
4573,Shatter Dead,1994,1994,1h 24m,Scooter McCrae,1,Scooter McCrae,,,Stark Raven,Flora Fauna,Daniel 'Smalls' Johnson,Horror,,,4.1
4574,The Shawshank Redemption,1994,1994,2h 22m,Frank Darabont,1,Stephen King,Frank Darabont,,Tim Robbins,Morgan Freeman,Bob Gunton,Drama,,,9.3
4575,The Silence of the Hams,1994,1994,1h 21m,Ezio Greggio,1,Ezio Greggio,,,Ezio Greggio,Dom DeLuise,Billy Zane,Comedy,Thriller,,4.7
4576,Silent Fall,1994,1994,1h 41m,Bruce Beresford,1,Akiva Goldsman,,,Richard Dreyfuss,Linda Hamilton,John Lithgow,Drama,Mystery,Thriller,5.9
4577,Silent Tongue,1994,1993,1h 42m,Sam Shepard,1,Sam Shepard,,,Alan Bates,Richard Harris,River Phoenix,Drama,Horror,Western,5.3
4578,A Simple Twist of Fate,1994,1994,1h 46m,Gillies MacKinnon,1,George Eliot,Steve Martin,,Steve Martin,Gabriel Byrne,Laura Linney,Comedy,Drama,,6.3
4579,Sioux City,1994,1994,1h 42m,Lou Diamond Phillips,1,L. Virginia Browne,,,Lou Diamond Phillips,Salli Richardson-Whitfield,Melinda Dillon,Drama,Mystery,Thriller,5.7
4580,Sleep with Me,1994,1994,1h 26m,Rory Kelly,1,Duane Dell'Amico,Roger Hedden,Neal Jimenez,Craig Sheffer,Eric Stoltz,Meg Tilly,Comedy,Drama,Romance,5.7
4581,Spanking the Monkey,1994,1994,1h 40m,David O. Russell,1,David O. Russell,,,Jeremy Davies,Alberta Watson,Benjamin Hendrickson,Comedy,Drama,,6.3
4582,The Specialist,1994,1994,1h 50m,Luis Llosa,0,John Shirley,Alexandra Seros,,Sylvester Stallone,Sharon Stone,James Woods,Action,Drama,Thriller,5.6
4583,Speechless,1994,,TV-PGTV-PG,,1,,,,,,,Comedy,,,7.6
4584,Speed,1994,1994,1h 56m,Jan de Bont,1,Graham Yost,,,Keanu Reeves,Dennis Hopper,Sandra Bullock,Action,Adventure,Thriller,7.2
4585,Squanto: A Warrior's Tale,1994,1994,1h 42m,Xavier Koller,1,Darlene Craviotto,,,Adam Beach,Mandy Patinkin,Sheldon Peters Wolfchild,Adventure,Biography,Drama,6.1
4586,The Stand,1994,,TV-MATV-MA,,1,,,,,,,Adventure,Drama,Fantasy,5.5
4587,Star Trek Generations,1994,1994,1h 58m,David Carson,1,Gene Roddenberry,Rick Berman,Ronald D. Moore,Patrick Stewart,William Shatner,Malcolm McDowell,Action,Adventure,Mystery,6.6
4588,Stargate,1994,,TV-14TV-14,,1,,,,,,,Action,Adventure,Drama,8.4
4589,Street Fighter,1994,1994,1h 42m,Steven E. de Souza,1,Steven E. de Souza,,,Jean-Claude Van Damme,Raul Julia,Ming-Na Wen,Action,Adventure,Comedy,4.0
4590,The Stoned Age,1994,1994,1h 30m,James Melkonian,1,James Melkonian,Rich Wilkes,,Michael Kopelow,Bradford Tatum,China Kantner,Comedy,Music,,6.2
4591,Sugar Hill,1994,1993,2h 3m,Leon Ichaso,1,Barry Michael Cooper,,,Wesley Snipes,Michael Wright,Khandi Alexander,Crime,Drama,Thriller,5.9
4592,Surviving the Game,1994,1994,1h 36m,Ernest R. Dickerson,1,Eric Bernt,,,Rutger Hauer,Ice-T,Charles S. Dutton,Action,Adventure,Crime,6.2
4593,The Swan Princess,1994,1994,1h 33m,Richard Rich,1,Richard Rich,Brian Nissen,,Jack Palance,Howard McGillin,Michelle Nicastro,Animation,Adventure,Comedy,6.5
4594,Swimming with Sharks,1994,,,,1,,,,,,,Drama,,,
4595,Teresa's Tattoo,1994,1994,1h 28m,Julie Cypher,1,Georgie Huntington,Marc Cushman,Samuel Benedict,C. Thomas Howell,Nancy McKeon,Lou Diamond Phillips,Comedy,Crime,,4.6
4596,Terminal Velocity,1994,1994,1h 42m,Deran Sarafian,1,David Twohy,,,Charlie Sheen,Nastassja Kinski,James Gandolfini,Action,Mystery,Romance,5.5
4597,Texas Chainsaw Massacre: The Next Generation,1994,1994,1h 27m,Kim Henkel,1,Kim Henkel,Tobe Hooper,,Renée Zellweger,Matthew McConaughey,Robert Jacks,Comedy,Horror,Thriller,3.3
4598,That's Entertainment! III,1994,1994,1h 53m,Bud Friedgen,1,Bud Friedgen,Michael J. Sheridan,,Debbie Reynolds,Gene Kelly,Ann Miller,Documentary,Family,Musical,7.5
4599,Threesome,1994,,,,1,,,,,,,Drama,,,7.0
4600,Thumbelina,1994,1994,1h 26m,Don Bluth,1,Hans Christian Andersen,Don Bluth,,Jodi Benson,Gary Imhoff,Gino Conforti,Animation,Adventure,Family,6.4
4601,Time Chasers,1994,1994,1h 29m,David Giancola,1,David Giancola,,,Matthew Bruch,Bonnie Pritchard,Peter Harrington,Sci-Fi,,,2.4
4602,A Time to Heal,1994,,1h 30m,Michael Toshiyuki Uno,1,Cathleen Young,,,Nicollette Sheridan,Gary Cole,Mara Wilson,Drama,,,6.5
4603,Timecop,1994,1994,1h 39m,Peter Hyams,1,Mark Verheiden,Mike Richardson,,Jean-Claude Van Damme,Mia Sara,Ron Silver,Action,Crime,Sci-Fi,5.9
4604,Tom & Viv,1994,1994,2h 5m,Brian Gilbert,1,Michael Hastings,Adrian Hodges,,Willem Dafoe,Miranda Richardson,Rosemary Harris,Biography,Drama,Romance,6.3
4605,Trapped in Paradise,1994,1994,1h 51m,George Gallo,1,George Gallo,,,Nicolas Cage,Jon Lovitz,Dana Carvey,Adventure,Comedy,Crime,5.9
4606,Trial by Jury,1994,1994,1h 47m,Heywood Gould,1,Jordan Katz,Heywood Gould,,Joanne Whalley,Armand Assante,Gabriel Byrne,Crime,Drama,Thriller,5.4
4607,A Troll in Central Park,1994,1994,1h 16m,Don Bluth,1,Stu Krieger,Don Bluth,Gary Goldman,Dom DeLuise,Cloris Leachman,Charles Nelson Reilly,Animation,Adventure,Comedy,5.5
4608,Troublemakers,1994,1994,1h 47m,Terence Hill,1,Jess Hill,,,Terence Hill,Bud Spencer,Boots Southerland,Comedy,Family,Western,6.1
4609,True Lies,1994,1994,2h 21m,James Cameron,1,Claude Zidi,Simon Michaël,Didier Kaminka,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Action,Comedy,Thriller,7.2
4610,Undefeatable,1994,1993,1h 30m,Godfrey Ho,1,Robert Vassar,Steve Harper,Tai Yim,Cynthia Rothrock,Don Niam,John Miller,Action,Crime,Thriller,4.3
4611,Vanya on 42nd Street,1994,1994,1h 59m,Louis Malle,1,Anton Chekhov,David Mamet,Andre Gregory,Wallace Shawn,Phoebe Brand,George Gaynes,Comedy,Drama,Romance,7.4
4612,The Visual Bible: Acts,1994,,3h 13m,Regardt van den Bergh,1,Saint Luke,Joyce Marcarelli,,Dean Jones,Henry O. Arnold,Jennifer O'Neill,History,,,7.8
4613,Wagons East!,1994,1994,1h 47m,Peter Markle,1,Matthew Carlson,Jerry Abrahamson,,John Candy,Joe Bays,Abraham Benrubi,Adventure,Comedy,Western,4.8
4614,The War,1994,1994,2h 6m,Jon Avnet,1,Kathy McWorter,,,Elijah Wood,Kevin Costner,Mare Winningham,Drama,,,6.8
