,name,year,idbm_year,length,director_1,gender_director,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
4464,The Inkwell,1994,1994,1h 50m,Matty Rich,1,Trey Ellis,Paris Qualles,,Larenz Tate,Joe Morton,Suzzanne Douglas,Comedy,Drama,Romance,6.5
4465,Intersection,1994,1994,1h 38m,Mark Rydell,1,David Rayfiel,Marshall Brickman,Paul Guimard,Richard Gere,Sharon Stone,Lolita Davidovich,Drama,Romance,,5.4
4466,Interview with the Vampire,1994,1994,2h 3m,Neil Jordan,1,Anne Rice,,,Brad Pitt,Tom Cruise,Antonio Banderas,Drama,Fantasy,Horror,7.5
4467,Iron Will,1994,1994,1h 48m,Charles Haid,1,John Michael Hayes,Djordje Milicevic,Jeff Arch,Mackenzie Astin,Kevin Spacey,David Ogden Stiers,Adventure,Family,,6.6
4468,Is There Life Out There?,1994,,1h 29m,David Hugh Jones,1,Dalene Young,,,Reba McEntire,Keith Carradine,Genia Michaela,Drama,,,7.0
4469,It Could Happen to You,1994,1994,1h 41m,Andrew Bergman,1,Jane Anderson,,,Nicolas Cage,Bridget Fonda,Rosie Perez,Comedy,Drama,Romance,6.4
4470,It Don't Cost Nothin' to Say Good Morning,1994,1995,,,1,,,,,,,Short,,,7.6
4471,It's Pat,1994,1994,1h 17m,Adam Bernstein,1,Julia Sweeney,Jim Emerson,Stephen Hibbert,Julia Sweeney,Dave Foley,Charles Rocket,Comedy,,,2.7
4472,Jacob,1994,,1h 31m,Peter Hall,1,Francesco Maria Nappi,Lionel Chetwynd,,Matthew Modine,Lara Flynn Boyle,Sean Bean,Biography,Crime,Drama,6.7
4473,Jason's Lyric,1994,1994,1h 59m,Doug McHenry,1,Bobby Smith Jr.,,,Allen Payne,Jada Pinkett Smith,Bokeem Woodbine,Crime,Drama,Romance,6.6
4474,Jimmy Hollywood,1994,1994,1h 52m,Barry Levinson,1,Barry Levinson,,,Joe Pesci,Christian Slater,Victoria Abril,Crime,Comedy,Drama,5.3
4475,The Jungle Book,1994,2016,1h 46m,Jon Favreau,1,Justin Marks,Rudyard Kipling,,Neel Sethi,Bill Murray,Ben Kingsley,Adventure,Drama,Family,7.4
4476,Junior,1994,,,,1,,,,,,,,,,
4477,Kickboxer 4,1994,1994,1h 30m,Albert Pyun,1,Albert Pyun,David Yorkin,,Sasha Mitchell,Kamel Krifa,Brad Thornton,Action,Sport,,4.0
4478,Kill the Moonlight,1994,1994,1h 16m,Steve Hanft,1,Steve Hanft,,,Richmond Arquette,Jaime Colindrez,John Hanft,Drama,Music,,6.5
4479,Killing Zoe,1994,1993,1h 36m,Roger Avary,1,Roger Avary,,,Eric Stoltz,Julie Delpy,Martin Raymond,Crime,Thriller,,6.5
4480,Knight Rider 2010,1994,,TV-PGTV-PG,Sam Pillsbury,1,John Leekley,,,Richard Joseph Paul,Hudson Leick,Michael Beach,Action,Sci-Fi,Thriller,3.0
4481,The Land Before Time II: The Great Valley Adventure,1994,,GG,Roy Allen Smith,1,Dev Ross,John Loy,John Ludin,John Ingle,Scott McAfee,Candace Hutson,Animation,Adventure,Drama,6.0
4482,Lassie,1994,,TV-GTV-G,,1,,,,,,,Adventure,Drama,Family,6.6
4483,The Last Seduction,1994,1994,1h 50m,John Dahl,1,Steve Barancik,,,Linda Fiorentino,Peter Berg,Bill Pullman,Crime,Drama,Romance,7.1
4484,Legends of the Fall,1994,1994,2h 13m,Edward Zwick,1,Susan Shilliday,William D. Wittliff,Jim Harrison,Brad Pitt,Anthony Hopkins,Aidan Quinn,Drama,Romance,War,7.5
4485,Léon: The Professional,1994,1994,1h 50m,Luc Besson,1,Luc Besson,,,Jean Reno,Gary Oldman,Natalie Portman,Action,Crime,Drama,8.5
4486,Leprechaun 2,1994,1994,1h 25m,Rodman Flender,1,Mark Jones,Turi Meyer,Alfredo Septién,Warwick Davis,Charlie Heath,Shevonne Durkin,Comedy,Fantasy,Horror,4.6
4487,Life with Billy,1994,,1h 38m,Paul Donovan,1,Brian Vallee,John Frizzell,Judith Thompson,Nancy Beatty,Stephen McHattie,Deb Allen,Drama,,,7.2
4488,The Lion King,1994,2019,1h 58m,Jon Favreau,1,Jeff Nathanson,Irene Mecchi,Jonathan Roberts,Donald Glover,Beyoncé,Seth Rogen,Animation,Adventure,Drama,6.8
4489,Little Big League,1994,1994,1h 59m,Andrew Scheinman,1,Gregory K. Pincus,Adam Scheinman,,Luke Edwards,Timothy Busfield,John Ashton,Comedy,Family,Sport,6.2
4490,Little Buddha,1994,1993,2h 3m,Bernardo Bertolucci,1,Bernardo Bertolucci,Rudy Wurlitzer,Mark Peploe,Keanu Reeves,Bridget Fonda,Ruocheng Ying,Drama,,,6.1
4491,Little Giants,1994,1994,1h 47m,Duwayne Dunham,1,James Ferguson,Robert Shallcross,Tommy Swerdlow,Rick Moranis,Ed O'Neill,Shawna Waldron,Comedy,Family,Sport,6.4
4492,Little Odessa,1994,1994,1h 38m,James Gray,1,James Gray,,,Tim Roth,Edward Furlong,Moira Kelly,Crime,Drama,,6.7
4493,The Little Rascals,1994,1994,1h 22m,Penelope Spheeris,0,Penelope Spheeris,Robert Wolterstorff,Mike Scott,Travis Tedford,Bug Hall,Brittany Ashton Holmes,Comedy,Family,Romance,6.3
4494,Little Women,1994,2019,2h 15m,Greta Gerwig,0,Greta Gerwig,Louisa May Alcott,,Saoirse Ronan,Emma Watson,Florence Pugh,Drama,Romance,,7.8
4495,Love Affair,1994,1991,1h 40m,Sam Pillsbury,1,Mari Kornhauser,,,Nicolas Cage,Erika Anderson,Judge Reinhold,Drama,Romance,Thriller,4.4
4496,Love and a .45,1994,1994,1h 41m,C.M. Talkington,1,C.M. Talkington,,,Gil Bellows,Renée Zellweger,Rory Cochrane,Crime,Romance,Thriller,6.0
4497,A Low Down Dirty Shame,1994,1994,1h 48m,Keenen Ivory Wayans,1,Keenen Ivory Wayans,,,Keenen Ivory Wayans,Charles S. Dutton,Jada Pinkett Smith,Action,Comedy,Crime,6.0
4498,The Lurking Fear,1994,,,Darren Dalton,1,Darren Dalton,Robert Gillings,,Michael Madsen,Robert Davi,Gianni Capaldi,Horror,,,
4499,The Madness of King George,1994,1994,1h 50m,Nicholas Hytner,1,Alan Bennett,,,Nigel Hawthorne,Helen Mirren,Rupert Graves,Biography,Comedy,Drama,7.2
4500,Major League II,1994,1994,1h 45m,David S. Ward,1,David S. Ward,R.J. Stewart,Tom S. Parker,Charlie Sheen,Tom Berenger,Corbin Bernsen,Comedy,Sport,,5.6
4501,Mary Shelley's Frankenstein,1994,1994,2h 3m,Kenneth Branagh,1,Mary Shelley,Steph Lady,Frank Darabont,Robert De Niro,Kenneth Branagh,Helena Bonham Carter,Drama,Horror,Romance,6.4
4502,The Mask,1994,1994,1h 41m,Chuck Russell,1,Michael Fallon,Mark Verheiden,Mike Werb,Jim Carrey,Cameron Diaz,Peter Riegert,Action,Comedy,Crime,6.9
4503,Maverick,1994,1994,2h 7m,Richard Donner,1,Roy Huggins,William Goldman,,Mel Gibson,Jodie Foster,James Garner,Action,Adventure,Comedy,7.0
4504,Men of War,1994,1994,1h 42m,Perry Lang,1,Stan Rogow,John Sayles,Ethan Reiff,Dolph Lundgren,Charlotte Lewis,BD Wong,Action,Drama,Thriller,5.8
4505,Midnight Run for Your Life,1994,,Not RatedNot Rated,Daniel Sackheim,1,George Gallo,Shaun Cassidy,,Melora Walters,Richard Herkert,Jennifer Manasseri,Action,Adventure,Comedy,5.6
4506,Midnight Runaround,1994,,Not RatedNot Rated,Frank De Palma,1,George Gallo,Jerrold Brown,Terry Borst,Christopher McDonald,Kyle Secor,Ed O'Ross,Action,Adventure,Comedy,4.8
4507,Milk Money,1994,1994,1h 50m,Richard Benjamin,1,John Mattson,,,Melanie Griffith,Ed Harris,Michael Patrick Carter,Comedy,Romance,,5.6
4508,A Million to Juan,1994,1994,1h 37m,Paul Rodriguez,1,Robert Grasmere,Francisca Matos,Paul Rodriguez,Paul Rodriguez,Tony Plana,Bert Rosario,Comedy,,,5.7
4509,Miracle on 34th Street,1994,1947,1h 36m,George Seaton,1,George Seaton,Valentine Davies,,Edmund Gwenn,Maureen O'Hara,John Payne,Comedy,Drama,Family,7.9
4510,Mixed Nuts,1994,1994,1h 37m,Nora Ephron,0,Nora Ephron,Delia Ephron,,Steve Martin,Madeline Kahn,Robert Klein,Comedy,Drama,,5.5
4511,Molly & Gina,1994,1994,1h 33m,Paul Leder,1,Paul Leder,Reuben Leder,,Frances Fisher,Natasha Gregson Wagner,Bruce Weitz,Drama,,,4.5
4512,Monkey Trouble,1994,1994,1h 36m,Franco Amurri,1,Franco Amurri,Stu Krieger,,Thora Birch,Harvey Keitel,Finster,Adventure,Comedy,Crime,5.3
4513,The Monster,1994,2016,1h 31m,Bryan Bertino,1,Bryan Bertino,,,Zoe Kazan,Ella Ballentine,Aaron Douglas,Drama,Fantasy,Horror,5.4
4514,Mrs. Parker and the Vicious Circle,1994,1994,2h 5m,Alan Rudolph,1,Alan Rudolph,Randy Sue Coburn,,Jennifer Jason Leigh,Campbell Scott,Matthew Broderick,Biography,Drama,,6.4
4515,Multi-Facial,1994,1995,20m,Vin Diesel,1,Vin Diesel,,,Vin Diesel,Lewis Steidl,Cara Gaffen,Short,Drama,,7.6
4516,My Father the Hero,1994,1994,1h 30m,Steve Miner,1,Gérard Lauzier,Francis Veber,Charlie Peters,Gérard Depardieu,Katherine Heigl,Dalton James,Comedy,Romance,,5.5
4517,My Girl 2,1994,1994,1h 39m,Howard Zieff,1,Laurice Elehwany,Janet Kovalcik,,Dan Aykroyd,Jamie Lee Curtis,Anna Chlumsky,Comedy,Drama,Family,5.3
4518,My Summer Story,1994,1994,1h 25m,Bob Clark,1,Jean Shepherd,Leigh Brown,Bob Clark,Charles Grodin,Kieran Culkin,Mary Steenburgen,Comedy,Family,,5.6
4519,Naked Gun 33⅓: The Final Insult,1994,1994,1h 23m,Peter Segal,1,Pat Proft,David Zucker,Robert LoCash,Leslie Nielsen,Priscilla Presley,George Kennedy,Comedy,Crime,,6.5
4520,National Lampoon's Last Resort,1994,,PG-13PG-13,Rafal Zielinski,1,Patrick Labyorteaux,Damian Lee,,Corey Feldman,Corey Haim,Maureen Flannigan,Comedy,,,2.9
4521,Natural Born Killers,1994,1994,1h 58m,Oliver Stone,1,Quentin Tarantino,David Veloz,Richard Rutowski,Woody Harrelson,Juliette Lewis,Tom Sizemore,Action,Crime,Drama,7.3
4522,Nell,1994,1994,1h 52m,Michael Apted,1,Mark Handley,William Nicholson,,Jodie Foster,Liam Neeson,Natasha Richardson,Drama,,,6.5
4523,The NeverEnding Story III: Escape from Fantasia,1994,,,,1,,,,,,,,,,
4524,The Next Karate Kid,1994,1994,1h 47m,Christopher Cain,1,Robert Mark Kamen,Mark Lee,,Pat Morita,Hilary Swank,Michael Ironside,Action,Drama,Family,4.5
4525,"No Dessert, Dad, till You Mow the Lawn",1994,1994,1h 29m,Howard McCain,1,Jennifer Moran,Martha Moran,,Joshua Schaefer,Robert Hays,Joanna Kerns,Comedy,,,4.9
4526,Night Of The Axe,1994,2022,,Shawn Wright,1,Shawn Wright,,,Lera Savannah,Kaci Frick,Justin Sisk,Horror,,,
4527,No Escape,1994,2015,1h 43m,John Erick Dowdle,1,John Erick Dowdle,Drew Dowdle,,Lake Bell,Pierce Brosnan,Owen Wilson,Action,Thriller,,6.8
4528,Nobody's Fool,1994,1994,1h 50m,Robert Benton,1,Richard Russo,Robert Benton,,Paul Newman,Bruce Willis,Jessica Tandy,Comedy,Drama,,7.4
4529,North,1994,1994,1h 27m,Rob Reiner,1,Alan Zweibel,Andrew Scheinman,,Elijah Wood,Bruce Willis,Jason Alexander,Adventure,Comedy,Drama,4.5
4530,On Deadly Ground,1994,1994,1h 41m,Steven Seagal,1,Ed Horowitz,Robin U. Russin,,Steven Seagal,Michael Caine,Joan Chen,Action,Adventure,Thriller,4.6
4531,One Survivor Remembers,1994,1995,39m,Kary Antholis,1,Gerda Weissmann Klein,,,Gerda Weissmann Klein,Kurt Klein,Peter Thomas,Documentary,Short,History,7.9
4532,Only You,1994,1994,1h 49m,Norman Jewison,1,Diane Drake,,,Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,Comedy,Romance,,6.5
