,name,year,Length Of Movie (minute),idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
4895,Paulie,1998,91.0,1998,1,John Roberts,Laurie Craig,,,Gena Rowlands,Tony Shalhoub,Cheech Marin,Adventure,Comedy,Drama,6.5
4896,Pecker,1998,87.0,1998,1,John Waters,John Waters,,,Edward Furlong,Christina Ricci,Bess Armstrong,Comedy,Drama,,6.4
4897,A Perfect Murder,1998,107.0,1998,1,Andrew Davis,Frederick Knott,Patrick Smith Kelly,,Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,Crime,Drama,Thriller,6.5
4898,Permanent Midnight,1998,119.0,1997,1,Alejandro Amenábar,Alejandro Amenábar,Mateo Gil,,Eduardo Noriega,Penélope Cruz,Chete Lera,Drama,Mystery,Sci-Fi,7.7
4899,Phantasm IV: Oblivion,1998,90.0,1998,1,Don Coscarelli,Don Coscarelli,,,A. Michael Baldwin,Reggie Bannister,Bill Thornbury,Fantasy,Horror,Sci-Fi,5.6
4900,Phantoms,1998,96.0,1998,1,Joe Chappelle,Dean R. Koontz,,,Peter O'Toole,Rose McGowan,Joanna Going,Horror,Sci-Fi,Thriller,5.4
4901,Phoenix,1998,98.0,2014,1,Christian Petzold,Christian Petzold,Harun Farocki,Hubert Monteilhet,Nina Hoss,Ronald Zehrfeld,Nina Kunzendorf,Drama,History,Music,7.3
4902,Pi,1998,84.0,1998,1,Darren Aronofsky,Darren Aronofsky,Sean Gullette,Eric Watson,Sean Gullette,Mark Margolis,Ben Shenkman,Drama,Horror,Mystery,7.4
4903,The Players Club,1998,104.0,1998,1,Ice Cube,Ice Cube,,,LisaRaye McCoy,Dick Anthony Williams,Judyann Elder,Comedy,Drama,,5.9
4904,Playing by Heart,1998,121.0,1998,1,Willard Carroll,Willard Carroll,,,Gillian Anderson,Ellen Burstyn,Sean Connery,Comedy,Drama,Romance,7.0
4905,Pleasantville,1998,124.0,1998,1,Gary Ross,Gary Ross,,,Tobey Maguire,Jeff Daniels,Joan Allen,Comedy,Drama,Fantasy,7.5
4906,Polish Wedding,1998,105.0,1998,1,Theresa Connelly,Theresa Connelly,,,Claire Danes,Gabriel Byrne,Lena Olin,Comedy,Drama,Romance,5.6
4907,Poodle Springs,1998,95.0,,1,Bob Rafelson,Robert B. Parker,Raymond Chandler,Tom Stoppard,James Caan,Dina Meyer,David Keith,Crime,Drama,,6.1
4908,Practical Magic,1998,104.0,1998,1,Griffin Dunne,Alice Hoffman,Robin Swicord,Akiva Goldsman,Sandra Bullock,Nicole Kidman,Stockard Channing,Comedy,Drama,Fantasy,6.3
4909,A Price Above Rubies,1998,117.0,1998,1,Boaz Yakin,Boaz Yakin,,,Renée Zellweger,Christopher Eccleston,Julianna Margulies,Drama,Romance,,6.5
4910,Primary Colors,1998,143.0,1998,1,Mike Nichols,Joe Klein,Elaine May,,John Travolta,Emma Thompson,Kathy Bates,Comedy,Drama,,6.7
4911,The Prince of Egypt,1998,99.0,1998,1,Brenda Chapman,Philip LaZebnik,Nicholas Meyer,,Val Kilmer,Ralph Fiennes,Michelle Pfeiffer,Animation,Adventure,Drama,7.1
4912,Psycho,1998,109.0,1960,1,Alfred Hitchcock,Joseph Stefano,Robert Bloch,,Anthony Perkins,Janet Leigh,Vera Miles,Horror,Mystery,Thriller,8.5
4913,Quest for Camelot,1998,86.0,1998,1,Frederik Du Chau,Vera Chapman,Kirk DeMicco,William Schifrin,Jessalyn Gilsig,Cary Elwes,Andrea Corr,Animation,Adventure,Comedy,6.3
4914,Reach the Rock,1998,100.0,1998,1,Bill Ryan,John Hughes,,,William Sadler,Alessandro Nivola,Bruce Norris,Comedy,Drama,,6.7
4915,The Replacement Killers,1998,87.0,1998,1,Antoine Fuqua,Ken Sanzel,,,Chow Yun-Fat,Mira Sorvino,Michael Rooker,Action,Crime,Thriller,6.2
4916,Restaurant,1998,107.0,1998,1,Eric Bross,Tom Cudworth,,,Adrien Brody,Elise Neal,David Moscow,Drama,,,6.0
4917,Return to Paradise,1998,111.0,1998,1,Joseph Ruben,Pierre Jolivet,Olivier Schatzky,Wesley Strick,Vince Vaughn,Anne Heche,Joaquin Phoenix,Drama,Romance,Thriller,6.9
4918,Ride,1998,98.0,2018,1,Alex Ranarivelo,Alex Ranarivelo,Hadeel Reda,J.R. Reher,Shane Graham,Ludacris,Sasha Alexander,Action,,,7.2
4919,Ringmaster,1998,90.0,1998,1,Neil Abramson,Jon Bernstein,,,Jerry Springer,Jaime Pressly,William McNamara,Comedy,,,3.3
4920,Ronin,1998,122.0,1998,1,John Frankenheimer,J.D. Zeik,David Mamet,,Robert De Niro,Jean Reno,Natascha McElhone,Action,Crime,Thriller,7.3
4921,Rounders,1998,121.0,1998,1,John Dahl,David Levien,Brian Koppelman,,Matt Damon,Edward Norton,Gretchen Mol,Crime,Drama,,7.3
4922,Rudolph the Red-Nosed Reindeer: The Movie,1998,92.0,1998,1,William R. Kowalchuk Jr.,Robert May,Johnny Marks,Michael Aschner,John Goodman,Bob Newhart,Debbie Reynolds,Animation,Adventure,Family,5.9
4923,The Rugrats Movie,1998,79.0,1998,1,Igor Kovalyov,David N. Weiss,J. David Stem,Arlene Klasky,Elizabeth Daily,Christine Cavanaugh,Kath Soucie,Animation,Adventure,Comedy,5.9
4924,Rush Hour,1998,98.0,1998,1,Brett Ratner,Ross LaManna,Jim Kouf,,Jackie Chan,Chris Tucker,Ken Leung,Action,Comedy,Crime,7.0
4925,Rushmore,1998,93.0,1998,1,Wes Anderson,Wes Anderson,Owen Wilson,,Jason Schwartzman,Bill Murray,Olivia Williams,Comedy,Drama,Romance,7.7
4926,Safe Men,1998,88.0,1998,1,John Hamburg,John Hamburg,,,Sam Rockwell,Steve Zahn,Michael Lerner,Comedy,Crime,,5.9
4927,Saving Private Ryan,1998,169.0,1998,1,Steven Spielberg,Robert Rodat,,,Tom Hanks,Matt Damon,Tom Sizemore,Drama,War,,8.6
4928,Savior,1998,103.0,1998,1,Predrag Antonijevic,Robert Orr,,,Dennis Quaid,Nastassja Kinski,Pascal Rollin,Drama,War,,7.3
4929,Senseless,1998,93.0,1998,0,Penelope Spheeris,Greg Erb,Craig Mazin,,Marlon Wayans,David Spade,Brad Dourif,Comedy,Romance,,6.1
4930,Shadrach,1998,88.0,1998,1,Susanna Styron,William Styron,Susanna Styron,Bridget Terry,Martin Sheen,John Franklin Sawyer,Scott Terra,Drama,,,6.4
4931,Shakespeare in Love,1998,123.0,1998,1,John Madden,Marc Norman,Tom Stoppard,,Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush,Comedy,Drama,History,7.1
4932,The Siege,1998,116.0,1998,1,Edward Zwick,Lawrence Wright,Menno Meyjes,Edward Zwick,Denzel Washington,Bruce Willis,Annette Bening,Action,Thriller,,6.4
4933,Simon Birch,1998,114.0,1998,1,Mark Steven Johnson,Mark Steven Johnson,John Irving,,Ian Michael Smith,Joseph Mazzello,Ashley Judd,Comedy,Drama,Family,6.9
4934,A Simple Plan,1998,121.0,1998,1,Sam Raimi,Scott B. Smith,,,Bill Paxton,Billy Bob Thornton,Bridget Fonda,Crime,Drama,Thriller,7.5
4935,Six-String Samurai,1998,91.0,1998,1,Lance Mungia,Jeffrey Falcon,Lance Mungia,,Jeffrey Falcon,Justin McGuire,Kim De Angelo,Action,Adventure,Comedy,6.6
4936,Slappy and the Stinkers,1998,78.0,1998,1,Barnet Kellman,Robert Wolterstorff,Mike Scott,,BD Wong,Bronson Pinchot,Jennifer Coolidge,Comedy,Family,,5.1
4937,Slums of Beverly Hills,1998,91.0,1998,0,Tamara Jenkins,Tamara Jenkins,,,Natasha Lyonne,Alan Arkin,Bryna Weiss,Comedy,Drama,,6.6
4938,Small Soldiers,1998,108.0,1998,1,Joe Dante,Gavin Scott,Adam Rifkin,Ted Elliott,Kirsten Dunst,Gregory Smith,David Cross,Action,Adventure,Comedy,6.2
4939,Smoke Signals,1998,89.0,1998,1,Chris Eyre,Sherman Alexie,,,Adam Beach,Evan Adams,Irene Bedard,Comedy,Drama,,7.2
4940,Snake Eyes,1998,121.0,2021,1,Robert Schwentke,Evan Spiliotopoulos,Joe Shrapnel,Anna Waterhouse,Henry Golding,Andrew Koji,Haruka Abe,Action,Adventure,Fantasy,5.4
4941,Soldier,1998,99.0,1998,1,Paul W.S. Anderson,David Webb Peoples,,,Kurt Russell,Jason Scott Lee,Jason Isaacs,Action,Drama,Sci-Fi,6.1
4942,Somewhere in the City,1998,91.0,1950,1,Vincent Sherman,Lawrence B. Marcus,Ivan Goff,Ben Roberts,Viveca Lindfors,Dane Clark,Virginia Mayo,Crime,Film-Noir,Mystery,6.6
4943,Sour Grapes,1998,91.0,1998,1,Larry David,Larry David,,,Steven Weber,Craig Bierko,Jack Burns,Comedy,,,5.8
4944,Species II,1998,93.0,1998,1,Peter Medak,Dennis Feldman,Chris Brancato,,Natasha Henstridge,Michael Madsen,Marg Helgenberger,Action,Horror,Sci-Fi,4.4
4945,Sphere,1998,134.0,1998,1,Barry Levinson,Michael Crichton,Kurt Wimmer,Stephen Hauser,Dustin Hoffman,Sharon Stone,Samuel L. Jackson,Action,Mystery,Sci-Fi,6.1
4946,Spice World,1998,93.0,1997,1,Bob Spiers,Spice Girls,Kim Fuller,Jamie Curtis,Mel B,Emma Bunton,Melanie C,Comedy,Family,Music,3.6
4947,Star Trek: Insurrection,1998,103.0,1998,1,Jonathan Frakes,Gene Roddenberry,Rick Berman,Michael Piller,Patrick Stewart,Jonathan Frakes,Brent Spiner,Action,Adventure,Sci-Fi,6.4
4948,Stepmom,1998,125.0,1998,1,Chris Columbus,Gigi Levangie,Jessie Nelson,Steven Rogers,Julia Roberts,Susan Sarandon,Ed Harris,Comedy,Drama,,6.8
4949,Strangeland,1998,85.0,1998,1,John Pieplow,Dee Snider,,,Kevin Gage,Elizabeth Peña,Dee Snider,Horror,Thriller,,5.1
4950,Target Zero II,1998,92.0,1955,1,Harmon Jones,James Warner Bellah,Sam Rolfe,,Richard Conte,Peggie Castle,Charles Bronson,Drama,War,,5.9
4951,Tarzan and the Lost City,1998,83.0,1998,1,Carl Schenkel,Edgar Rice Burroughs,Bayard Johnson,J. Anderson Black,Casper Van Dien,Jane March,Steven Waddington,Action,Adventure,Family,4.0
4952,There's Something About Mary,1998,119.0,1998,1,Bobby Farrelly,Ed Decter,John J. Strauss,Peter Farrelly,Cameron Diaz,Matt Dillon,Ben Stiller,Comedy,Romance,,7.1
4953,Thick as Thieves,1998,104.0,2009,0,Mimi Leder,Ted Humphrey,,,Ivan Petrushinov,Victor Boichev,Nickolay Hadjiminev,Action,Crime,Thriller,6.0
4954,The Thin Red Line,1998,170.0,1998,1,Terrence Malick,James Jones,Terrence Malick,,Jim Caviezel,Sean Penn,Nick Nolte,Drama,History,War,7.6
4955,The Truman Show,1998,103.0,1998,1,Peter Weir,Andrew Niccol,,,Jim Carrey,Ed Harris,Laura Linney,Comedy,Drama,,8.1
4956,Twilight,1998,122.0,2008,0,Catherine Hardwicke,Melissa Rosenberg,Stephenie Meyer,,Kristen Stewart,Robert Pattinson,Billy Burke,Drama,Fantasy,Romance,5.2
4957,U.S. Marshals,1998,131.0,1998,1,Stuart Baird,Roy Huggins,John Pogue,,Tommy Lee Jones,Wesley Snipes,Robert Downey Jr.,Action,Crime,Thriller,6.6
4958,Urban Legend,1998,99.0,1998,1,Jamie Blanks,Silvio Horta,,,Jared Leto,Alicia Witt,Rebecca Gayheart,Horror,Mystery,Thriller,5.6
4959,Vampires,1998,108.0,1998,1,John Carpenter,John Steakley,Don Jakoby,,James Woods,Daniel Baldwin,Sheryl Lee,Action,Horror,Thriller,6.1
4960,Very Bad Things,1998,100.0,1998,1,Peter Berg,Peter Berg,,,Christian Slater,Daniel Stern,Cameron Diaz,Comedy,Crime,Thriller,6.3
4961,The Waterboy,1998,90.0,1998,1,Frank Coraci,Tim Herlihy,Adam Sandler,,Adam Sandler,Kathy Bates,Henry Winkler,Comedy,Sport,,6.2
4962,The Wedding Singer,1998,97.0,1998,1,Frank Coraci,Tim Herlihy,,,Adam Sandler,Drew Barrymore,Christine Taylor,Comedy,Music,Romance,6.9
4963,What Dreams May Come,1998,113.0,1998,1,Vincent Ward,Richard Matheson,Ronald Bass,,Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Drama,Fantasy,Romance,7.0
4964,Why Do Fools Fall in Love,1998,116.0,1998,1,Gregory Nava,Tina Andrews,,,Halle Berry,Vivica A. Fox,Lela Rochon,Biography,Drama,Music,6.4
4965,Wide Awake,1998,88.0,1998,1,M. Night Shyamalan,M. Night Shyamalan,,,Joseph Cross,Timothy Reifsnyder,Dana Delany,Comedy,Drama,Family,5.9
4966,Wild Things,1998,108.0,1998,1,John McNaughton,Stephen Peters,,,Kevin Bacon,Neve Campbell,Matt Dillon,Crime,Drama,Mystery,6.5
4967,Without Limits,1998,117.0,1998,1,Robert Towne,Robert Towne,Kenny Moore,,Billy Crudup,Donald Sutherland,Monica Potter,Biography,Drama,Sport,7.2
4968,Woo,1998,84.0,1998,0,Daisy von Scherler Mayer,David C. Johnson,,,Jada Pinkett Smith,Tommy Davidson,Duane Martin,Comedy,Romance,,4.2
4969,Wrongfully Accused,1998,87.0,1998,1,Pat Proft,Pat Proft,,,Leslie Nielsen,Richard Crenna,Kelly LeBrock,Action,Comedy,Thriller,6.1
4970,Your Friends & Neighbors,1998,100.0,1998,1,Neil LaBute,Neil LaBute,,,Amy Brenneman,Aaron Eckhart,Ben Stiller,Comedy,Drama,Romance,6.3
4971,You've Got Mail,1998,119.0,1998,0,Nora Ephron,Miklós László,Nora Ephron,Delia Ephron,Tom Hanks,Meg Ryan,Greg Kinnear,Comedy,Drama,Romance,6.7
4972,Zero Effect,1998,116.0,1998,1,Jake Kasdan,Jake Kasdan,,,Bill Pullman,Ben Stiller,Ryan O'Neal,Comedy,Crime,Drama,6.9
4973,10 Things I Hate About You,1999,97.0,1999,1,Gil Junger,Karen McCullah,Kirsten Smith,William Shakespeare,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Comedy,Drama,Romance,7.3
4974,The 13th Warrior,1999,102.0,1999,1,John McTiernan,Michael Crichton,William Wisher,Warren Lewis,Antonio Banderas,Diane Venora,Dennis Storhøi,Action,Adventure,History,6.6
4975,200 Cigarettes,1999,101.0,1999,1,Risa Bramon Garcia,Shana Larsen,,,Ben Affleck,Casey Affleck,Dave Chappelle,Comedy,Drama,Romance,6.0
4976,The 4th Floor,1999,90.0,1999,1,Josh Klausner,Josh Klausner,,,Juliette Lewis,William Hurt,Shelley Duvall,Mystery,Thriller,,5.8
4977,8mm,1999,123.0,1999,1,Joel Schumacher,Andrew Kevin Walker,,,Nicolas Cage,Joaquin Phoenix,James Gandolfini,Crime,Drama,Mystery,6.5
4978,The Adventures of Elmo in Grouchland,1999,73.0,1999,1,Gary Halvorson,Mitchell Kriegman,Joey Mazzarino,,Kevin Clash,Mandy Patinkin,Vanessa Williams,Adventure,Comedy,Family,5.8
4979,American Beauty,1999,122.0,1999,1,Sam Mendes,Alan Ball,,,Kevin Spacey,Annette Bening,Thora Birch,Drama,,,8.3
4980,American Pie,1999,95.0,1999,1,Paul Weitz,Adam Herz,,,Jason Biggs,Chris Klein,Thomas Ian Nicholas,Comedy,,,7.0
4981,Analyze This,1999,103.0,1999,1,Harold Ramis,Kenneth Lonergan,Peter Tolan,Harold Ramis,Robert De Niro,Billy Crystal,Lisa Kudrow,Comedy,Crime,,6.7
4982,Angel's Dance,1999,99.0,1999,1,David L. Corley,David L. Corley,,,Jim Belushi,Sheryl Lee,Kyle Chandler,Action,Comedy,Crime,6.2
4983,Anna and the King,1999,148.0,1999,1,Andy Tennant,Anna Leonowens,Steve Meerson,Peter Krikes,Jodie Foster,Chow Yun-Fat,Bai Ling,Drama,History,Romance,6.7
4984,Any Given Sunday,1999,162.0,1999,1,Oliver Stone,Daniel Pyne,John Logan,Oliver Stone,Al Pacino,Dennis Quaid,Cameron Diaz,Drama,Sport,,6.9
4985,Anywhere but Here,1999,114.0,1999,1,Wayne Wang,Mona Simpson,Alvin Sargent,,Susan Sarandon,Natalie Portman,Hart Bochner,Comedy,Drama,,6.2
4986,Apocalypse II: Revelation,1999,98.0,1999,1,André van Heerden,Paul Lalonde,Peter Lalonde,,Jeff Fahey,Nick Mancuso,Tony Nappo,Action,Drama,Horror,5.1
4987,Arlington Road,1999,117.0,1999,1,Mark Pellington,Ehren Kruger,,,Jeff Bridges,Tim Robbins,Joan Cusack,Action,Crime,Drama,7.2
4988,The Astronaut's Wife,1999,109.0,1999,1,Rand Ravich,Rand Ravich,,,Charlize Theron,Johnny Depp,Joe Morton,Drama,Sci-Fi,Thriller,5.4
4989,At First Sight,1999,128.0,1999,1,Irwin Winkler,Oliver Sacks,Steve Levitt,,Val Kilmer,Mira Sorvino,Kelly McGillis,Drama,Romance,,6.0
4990,Austin Powers: The Spy Who Shagged Me,1999,95.0,1999,1,Jay Roach,Mike Myers,Michael McCullers,,Mike Myers,Heather Graham,Michael York,Action,Adventure,Comedy,6.6
4991,Baby Geniuses,1999,97.0,1999,1,Bob Clark,Steven Paul,Francisca Matos,Robert Grasmere,Kathleen Turner,Christopher Lloyd,Kim Cattrall,Comedy,Crime,Family,2.7
4992,Bats,1999,91.0,1999,1,Louis Morneau,John Logan,,,Lou Diamond Phillips,Dina Meyer,Bob Gunton,Horror,Sci-Fi,Thriller,4.0
4993,Being John Malkovich,1999,113.0,1999,1,Spike Jonze,Charlie Kaufman,,,John Cusack,Cameron Diaz,Catherine Keener,Comedy,Drama,Fantasy,7.7
4994,Bellyfruit,1999,86.0,1999,1,Kerri Green,Maria Bernhard,Susannah Blinkoff,Janet Borrus,Tamara Bass,Tonatzin Mondragon,Kelly Vint Castro,Drama,,,5.0
4995,Beowulf,1999,115.0,2007,1,Robert Zemeckis,Neil Gaiman,Roger Avary,Anonymous,Ray Winstone,Crispin Glover,Angelina Jolie,Animation,Action,Adventure,6.2
4996,Best Laid Plans,1999,92.0,1999,1,Mike Barker,Ted Griffin,,,Alessandro Nivola,Reese Witherspoon,Josh Brolin,Crime,Drama,Thriller,6.1
4997,The Best Man,1999,1.0,1999,1,Malcolm D. Lee,Malcolm D. Lee,,,Taye Diggs,Nia Long,Morris Chestnut,Comedy,Drama,Romance,6.8
4998,Beyond the Mat,1999,102.0,1999,1,Barry W. Blaustein,Barry W. Blaustein,,,Terry Funk,Mick Foley,Jake Roberts,Documentary,Biography,Sport,7.6
4999,Bicentennial Man,1999,132.0,1999,1,Chris Columbus,Isaac Asimov,Robert Silverberg,Nicholas Kazan,Robin Williams,Embeth Davidtz,Sam Neill,Comedy,Drama,Sci-Fi,6.9
5000,Big Daddy,1999,93.0,1999,1,Dennis Dugan,Steve Franks,Tim Herlihy,Adam Sandler,Adam Sandler,Joey Lauren Adams,Jon Stewart,Comedy,Drama,,6.4
5001,The Big Kahuna,1999,90.0,1999,1,John Swanbeck,Roger Rueff,,,Kevin Spacey,Danny DeVito,Peter Facinelli,Drama,Comedy,,6.6
5002,Black and White,1999,121.0,2014,1,Mike Binder,Mike Binder,,,Kevin Costner,Octavia Spencer,Gillian Jacobs,Drama,,,6.6
5003,The Blair Witch Project,1999,81.0,1999,1,Daniel Myrick,Daniel Myrick,Eduardo Sánchez,Heather Donahue,Heather Donahue,Michael C. Williams,Joshua Leonard,Horror,Mystery,,6.5
5004,Blast from the Past,1999,112.0,1998,1,Hugh Wilson,Bill Kelly,Hugh Wilson,,Brendan Fraser,Alicia Silverstone,Christopher Walken,Comedy,Drama,Romance,6.6
5005,Blue Streak,1999,93.0,1999,1,Les Mayfield,Michael Berry,John Blumenthal,Stephen Carpenter,Martin Lawrence,Luke Wilson,Peter Greene,Action,Comedy,Crime,6.3
5006,The Bone Collector,1999,118.0,1999,1,Phillip Noyce,Jeffery Deaver,Jeremy Iacone,,Denzel Washington,Angelina Jolie,Queen Latifah,Crime,Drama,Mystery,6.7
5007,The Boondock Saints,1999,108.0,1999,1,Troy Duffy,Troy Duffy,,,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,Action,Thriller,,7.7
5008,Bowfinger,1999,97.0,1999,1,Frank Oz,Steve Martin,,,Steve Martin,Eddie Murphy,Heather Graham,Comedy,,,6.4
5009,Boys Don't Cry,1999,118.0,1999,0,Kimberly Peirce,Kimberly Peirce,Andy Bienen,,Hilary Swank,Chloë Sevigny,Peter Sarsgaard,Biography,Crime,Drama,7.5
5010,Breakfast of Champions,1999,110.0,1999,1,Alan Rudolph,Kurt Vonnegut Jr.,Alan Rudolph,,Bruce Willis,Nick Nolte,Albert Finney,Comedy,,,4.6
5011,Bringing Out the Dead,1999,121.0,1999,1,Martin Scorsese,Joe Connelly,Paul Schrader,,Nicolas Cage,Patricia Arquette,John Goodman,Drama,Thriller,,6.8
5012,Brokedown Palace,1999,100.0,1999,1,Jonathan Kaplan,Adam Fields,David Arata,,Claire Danes,Kate Beckinsale,Bill Pullman,Drama,Mystery,Thriller,6.5
5013,But I'm a Cheerleader,1999,85.0,1999,0,Jamie Babbit,Brian Peterson,Jamie Babbit,,Natasha Lyonne,Clea DuVall,Michelle Williams,Comedy,Drama,Romance,6.7
5014,Chill Factor,1999,102.0,1999,1,Hugh Johnson,Drew Gitlin,Mike Cheda,,Cuba Gooding Jr.,Skeet Ulrich,Peter Firth,Action,Adventure,Comedy,5.2
5015,Chutney Popcorn,1999,92.0,1999,0,Nisha Ganatra,Susan Carnival,Nisha Ganatra,,Nisha Ganatra,Jill Hennessy,Sakina Jaffrey,Comedy,Drama,,5.9
5016,The Cider House Rules,1999,126.0,1999,1,Lasse Hallström,John Irving,,,Tobey Maguire,Charlize Theron,Michael Caine,Drama,Romance,,7.4
5017,Coming Soon,1999,96.0,1999,1,Colette Burson,Colette Burson,Kate Robin,,Bonnie Root,Gaby Hoffmann,Tricia Vessey,Comedy,Romance,,4.5
5018,The Corruptor,1999,110.0,1999,1,James Foley,Robert Pucci,,,Chow Yun-Fat,Mark Wahlberg,Ric Young,Action,Crime,Thriller,6.1
5019,Cradle Will Rock,1999,132.0,1999,1,Tim Robbins,Tim Robbins,,,Hank Azaria,Rubén Blades,Joan Cusack,Drama,,,6.8
5020,Crazy in Alabama,1999,111.0,1999,1,Antonio Banderas,Mark Childress,,,Melanie Griffith,David Morse,Lucas Black,Comedy,Crime,Drama,6.2
5021,The Crimson Code,1999,90.0,2000,1,Jeremy Haft,Alex Metcalf,,,Patrick Muldoon,Cathy Moriarty,Tim Thomerson,Action,Crime,Thriller,4.6
5022,Cruel Intentions,1999,97.0,1999,1,Roger Kumble,Choderlos de Laclos,Roger Kumble,,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon,Drama,Romance,,6.8
5023,Deep Blue Sea,1999,105.0,1999,1,Renny Harlin,Duncan Kennedy,Donna Powers,Wayne Powers,Thomas Jane,Saffron Burrows,Samuel L. Jackson,Action,Adventure,Sci-Fi,5.9
5024,The Deep End of the Ocean,1999,106.0,1999,1,Ulu Grosbard,Jacquelyn Mitchard,Stephen Schiff,,Michelle Pfeiffer,Treat Williams,Whoopi Goldberg,Drama,,,6.4
5025,Deterrence,1999,104.0,1999,1,Rod Lurie,Rod Lurie,,,Kevin Pollak,Timothy Hutton,Sheryl Lee Ralph,Drama,Thriller,,6.4
5026,Detroit Rock City,1999,95.0,1999,1,Adam Rifkin,Carl V. Dupré,,,Edward Furlong,Giuseppe Andrews,James DeBello,Comedy,Music,,6.9
5027,Deuce Bigalow: Male Gigolo,1999,88.0,1999,1,Mike Mitchell,Harris Goldberg,Rob Schneider,,Rob Schneider,William Forsythe,Eddie Griffin,Comedy,Romance,,5.7
5028,Dill Scallion,1999,91.0,1999,1,Jordan Brady,Jordan Brady,,,Billy Burke,Lauren Graham,Kathy Griffin,Comedy,,,6.2
5029,A Dog of Flanders,1999,100.0,1999,1,Kevin Brodie,Ouida,Kevin Brodie,Robert Singer,Jack Warden,Jeremy James Kissner,Jesse James,Family,Drama,,6.3
5030,Dogma,1999,130.0,1999,1,Kevin Smith,Kevin Smith,,,Ben Affleck,Matt Damon,Linda Fiorentino,Adventure,Comedy,Drama,7.3
5031,Double Jeopardy,1999,105.0,1999,1,Bruce Beresford,David Weisberg,Douglas Cook,,Ashley Judd,Tommy Lee Jones,Bruce Greenwood,Crime,Drama,Mystery,6.5
5032,Drop Dead Gorgeous,1999,97.0,1999,1,Michael Patrick Jann,Lona Williams,,,Kirsten Dunst,Denise Richards,Ellen Barkin,Comedy,Romance,Thriller,6.6
5033,Dudley Do-Right,1999,77.0,1999,1,Hugh Wilson,Jay Ward,Hugh Wilson,,Brendan Fraser,Sarah Jessica Parker,Alfred Molina,Comedy,Family,Romance,4.0
5034,EDtv,1999,122.0,1999,1,Ron Howard,Émile Gaudreault,Sylvie Bouchard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Geoffrey Blake,Comedy,Drama,,6.1
5035,Election,1999,103.0,1999,1,Alexander Payne,Tom Perrotta,Alexander Payne,Jim Taylor,Matthew Broderick,Reese Witherspoon,Chris Klein,Comedy,Romance,,7.2
5036,End of Days,1999,122.0,1999,1,Peter Hyams,Andrew W. Marlowe,,,Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney,Action,Fantasy,Horror,5.8
5037,Entrapment,1999,113.0,1999,1,Jon Amiel,Ronald Bass,Michael Hertzberg,William Broyles Jr.,Sean Connery,Catherine Zeta-Jones,Ving Rhames,Action,Crime,Romance,6.3
5038,eXistenZ,1999,97.0,1999,1,David Cronenberg,David Cronenberg,,,Jude Law,Jennifer Jason Leigh,Ian Holm,Horror,Mystery,Sci-Fi,6.8
5039,Eye of the Beholder,1999,109.0,1999,1,Stephan Elliott,Marc Behm,Stephan Elliott,,Ewan McGregor,Ashley Judd,Patrick Bergin,Drama,Mystery,Thriller,5.0
5040,Eyes Wide Shut,1999,159.0,1999,1,Stanley Kubrick,Stanley Kubrick,Frederic Raphael,Arthur Schnitzler,Tom Cruise,Nicole Kidman,Todd Field,Drama,Mystery,Thriller,7.4
5041,Fantasia 2000,1999,75.0,1999,1,James Algar,Eric Goldberg,Joe Grant,Perce Pearce,James Levine,Steve Martin,Itzhak Perlman,Animation,Family,Fantasy,7.2
5042,Fight Club,1999,139.0,1999,1,David Fincher,Chuck Palahniuk,Jim Uhls,,Brad Pitt,Edward Norton,Meat Loaf,Drama,,,8.8
5043,Flawless,1999,108.0,2007,1,Michael Radford,Edward Anderson,,,Demi Moore,Michael Caine,Lambert Wilson,Crime,Drama,Thriller,6.7
5044,The Florentine,1999,104.0,1999,1,Nick Stagliano,Tom Benson,Damien Gray,,Jeremy Davies,Virginia Madsen,Luke Perry,Comedy,Drama,,5.6
5045,For Love of the Game,1999,137.0,1999,1,Sam Raimi,Michael Shaara,Dana Stevens,,Kevin Costner,Kelly Preston,John C. Reilly,Drama,Romance,Sport,6.6
5046,Forces of Nature,1999,105.0,1999,0,Bronwen Hughes,Marc Lawrence,,,Sandra Bullock,Ben Affleck,Maura Tierney,Comedy,Romance,,5.5
5047,Friends & Lovers,1999,103.0,1999,1,George Haas,Neill Barry,George Haas,,Stephen Baldwin,Danny Nucci,George Newbern,Drama,Romance,Comedy,4.5
5048,Galaxy Quest,1999,102.0,1999,1,Dean Parisot,David Howard,Robert Gordon,,Tim Allen,Sigourney Weaver,Alan Rickman,Adventure,Comedy,Sci-Fi,7.3
5049,The General's Daughter,1999,116.0,1999,1,Simon West,Nelson DeMille,Christopher Bertolini,William Goldman,John Travolta,Madeleine Stowe,James Cromwell,Crime,Drama,Mystery,6.4
