,name,year,Length Of Movie (minute),idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
58,The Last Escape,1970,90.0,1975,1,Richard Compton,Richard Compton,,,Nick Nolte,Don Johnson,Robin Mattson,Drama,,,5.6
59,Last of the Mobile Hot Shots,1970,100.0,1970,1,Sidney Lumet,Tennessee Williams,Gore Vidal,,James Coburn,Lynn Redgrave,Robert Hooks,Drama,,,5.2
60,The Last Warrior,1970,114.0,2017,1,Dmitriy Dyachenko,Pavel Danilov,Vasiliy Kutsenko,Vitaliy Shlyappo,Viktor Khorinyak,Mila Sivatskaya,Ekaterina Vilkova,Action,Adventure,Comedy,6.5
61,The Liberation of L.B. Jones,1970,102.0,1970,1,William Wyler,Jesse Hill Ford,Stirling Silliphant,,Lee J. Cobb,Anthony Zerbe,Roscoe Lee Browne,Crime,Drama,Romance,6.8
62,Little Big Man,1970,139.0,1970,1,Arthur Penn,Thomas Berger,Calder Willingham,,Dustin Hoffman,Faye Dunaway,Chief Dan George,Adventure,Comedy,Drama,7.6
63,Little Fauss and Big Halsy,1970,99.0,1970,1,Sidney J. Furie,Charles Eastman,,,Robert Redford,Michael J. Pollard,Lauren Hutton,Drama,,,5.9
64,Love Story,1970,100.0,1970,1,Arthur Hiller,Erich Segal,,,Ali MacGraw,Ryan O'Neal,John Marley,Drama,Romance,,6.9
65,Lovers and Other Strangers,1970,104.0,1970,1,Cy Howard,Joseph Bologna,Renée Taylor,David Zelag Goodman,Gig Young,Bea Arthur,Bonnie Bedelia,Comedy,,,6.6
66,The Man from O.R.G.Y.,1970,92.0,1970,1,James Hill,Ted Mark,,,Robert Walker Jr.,Steve Rossi,Slappy White,Comedy,Crime,,3.9
67,Macho Callahan,1970,99.0,1970,1,Bernard L. Kowalski,Richard Carr,Cliff Gould,,David Janssen,Jean Seberg,Lee J. Cobb,Western,,,5.3
68,A Man Called Horse,1970,114.0,1970,1,Elliot Silverstein,Jack DeWitt,Dorothy M. Johnson,Gregory Crosby,Richard Harris,Judith Anderson,Jean Gascon,Adventure,Drama,Western,6.9
69,The McMasters,1970,90.0,1970,1,Alf Kjellin,Harold Jacob Smith,,,Burl Ives,Brock Peters,David Carradine,Action,Drama,Western,6.0
70,The Molly Maguires,1970,124.0,1970,1,Martin Ritt,Arthur H. Lewis,Walter Bernstein,,Sean Connery,Richard Harris,Samantha Eggar,Drama,History,,6.9
71,The Moonshine War,1970,100.0,1970,1,Richard Quine,Elmore Leonard,,,Patrick McGoohan,Richard Widmark,Alan Alda,Comedy,Crime,Drama,5.9
72,Move,1970,90.0,1970,1,Stuart Rosenberg,Joel Lieber,Stan Hart,,Elliott Gould,Paula Prentiss,Geneviève Waïte,Comedy,Fantasy,,5.1
73,"My Lover, My Son",1970,96.0,1970,1,John Newland,Edward Grierson,Jenni Hall,William Marchant,Romy Schneider,Donald Houston,Dennis Waterman,Drama,,,5.1
74,Myra Breckinridge,1970,94.0,1970,1,Michael Sarne,Gore Vidal,Michael Sarne,David Giler,Mae West,John Huston,Raquel Welch,Comedy,,,4.5
75,Nam's Angels,1970,95.0,1970,1,Jack Starrett,Alan Caillou,,,William Smith,Bernie Hamilton,Adam Roarke,Action,Drama,Thriller,5.4
76,No Blade of Grass,1970,96.0,1970,1,Cornel Wilde,Sean Forestal,Cornel Wilde,John Christopher,Nigel Davenport,Jean Wallace,John Hamill,Drama,Sci-Fi,,5.9
77,Norwood,1970,96.0,1970,1,Jack Haley Jr.,Charles Portis,Marguerite Roberts,,Glen Campbell,Kim Darby,Joe Namath,Comedy,,,5.4
78,On a Clear Day You Can See Forever,1970,129.0,1970,1,Vincente Minnelli,Alan Jay Lerner,,,Barbra Streisand,Yves Montand,Bob Newhart,Comedy,Drama,Fantasy,6.4
79,One More Time,1970,98.0,2015,1,Robert Edwards,Robert Edwards,,,Christopher Walken,Amber Heard,Kelli Garner,Comedy,Drama,Music,4.9
80,The Only Game in Town,1970,113.0,1970,1,George Stevens,Frank D. Gilroy,,,Elizabeth Taylor,Warren Beatty,Charles Braswell,Comedy,Drama,Romance,5.8
81,The Out-of-Towners,1970,90.0,1999,1,Sam Weisman,Neil Simon,Marc Lawrence,,Steve Martin,Goldie Hawn,John Cleese,Comedy,,,5.5
82,The Owl and the Pussycat,1970,95.0,1970,1,Herbert Ross,Bill Manhoff,Buck Henry,,Barbra Streisand,George Segal,Robert Klein,Comedy,Romance,,6.5
83,Patton,1970,172.0,1970,1,Franklin J. Schaffner,Francis Ford Coppola,Edmund H. North,Ladislas Farago,George C. Scott,Karl Malden,Stephen Young,Biography,Drama,War,7.9
84,The People Next Door,1970,93.0,1970,1,David Greene,J.P. Miller,,,Eli Wallach,Julie Harris,Deborah Winters,Drama,,,6.4
85,The Phantom Tollbooth,1970,90.0,1970,1,Chuck Jones,Chuck Jones,Sam Rosen,Norton Juster,Butch Patrick,Hans Conried,Mel Blanc,Animation,Adventure,Comedy,6.9
86,The Phynx,1970,81.0,1970,1,Lee H. Katzin,Bob Booker,George Foster,Stan Cornyn,Michael A. Miller,Ray Chippeway,Dennis Larden,Comedy,Music,,4.6
87,Pieces of Dreams,1970,100.0,1970,1,Daniel Haller,William E. Barrett,Roger O. Hirson,John McCollam,Robert Forster,Lauren Hutton,Will Geer,Drama,,,5.0
88,Pigeons,1970,77.0,1970,1,Andy Milligan,Andy Milligan,,,Julie Shaw,Berwick Kaler,Elaine Shore,Drama,,,5.8
89,Pufnstuf,1970,98.0,1970,1,Hollingsworth Morse,John Fenton Murray,Si Rose,,Jack Wild,Billie Hayes,Martha Raye,Adventure,Comedy,Family,6.7
90,"Pussycat, Pussycat, I Love You",1970,100.0,1970,1,Rod Amateau,Rod Amateau,Woody Allen,,Ian McShane,Anna Calder-Marshall,John Gavin,Comedy,,,4.5
91,Puzzle of a Downfall Child,1970,105.0,1970,1,Jerry Schatzberg,Jerry Schatzberg,Carole Eastman,,Faye Dunaway,Barry Primus,Viveca Lindfors,Drama,,,6.6
92,"Rabbit, Run",1970,94.0,1970,1,Jack Smight,John Updike,Howard B. Kreitsek,,James Caan,Anjanette Comer,Carrie Snodgress,Drama,,,5.5
93,The Rebel Rousers,1970,78.0,1970,1,Martin B. Cohen,Martin B. Cohen,Michael Kars,Abe Polsky,Cameron Mitchell,Bruce Dern,Diane Ladd,Crime,Drama,,4.1
94,Rio Lobo,1970,114.0,1970,1,Howard Hawks,Burton Wohl,Leigh Brackett,,John Wayne,Jorge Rivero,Jennifer O'Neill,War,Western,,6.8
95,Ritual of Evil,1970,98.0,,1,Robert Day,Robert Presnell Jr.,Richard Alan Simmons,,Louis Jourdan,Anne Baxter,Diana Hyland,Drama,Horror,,5.6
96,Savage Intruder,1970,100.0,1970,1,Donald Wolfe,Donald Wolfe,,,Miriam Hopkins,David Garfield,Gale Sondergaard,Horror,Thriller,,5.6
97,Skullduggery,1970,105.0,1970,1,Gordon Douglas,Nelson Gidding,Vercors,,Burt Reynolds,Susan Clark,Roger C. Carmel,Adventure,,,4.6
98,Soldier Blue,1970,115.0,1970,1,Ralph Nelson,Theodore V. Olsen,John Gay,,Candice Bergen,Peter Strauss,Donald Pleasence,Western,,,6.9
99,Something for Everyone,1970,112.0,1970,1,Harold Prince,Harry Kressing,Hugh Wheeler,,Angela Lansbury,Michael York,Anthony Higgins,Comedy,Crime,Drama,7.2
100,Song of Norway,1970,138.0,1970,1,Andrew L. Stone,Homer Curran,Milton Lazarus,Andrew L. Stone,Florence Henderson,Toralv Maurstad,Christina Schollin,Biography,Drama,Musical,4.1
101,Start the Revolution Without Me,1970,90.0,1970,1,Bud Yorkin,Fred Freeman,Lawrence J. Cohen,,Gene Wilder,Donald Sutherland,Hugh Griffith,Comedy,History,,6.5
102,The Strawberry Statement,1970,109.0,1970,1,Stuart Hagmann,James Kunen,Israel Horovitz,,Bruce Davison,Kim Darby,Bud Cort,Drama,Romance,,6.7
103,Suppose They Gave a War and Nobody Came,1970,113.0,1970,1,Hy Averback,Hal Captain,Don McGuire,,Brian Keith,Tony Curtis,Ernest Borgnine,Comedy,Drama,,5.5
104,"Tell Me That You Love Me, Junie Moon",1970,113.0,1970,1,Otto Preminger,Marjorie Kellogg,,,Liza Minnelli,Ken Howard,Robert Moore,Comedy,Drama,Romance,6.1
105,There Was a Crooked Man...,1970,126.0,1970,1,Joseph L. Mankiewicz,David Newman,Robert Benton,,Kirk Douglas,Henry Fonda,Hume Cronyn,Comedy,Western,,6.9
106,They Call Me MISTER Tibbs!,1970,108.0,1970,1,Gordon Douglas,Alan Trustman,James R. Webb,John Ball,Sidney Poitier,Martin Landau,Barbara McNair,Crime,Drama,Mystery,6.1
107,...tick...tick...tick...,1970,100.0,1970,1,Ralph Nelson,James Lee Barrett,,,Jim Brown,George Kennedy,Fredric March,Drama,Action,,6.7
108,Tiger by the Tail,1970,99.0,1970,1,R.G. Springsteen,Charles A. Wallace,,,Christopher George,Tippi Hedren,Dean Jagger,Drama,Thriller,,5.7
109,Too Late the Hero,1970,145.0,1970,1,Robert Aldrich,Robert Aldrich,Robert Sherman,Lukas Heller,Michael Caine,Cliff Robertson,Ian Bannen,Action,Drama,War,6.7
110,Tora! Tora! Tora!,1970,144.0,1970,1,Richard Fleischer,Larry Forrester,Hideo Oguni,Ryûzô Kikushima,Martin Balsam,Sô Yamamura,Jason Robards,Action,Drama,History,7.5
111,The Traveling Executioner,1970,95.0,1970,1,Jack Smight,Garrie Bateson,,,Stacy Keach,Marianna Hill,Bud Cort,Comedy,Drama,Western,6.3
112,The Twelve Chairs,1970,94.0,1970,1,Mel Brooks,Ilya Ilf,Yevgeni Petrov,Elizabeth Hill,Mel Brooks,Ron Moody,Frank Langella,Comedy,,,6.5
113,Two Mules for Sister Sara,1970,116.0,1970,1,Don Siegel,Budd Boetticher,Albert Maltz,,Clint Eastwood,Shirley MacLaine,Manolo Fábregas,Adventure,Romance,War,7.0
114,Up in the Cellar,1970,94.0,1970,1,Theodore J. Flicker,Angus Hall,Theodore J. Flicker,,Wes Stern,Joan Collins,Larry Hagman,Comedy,Romance,,5.1
115,WUSA,1970,115.0,1970,1,Stuart Rosenberg,Robert Stone,,,Paul Newman,Joanne Woodward,Anthony Perkins,Drama,Romance,,5.5
116,A Walk in the Spring Rain,1970,98.0,1970,1,Guy Green,Rachel Maddux,Stirling Silliphant,,Ingrid Bergman,Anthony Quinn,Fritz Weaver,Drama,Romance,,6.1
117,Watermelon Man,1970,100.0,1970,1,Melvin Van Peebles,Herman Raucher,,,Godfrey Cambridge,Estelle Parsons,Howard Caine,Comedy,,,6.6
118,What Do You Say to a Naked Lady?,1970,85.0,1970,1,Allen Funt,Allen Funt,,,Joie Addison,Laura Huston,Martin Meyers,Documentary,Comedy,,5.8
119,Where's Poppa?,1970,82.0,1970,1,Carl Reiner,Robert Klane,,,George Segal,Ruth Gordon,Ron Leibman,Comedy,,,6.5
120,Which Way to the Front?,1970,96.0,1970,1,Jerry Lewis,Gerald Gardner,Dee Caruso,Dick Miller,Jerry Lewis,Jan Murray,John Wood,Comedy,War,,4.7
121,The Wild Country,1970,100.0,1970,1,Robert Totten,Calvin Clements Jr.,Paul Savage,Ralph Moody,Steve Forrest,Vera Miles,Ron Howard,Action,Adventure,Comedy,6.3
122,The Yin and the Yang of Mr. Go,1970,89.0,1970,1,Burgess Meredith,Burgess Meredith,Joseph Zucchero,Alvin Ostroff,James Mason,Jack MacGowran,Irene Tsu,Fantasy,Mystery,Thriller,3.4
123,You Can't Win 'Em All,1970,97.0,1970,1,Peter Collinson,Leo Gordon,,,Tony Curtis,Charles Bronson,Michèle Mercier,Action,Adventure,Comedy,5.8
124,Zabriskie Point,1970,113.0,1970,1,Michelangelo Antonioni,Michelangelo Antonioni,Franco Rossetti,Sam Shepard,Mark Frechette,Daria Halprin,Paul Fix,Drama,,,7.0
125,Zig Zag,1970,118.0,1997,1,Jeb Stuart,Jeb Stuart,,,Danny Glover,Dennis Quaid,Claudia Stedelin,Crime,Mystery,Thriller,6.4
126,200 Motels,1971,98.0,1971,1,Tony Palmer,Frank Zappa,Tony Palmer,Mark Volman,Mark Volman,Howard Kaylan,Ian Underwood,Comedy,Fantasy,Music,5.8
127,The Anderson Tapes,1971,99.0,1971,1,Sidney Lumet,Lawrence Sanders,Frank Pierson,,Sean Connery,Dyan Cannon,Martin Balsam,Action,Crime,Thriller,6.4
128,The Andromeda Strain,1971,131.0,1971,1,Robert Wise,Michael Crichton,Nelson Gidding,,James Olson,Arthur Hill,David Wayne,Mystery,Sci-Fi,Thriller,7.2
129,Bananas,1971,82.0,1971,1,Woody Allen,Woody Allen,Mickey Rose,,Woody Allen,Louise Lasser,Carlos Montalbán,Comedy,,,7.0
130,The Barefoot Executive,1971,96.0,1971,1,Robert Butler,Joseph L. McEveety,Lila Garrett,Bernie Kahn,Kurt Russell,Joe Flynn,Harry Morgan,Comedy,Family,,6.0
131,The Battle of Love's Return,1971,82.0,1971,1,Lloyd Kaufman,Lloyd Kaufman,,,Lloyd Kaufman,Lynn Lowry,Stanley Kaufman,Comedy,,,4.0
132,Bedknobs and Broomsticks,1971,117.0,1971,1,Robert Stevenson,Ralph Wright,Ted Berman,Bill Walsh,Angela Lansbury,David Tomlinson,Roddy McDowall,Animation,Adventure,Comedy,7.1
133,Been Down So Long It Looks Like Up to Me,1971,90.0,1971,1,Jeffrey Young,Richard Farina,Robert Schlitt,,Barry Primus,David Downing,Susan Tyrrell,Drama,,,5.5
134,The Beguiled,1971,93.0,2017,0,Sofia Coppola,Sofia Coppola,Thomas Cullinan,Albert Maltz,Nicole Kidman,Kirsten Dunst,Elle Fanning,Drama,Thriller,War,6.3
135,Believe in Me,1971,131.0,2006,1,Robert Collector,Robert Collector,Harold Keith,,Jeffrey Donovan,Samantha Mathis,Doris Hargrave,Drama,Sport,,7.1
136,The Big Doll House,1971,95.0,1971,1,Jack Hill,Don Spencer,,,Roberta Collins,Pam Grier,Judith Brown,Action,Drama,Thriller,5.9
137,Big Jake,1971,110.0,1971,1,George Sherman,Harry Julian Fink,Rita M. Fink,,John Wayne,Richard Boone,Maureen O'Hara,Western,,,7.1
138,Billy Jack,1971,114.0,1971,1,Tom Laughlin,Tom Laughlin,Delores Taylor,,Tom Laughlin,Delores Taylor,Clark Howat,Action,Drama,Western,6.2
139,Bless the Beasts and Children,1971,109.0,1971,1,Stanley Kramer,Glendon Swarthout,Mac Benoff,,Bill Mumy,Barry Robins,Miles Chapin,Comedy,Drama,,6.7
140,Blood and Lace,1971,87.0,1971,1,Philip S. Gilbert,Gil Lasky,,,Gloria Grahame,Melody Patterson,Milton Selzer,Horror,,,5.5
141,Born to Win,1971,88.0,1971,1,Ivan Passer,David Scott Milton,Ivan Passer,,George Segal,Paula Prentiss,Karen Black,Comedy,Crime,Drama,5.6
142,Boys in the Sand,1971,121.0,2020,1,Joe Mantello,Mart Crowley,Ned Martel,,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,,,6.8
143,The Boy Friend,1971,137.0,1971,1,Ken Russell,Ken Russell,Sandy Wilson,,Twiggy,Christopher Gable,Max Adrian,Comedy,Musical,Romance,6.9
144,The Bridge in the Jungle,1971,87.0,1970,1,Pancho Kohner,B. Traven,Pancho Kohner,,John Huston,Charles Robinson,Katy Jurado,Adventure,Drama,,5.2
145,Brother John,1971,95.0,1971,1,James Goldstone,Ernest Kinoy,,,Sidney Poitier,Will Geer,Bradford Dillman,Drama,Sci-Fi,,6.5
146,B.S. I Love You,1971,99.0,1971,1,Steven Hilliard Stern,Steven Hilliard Stern,,,Peter Kastner,JoAnna Cameron,Louise Sorel,Comedy,Romance,,4.0
147,Bunny O'Hare,1971,91.0,1971,1,Gerd Oswald,Stanley Z. Cherry,Coslough Johnson,,Bette Davis,Ernest Borgnine,Jack Cassidy,Comedy,,,6.1
148,Cain's Cutthroats,1971,95.0,1970,1,Ken Osborne,Wilton Denmark,Ralph Luce,Ken Osborne,John Carradine,Scott Brady,Robert Dix,Action,Comedy,Drama,5.1
149,Carnal Knowledge,1971,98.0,1971,1,Mike Nichols,Jules Feiffer,,,Jack Nicholson,Candice Bergen,Art Garfunkel,Drama,,,7.0
150,Chandler,1971,85.0,1971,1,Paul Magwood,Paul Magwood,John Sacret Young,,Warren Oates,Leslie Caron,Alex Dreier,Crime,Drama,,4.5
151,Catlow,1971,101.0,1971,1,Sam Wanamaker,Scot Finch,James Griffith,Louis L'Amour,Yul Brynner,Richard Crenna,Leonard Nimoy,Comedy,Western,,5.6
152,The Christian Licorice Store,1971,90.0,1971,1,James Frawley,Floyd Mutrux,,,Beau Bridges,Maud Adams,Gilbert Roland,Drama,Comedy,,5.4
153,Chrome and Hot Leather,1971,91.0,1971,1,Lee Frost,Michael Haynes,David Neibel,Don Tait,William Smith,Tony Young,Michael Haynes,Action,Drama,,5.2
154,Clay Pigeon,1971,63.0,1949,1,Richard Fleischer,Carl Foreman,,,Bill Williams,Barbara Hale,Richard Quine,Drama,Film-Noir,,6.5
